Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
AC2T research GmbH,,,"Small Medium Enterprise, Start-up",257590,7/11/2017,Scientist,1 month 1 week,Expired,5,Chemistry › Applied chemistry,Permanent,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,601547,4/2/2021,University Assistants (prae docs) | PhD in Practice Program 2021,2 weeks 2 days,Published,4,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,598513,26/01/2021,University Assistant for Architectural Design,3 weeks 7 hours,Expired,1,Architecture,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,579891,23/11/2020,Tenure-Track Position,1 month 1 week,Expired,2,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,562826,29/09/2020,University professorship,3 months 3 days,Expired,1,Arts › Fine arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,561506,24/09/2020,Senior Scientist (Postdoc),3 weeks 8 hours,Expired,1,Arts › Other,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,561103,23/09/2020,Tenure Track,2 weeks 6 days,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,559741,18/09/2020,University assistant,3 weeks 12 hours,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,556950,9/9/2020,Senior Scientist,2 weeks 6 days,Expired,1,Other,Permanent,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,555843,4/9/2020,University assistant,3 weeks 8 hours,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,555840,4/9/2020,University assistant,3 weeks 8 hours,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,540631,9/7/2020,University Professorship for Architectural Design,1 month 4 days,Expired,1,Architecture › Design,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,540604,9/7/2020,Senior Lecturer,1 month 4 days,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,540602,9/7/2020,Senior Lecturer,1 month 4 days,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,538059,1/7/2020,University Professorship GLC,1 month 1 week,Expired,1,Architecture,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,532803,16/06/2020,Senior Scientist,2 weeks 10 hours,Expired,1,Architecture,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,529243,4/6/2020,Senior Lecturer,3 weeks 5 days,Expired,1,Architecture,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,526061,25/05/2020,University Professor for Stage Design,2 months 1 week,Expired,1,Arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,508390,26/03/2020,University assistant in the field „Expanded Pictorial Space“,1 month 4 weeks,Expired,1,Arts › Performing arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,508389,26/03/2020,University assistant in the field „Performative Art“,1 month 1 week,Expired,1,Arts › Performing arts,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,488195,3/2/2020,University Assistants (prae docs) | PhD in Practice Program 2020,4 weeks 6 hours,Expired,4,Arts › Other,Temporary,,Not funded by an EU programme
academy of fine arts vienna,HR,,Higher Education Institute,420858,25/06/2019,Senior Lecturer,1 month 1 week,Expired,1,Arts › Arts management,Temporary,,Not funded by an EU programme
