Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
4D pharma,,,Research Laboratory,407874,15/05/2019,Bioinformatician/Biostatistician/Computational Biologist,1 month 10 hours,Expired,1,"Biological sciences › Biology, Computer science › Informatics, Computer science › Modelling tools",Other,Bix_Mas,H2020
Aplasys,,,"Small Medium Enterprise, Start-up",301677,27/04/2018,Computational Biologist,3 months 1 week,Expired,2,"Biological sciences › Biological engineering, Computer science › Modelling tools, Mathematics › Computational mathematics",Temporary,,Not funded by an EU programme
Biomedical Sciences Institute,Microbiology,Vaccine development,Higher Education Institute,538142,1/7/2020,"Postdoctoral Research Fellow position is available at the University of São Paulo, Brazil",2 weeks 2 days,Expired,1,Biological sciences › Other,Temporary,,Not funded by an EU programme
Biomedical Sciences Institute,Microbiology,Vaccine development,Higher Education Institute,439631,22/08/2019,Post-doctoral Fellowship in Microbiology,2 weeks 1 day,Expired,1,"Biological sciences › Other, Medical sciences › Medicine",Temporary,,Not funded by an EU programme
Biomedical Sciences Institute,Microbiology,Vaccine development,Higher Education Institute,288987,14/03/2018,Post-doctoral Fellowship in Microbiology,1 month 1 week,Expired,2,"Biological sciences › Other, Medical sciences › Medicine",Temporary,,Not funded by an EU programme
Blekinge Institute of Technology,,,Higher Education Institute,569511,20/10/2020,Senior lecture in Computer Science,1 month 1 week,Expired,1,Computer science › 3 D modelling,Permanent,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,502376,9/3/2020,"PhD positions in the International PPGCosmo Program on Astrophysics, Cosmology and Gravitation, Brazil",1 month 1 week,Expired,1,"Astronomy › Astrophysics, Astronomy › Cosmology, Physics › Relativity",Temporary,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,502376,9/3/2020,"PhD positions in the International PPGCosmo Program on Astrophysics, Cosmology and Gravitation, Brazil",1 month 1 week,Expired,1,"Astronomy › Astrophysics, Astronomy › Cosmology, Physics › Relativity",Temporary,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,294034,2/4/2018,"Postdoctoral positions in Gravitation, Astrophysics, Cosmology and Fundamental Interactions at CBPF, Rio de Janeiro, Brazil",1 year 4 weeks,Expired,4,"Physics › Relativity, Physics › Mathematical physics, Physics › Applied physics",Temporary,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,290535,20/03/2018,"International PhD Program on Astrophysics, Cosmology and Gravitation",1 year 1 month,Expired,1,"Physics › Relativity, Physics › Mathematical physics",Temporary,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,270455,7/1/2018,"International PhD Program on Astrophysics, Cosmology and Gravitation",4 weeks 1 day,Expired,4,Physics › Relativity,Temporary,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,214116,2/5/2017,"Postgraduate studentships in Gravitation, Astrophysics, Cosmology and Fundamental Interactions at CBPF, Rio de Janeiro, Brazil",1 week 5 days,Expired,20,"Astronomy › Astrophysics, Physics › Relativity, Physics › Quantum mechanics, Physics › Mathematical physics",Not Applicable,,Not funded by an EU programme
Brazilian Center for Research in Physics (CBPF),"COSMO department of Astrophysics, Cosmology and Fundamental Interactions",,Public Research Institution,163272,14/12/2016,"3 postdoctoral positions in Gravitation, Astrophysics, Cosmology and Fundamental Interactions at CBPF, Rio de Janeiro",1 month 3 weeks,Expired,3,Physics › Relativity,Temporary,,Not funded by an EU programme
Brazilian National Institute for Space Research,CCST,,Public Research Institution,468349,2/12/2019,Ph.D. Ecohydrology,1 week 6 days,Expired,2,Environmental science › Water science,Not Applicable,,Not funded by an EU programme
Brazilian National Institute for Space Research,CCST,,Public Research Institution,468091,30/11/2019,Ph.D. Ecohydrology,2 weeks 1 day,Expired,1,Environmental science › Water science,Not Applicable,#3284,Not funded by an EU programme
