Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Canada's Green Civil Engineering Program,,,Higher Education Institute,248315,26/09/2017,PhD and MASc Research Assistants,2 years 4 days,Expired,10,Engineering › Civil engineering,Other,,Not funded by an EU programme
Carleton University,Department of Physics,,Higher Education Institute,480369,13/01/2020,"Postdoctoral Fellow at Carleton University, Ba ion tagging",2 months 2 weeks,Expired,2,Physics,Temporary,,Not funded by an EU programme
Centre Eau Terre Environnement - Institut national de la recherche scientifique,,,Higher Education Institute,498188,26/02/2020,Postdoctoral position in monitoring and modelling of sustainable urban stormwater management systems,2 months 4 days,Expired,1,Engineering › Civil engineering,Temporary,,Not funded by an EU programme
Centre Eau Terre Environnement - Institut national de la recherche scientifique,,,Higher Education Institute,396934,4/4/2019,Postdoctoral and PhD positions in mineral carbonation process,1 month 12 hours,Expired,2,Engineering › Chemical engineering,Temporary,,Not funded by an EU programme
Centre Eau Terre Environnement - Institut national de la recherche scientifique,,,Higher Education Institute,391582,20/03/2019,Postdoctoral fellow to study response and recovery of fish exposed to petroleum products,1 month 1 day,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Centre Eau Terre Environnement - Institut national de la recherche scientifique,,,Higher Education Institute,249075,29/09/2017,Professor-researcher in hydrodynamics of coastal and fluvial environments,1 month 11 hours,Expired,1,Engineering › Other,Permanent,AP 17-04,Not funded by an EU programme
CHU Sainte Justine,Pediatrics,pcampeaulab.org,Public Research Institution,580835,25/11/2020,Master's or PhD student,2 months 3 weeks,Published,1,"Biological sciences › Biological engineering, Biological sciences › Laboratory animal science, Medical sciences › Veterinary medicine",Permanent,,Not funded by an EU programme
Concordia University,"Building, Civil and Environmental Engineering (BCEE)",Intelligent Buildings Lab,Higher Education Institute,462055,12/11/2019,PhD Position in Building Engineering at Concordia University,1 month 4 hours,Expired,1,"Engineering › Other, Engineering › Civil engineering, Engineering › Mechanical engineering",Not Applicable,,Not funded by an EU programme
Concordia University,"Building, Civil and Environmental Engineering (BCEE)",Intelligent Buildings Lab,Higher Education Institute,408875,16/05/2019,FUNDED PHD POSITION IN BUILDING ENGINEERING,1 month 1 day,Expired,1,Engineering › Control engineering,Temporary,,Not funded by an EU programme
CRCHUM,Psychiatry and Addictology of the Université de Montréal (UdeM),Neuroscience,Research Laboratory,562002,25/09/2020,Researcher/Professor Position in Addiction/Mental health,2 months 1 week,Expired,1,Other,Permanent,,Not funded by an EU programme
CriticalKnowledge,,,Other,274280,26/01/2018,"Tenure-Track Professor, Material Science & Environmental Chemistry",1 month 1 day,Expired,1,Chemistry,Permanent,,Not funded by an EU programme
CRIUGM - Université de Montréal,,,Public Research Institution,387889,12/3/2019,Postdoctoral position in human affective neuroscience,1 month 2 weeks,Expired,1,"Neurosciences › Neuropsychology, Neurosciences › Neurophysiology",Not Applicable,,Not funded by an EU programme
École de technologie supérieure,,,Higher Education Institute,603821,10/2/2021,MSc position on mobility management in network slicing,1 week 2 days,Published,2,Computer science › Computer systems,Temporary,,Not funded by an EU programme
École de technologie supérieure,,,Higher Education Institute,586932,14/12/2020,Funded PhD on recycling of thermoplastic composites,1 month 1 week,Expired,1,Engineering › Mechanical engineering,Temporary,,Not funded by an EU programme
École de technologie supérieure,,,Higher Education Institute,586930,14/12/2020,Postdoctoral Fellowship on Sustainable Composites,1 month 1 week,Expired,1,Engineering › Mechanical engineering,Temporary,,Not funded by an EU programme
