Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Australian National University,Science,,Higher Education Institute,426621,12/7/2019,ASTRI PhD position available in Australia,4 weeks 1 day,Expired,1,"Engineering › Process engineering, Engineering › Chemical engineering, Engineering › Thermal engineering, Engineering › Materials engineering, Engineering › Mechanical engineering",Other,,Not funded by an EU programme
Australian National University,Science,,Higher Education Institute,392873,25/03/2019,Senior Lecturer/Associate Professor,1 week 2 days,Expired,1,Other,Permanent,528833,Not funded by an EU programme
Australian National University,Science,,Higher Education Institute,364811,19/12/2018,Postdoctoral Fellow,1 month 2 days,Expired,1,"Biological sciences, Computer science › Informatics, Mathematics, Physics",Temporary,,Not funded by an EU programme
Communications Group (GCOM) - Universidad Carlos III de Madrid,,Communications Group (GCOM),Higher Education Institute,354864,13/11/2018,TeamUp5G Marie-Curie ETN: 15 Early Stage Researcher Fellowships (ESR) - 3 year PhD positions,6 months 3 days,Expired,15,"Engineering › Electronic engineering, Engineering › Communication engineering, Mathematics › Algorithms, Technology › Telecommunications technology, Technology › Internet technology",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Curtin University,,,Higher Education Institute,425487,9/7/2019,PhD scholarship in deep learning for inversion and uncertainty quantification,3 weeks 2 days,Expired,1,"Computer science, Engineering, Geosciences, Information science",Temporary,,Not funded by an EU programme
Forrest Research Foundation,,,Private with public mission,561436,24/09/2020,Forrest Research Foundation PhD Scholarships (10),1 month 1 week,Expired,10,Other,Temporary,,Not funded by an EU programme
Forrest Research Foundation,,,Private with public mission,517385,24/04/2020,Post-doctoral research fellowships (3 positions),1 month 1 week,Expired,3,"Architecture › Other, Other",Temporary,,Not funded by an EU programme
Forrest Research Foundation,,,Private with public mission,447716,20/09/2019,PhD Scholarships (9),1 month 1 week,Expired,9,Other,Temporary,,Not funded by an EU programme
Forrest Research Foundation,,,Private with public mission,393819,27/03/2019,Post-doctoral Research Fellow,1 month 3 weeks,Expired,4,Other,Temporary,,Not funded by an EU programme
Forrest Research Foundation,,,Private with public mission,343998,8/10/2018,Forrest Research Foundation PhD Scholarships,3 weeks 2 days,Expired,10,Other,Temporary,,Not funded by an EU programme
Forrest Research Foundation,,,Private with public mission,302608,1/5/2018,Post-doctoral Research Fellowship,2 weeks 3 days,Expired,3,Other,Temporary,,Not funded by an EU programme
Garvan Institute of Medical Research,,,Other,545485,24/07/2020,Postdoctoral Position in RNA biology,5 months 1 week,Expired,1,"Biological sciences › Other, Biological sciences › Biology, Chemistry › Biochemistry, Medical sciences › Other, Neurosciences › Neurobiology, Neurosciences › Neurochemistry",Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,374765,29/01/2019,Postdoctoral Researchers in Geophysics,1 month 1 day,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,374764,29/01/2019,Postdoctoral Researchers in Geochemistry/Petrology,1 month 1 day,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Research Laboratory,374763,29/01/2019,PhD Fellowships in geochemistry/petrology,1 month 2 weeks,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Higher Education Institute,338863,13/09/2018,Postdoctoral Researchers in Geochemistry/Petrology,1 month 2 weeks,Expired,1,Geosciences › Geology,Temporary,,Not funded by an EU programme
"Guangzhou Institute of Geochemistry, The Chinese Academy of Sciences.",School of Geographical and Earth Sciences,,Higher Education Institute,338862,13/09/2018,PhD Fellowships in geochemistry/petrology,1 month 2 weeks,Expired,2,Geosciences › Geology,Temporary,,Not funded by an EU programme
Humboldt-Universität zu Berlin,"Mathematisch-Naturwissen­schaft­liche Fakultät, Institut für Physik und Institut für Mathematik","Mathematical Physics of Space, Time and Matter",Higher Education Institute,364667,18/12/2018,EU guest researcher,1 month 4 weeks,Expired,1,Physics,Temporary,DR/002/19,H2020 / Marie Skłodowska-Curie Actions
Humboldt-Universität zu Berlin,"Mathematisch-Naturwissen­schaft­liche Fakultät, Institut für Physik und Institut für Mathematik","Mathematical Physics of Space, Time and Matter",Higher Education Institute,345404,10/10/2018,EU guest researcher (m / w / d) - non-tariff compensation (third-party funding limited for 3 years under the Innovative Training Network Marie Sklodowska-Curie),5 days 8 hours,Expired,1,Physics › Mathematical physics,Temporary,DR/129/18,H2020 / Marie Skłodowska-Curie Actions
Institut de Recherche pour le Développement (IRD),Mediterranean Institute of Oceanography MIO,,Public Research Institution,334715,28/08/2018,Anaerobic digestion engineer,2 weeks 3 days,Expired,2,"Engineering › Process engineering, Engineering › Water resources engineering, Environmental science › Water science",Temporary,,Not funded by an EU programme
