Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,604043,11/2/2021,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",1 week 1 day,Published,32,"Architecture, Chemistry, Economics, Educational sciences, Engineering, Geography, Geosciences, History, Juridical sciences, Language sciences, Mathematics, Medical sciences, Physics, Psychological sciences, Sociology",To be defined,01/04-3.230/21,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,595682,19/01/2021,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 22 hours,Expired,16,"Architecture, Chemistry, Economics, Educational sciences, Engineering, History, Language sciences, Mathematics, Medical sciences, Physics, Psychological sciences, Sociology",To be defined,01/04-3.3006/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,585932,10/12/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",1 week 6 days,Expired,15,"Architecture, Arts, Chemistry, Computer science, Educational sciences, Engineering, History, Literature, Medical sciences",To be defined,01/04-3.2785/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,578444,18/11/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 2 hours,Expired,6,"Arts, Computer science, Geography, Juridical sciences, Mathematics, Other",To be defined,01/04-3.2541/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,569491,20/10/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 11 hours,Expired,30,"Agricultural sciences, Architecture, Chemistry, Computer science, Educational sciences, Engineering, Geography, History, Medical sciences",To be defined,01/04-3.2203/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,551666,19/08/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",1 week 6 days,Expired,18,"Agricultural sciences, Computer science, Engineering › Civil engineering, Juridical sciences, Language sciences, Medical sciences, Sociology",To be defined,02/04-3.1604-15/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,541040,10/7/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 5 days,Expired,28,"Agricultural sciences, Architecture, Chemistry, Educational sciences, Engineering, Language sciences, Mathematics, Medical sciences, Technology",To be defined,01/04-2.1451/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,532859,16/06/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",3 weeks 3 days,Expired,23,"Agricultural sciences, Arts, Biological sciences, Communication sciences, Cultural studies, Educational sciences, Engineering, Juridical sciences, Language sciences, Mathematics, Medical sciences, Physics, Sociology, Technology",To be defined,01/04-2.1144/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,524722,19/05/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 1 day,Expired,23,"Arts, Communication sciences, Educational sciences, Engineering, Environmental science, Juridical sciences, Language sciences, Mathematics, Medical sciences, Technology",To be defined,,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,504876,16/03/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 1 day,Expired,9,"Architecture, Chemistry, Engineering › Other, Mathematics, Medical sciences, Neurosciences, Pharmacological sciences, Psychological sciences",To be defined,01/04-2.569/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,493628,17/02/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 1 day,Expired,19,"Anthropology, Arts, Biological sciences, Engineering, Geography, Language sciences, Medical sciences, Other",To be defined,01/04-2.261/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,484444,24/01/2020,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",2 weeks 1 hour,Expired,12,"Agricultural sciences, Biological sciences, Engineering, Juridical sciences, Language sciences, Mathematics, Medical sciences",To be defined,01/04-2.59/20,Not funded by an EU programme
UNIVERSITY OF BANJA LUKA,,,Higher Education Institute,474387,18/12/2019,"Call for promotion on professor and teaching assistant positions at University of Banja Luka, Bosnia and Herzegovina",1 week 5 days,Expired,37,"Agricultural sciences, Arts, Biological sciences, History, Language sciences, Medical sciences, Other, Physics, Political sciences",To be defined,01/04-2.3320/19,Not funded by an EU programme
