Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
A.SPIRE,,,Other,233792,18/07/2017,Project/Programme Manager (M/F),1 month 1 day,Expired,1,Engineering › Industrial engineering,Temporary,,Not funded by an EU programme
Academy of Business in Society,,,Other,358807,27/11/2018,Early Stage Researcher (PhD) - Circular Economy,1 month 2 weeks,Expired,1,"Economics › Environmental economics, Environmental science › Global change",Temporary,,H2020 / Marie Skłodowska-Curie Actions
ADx,,,"Small Medium Enterprise, Start-up",504314,13/03/2020,Early Stage Researcher (PhD student),11 months 1 week,Closed,1,Neurosciences › Neurobiology,Temporary,860197,H2020 / Marie Skłodowska-Curie Actions COFUND
AGC Glass Europe,,,Large Company,565989,8/10/2020,Electronics/Instrumentation technician,1 month 1 day,Expired,1,"Engineering › Electronic engineering, Engineering › Electrical engineering",Permanent,4531,Not funded by an EU programme
AGC Glass Europe,,,Large Company,556290,7/9/2020,AGC'S IS SPONSORING A PHD ON THE NUMERICAL MODELLING OF ANTI FIRE GLASS WITH LIEGE UNIVERSITY,5 months 2 weeks,Closed,1,Engineering › Materials engineering,Temporary,BE_APP,Not funded by an EU programme
AGC Glass Europe,,,Large Company,486750,30/01/2020,Postdoctoral Fellows in the Matter at Extremes Group,1 month 1 day,Expired,1,"Chemistry, Physics",Temporary,PDID/EBS/MEx,Not funded by an EU programme
AGC Glass Europe,,,Large Company,486152,29/01/2020,Postdoctoral Fellows In the Complex Systems and Biomedical Sciences Group,1 month 1 day,Expired,1,"Chemistry, Physics",Temporary,PDID/EBS/CBS,Not funded by an EU programme
AGC Glass Europe,,,Large Company,463368,14/11/2019,CIVIL ENGINEER (MATERIALS) TO WORK ON AUTOMOTIVE R&D PROJECTS,1 month 4 hours,Expired,2,"Engineering › Civil engineering, Engineering › Industrial engineering",Permanent,,Not funded by an EU programme
AGC Glass Europe,,,Large Company,456567,21/10/2019,"JUNIOR RESEARCHER (MASTER PHYSICS, MATHEMATICS OR ENGINEER) WITH EXPERIENCE IN EM SIMULATION",1 month 1 day,Expired,1,"Engineering › Electrical engineering, Mathematics",Permanent,BE_ANT_64,Not funded by an EU programme
AGC Glass Europe,,,Large Company,452407,7/10/2019,WIRELESS COMMUNICATIONS NETWORK RESEARCHER FOR THE ANTENNAS DEPARTMENT,1 month 1 day,Expired,2,"Engineering › Electrical engineering, Engineering › Electronic engineering",Permanent,BE_ANT_62,Not funded by an EU programme
AGC Glass Europe,,,Large Company,442137,2/9/2019,PhD Chemist or Engineer,1 month 11 hours,Expired,1,"Chemistry, Engineering",Temporary,,Not funded by an EU programme
AGC Glass Europe,,,Large Company,422989,1/7/2019,"SPECIALIST IN PHYSICS, CHEMISTRY OR MATERIAL SCIENCES",1 month 1 day,Expired,1,"Chemistry, Physics",Other,,Not funded by an EU programme
AGC Glass Europe,,,Large Company,422960,1/7/2019,"EXPERIENCE THE EXCITEMENT OF INDUSTRIAL RESEARCH - RESEARCHER (MATHEMATICS, PHYSICS OR IT)",1 month 1 day,Expired,1,"Mathematics, Physics, Technology",Permanent,,Not funded by an EU programme
