Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Aurubis Bulgaria AD,,,Large Company,243963,7/9/2017,RESEARCH & DEVELOPMENT ENGINEER – METALLURGY and MATERIALS,1 month 1 week,Expired,1,"Chemistry, Engineering › Materials engineering",Permanent,26_17,Not funded by an EU programme
Bulgarian Academy of Sciences,,,Higher Education Institute,597493,22/01/2021,"Postdoc at the Institute of Mathematics and Informatics, Bulgarian Academy of Sciences",4 weeks 23 hours,Published,1,Mathematics › Geometry,Temporary,,Not funded by an EU programme
Bulgarian Academy of Sciences,,,Higher Education Institute,528433,2/6/2020,Senior Researcher,3 weeks 1 day,Expired,1,"Chemistry › Homogeneous catalysis, Mathematics › Geometry",Temporary,,Not funded by an EU programme
Bulgarian Academy of Sciences,,,Higher Education Institute,504271,13/03/2020,Postdoc Position,2 weeks 7 hours,Expired,1,Mathematics › Geometry,Temporary,,Not funded by an EU programme
Bulgarian Academy of Sciences,,,Higher Education Institute,492436,14/02/2020,Senior Researcher,1 week 3 days,Expired,1,Mathematics › Geometry,Temporary,,Not funded by an EU programme
Center for the Study of Democracy,,,Private with public mission,464598,19/11/2019,Research Fellow: Security,3 weeks 5 days,Expired,1,"Criminology, Political sciences, Sociology",Permanent,,Not funded by an EU programme
Center for the Study of Democracy,,,Private with public mission,271992,15/01/2018,Senior Analysts / Research Fellows,1 month 2 weeks,Expired,1,"Criminology, Economics › Economics of development, Economics › Economic policy, Juridical sciences › Judicial law, Juridical sciences › Public law",To be defined,SA/RF 1,Not funded by an EU programme
Center of Plant Systems Biology and Biotechnology,,,Private with public mission,576821,12/11/2020,"Postdoctoral researcher, Department of Plant Development at CPSBB",1 month 2 weeks,Expired,1,Biological sciences,Temporary,CPSBBPlantDevNov2020,H2020
Center of Plant Systems Biology and Biotechnology,,,Private with public mission,510068,1/4/2020,"Postdoctoral Researcher/Junior Group Leader, Department Bioinformatics at CPSBB",1 month 7 hours,Expired,1,Biological sciences › Other,Temporary,CPSBBBioinfo310320,H2020
Center of Plant Systems Biology and Biotechnology,,,Private with public mission,446930,18/09/2019,Laboratory manager/Technician at CPSBB,3 weeks 6 days,Expired,1,Biological sciences › Biology,Temporary,CPSBBLMT091019,H2020
Center of Plant Systems Biology and Biotechnology,,,Private with public mission,425779,10/7/2019,Laboratory Manager/Technician,1 month 5 days,Expired,1,Biological sciences › Biology,Temporary,CPSBBLMT19,H2020
Center of Plant Systems Biology and Biotechnology,,,Private with public mission,407602,14/05/2019,Postdoctoral Researcher in Bioinformatics and Mathematical Modelling,3 months 2 weeks,Expired,1,Biological sciences › Other,Temporary,CPSBB2019PhDBMM310819,H2020
