Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
3Brain GmbH,,,"Small Medium Enterprise, Start-up",508828,27/03/2020,Sales Representative (Neuroscience field - No sales experiences required),10 months 4 weeks,Closed,1,"Biological sciences, Neurosciences, Physics › Biophysics",Permanent,,Not funded by an EU programme
3Brain GmbH,,,"Small Medium Enterprise, Start-up",498402,27/02/2020,German Area Sales Manager (Neuroscience field - No Sales experience required),11 months 4 weeks,Closed,1,"Biological sciences, Neurosciences, Physics › Biophysics",Permanent,,Not funded by an EU programme
3Brain GmbH,,,"Small Medium Enterprise, Start-up",488095,3/2/2020,Sales Area Manager (Sales Experience not required),4 weeks 1 day,Expired,2,"Biological sciences › Biological engineering, Biological sciences › Biology, Neurosciences › Neurophysiology, Neurosciences › Neurology, Pharmacological sciences › Clinical pharmacology, Pharmacological sciences › Toxicology",Permanent,,Not funded by an EU programme
3Brain GmbH,,,"Small Medium Enterprise, Start-up",472801,13/12/2019,Sales Representative,2 months 2 weeks,Expired,3,"Biological sciences › Biological engineering, Biological sciences › Biology, Neurosciences › Neurophysiology, Neurosciences › Neurology",Permanent,,Not funded by an EU programme
3Brain GmbH,,,"Small Medium Enterprise, Start-up",465345,21/11/2019,Sales Area Manager,2 months 4 days,Expired,1,"Biological sciences › Biology, Biological sciences › Biological engineering, Neurosciences › Neurophysiology, Neurosciences › Neurobiology, Pharmacological sciences › Toxicology",Permanent,,Not funded by an EU programme
3Brain GmbH,,,"Small Medium Enterprise, Start-up",448895,25/09/2019,Sales Area Manager,2 months 6 days,Expired,1,Neurosciences › Neurophysiology,Permanent,,Not funded by an EU programme
Adolphe Merkle Institute,,,Higher Education Institute,352594,5/11/2018,Postdoc Position in Optics,1 month 4 hours,Expired,1,Physics › Optics,Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,,,Higher Education Institute,352590,5/11/2018,PhD Position in Optics,1 month 4 hours,Expired,1,Physics › Optics,Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,,,Higher Education Institute,352572,5/11/2018,Postdoc position in Polymer Self-Assembly,1 month 5 hours,Expired,1,"Chemistry › Physical chemistry, Engineering › Chemical engineering, Physics › Chemical physics",Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,,,Higher Education Institute,352569,5/11/2018,PhD position in Polymer Self-Assembly,1 month 5 hours,Expired,1,"Chemistry › Physical chemistry, Engineering › Chemical engineering, Physics › Chemical physics",Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,,,Higher Education Institute,340205,20/09/2018,PhD student in novel Bio-inspired catalyst (4 years),2 months 3 weeks,Expired,1,"Biological sciences › Biological engineering, Chemistry › Homogeneous catalysis, Chemistry › Biochemistry",Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,,Soft Matter Physics,Higher Education Institute,396909,4/4/2019,4 PhD positions in optics,4 months 4 weeks,Expired,4,Physics › Optics,Temporary,833895,H2020 / ERC
Adolphe Merkle Institute,Communications,,Higher Education Institute,597100,21/01/2021,Postdoc Position in Self-Assembled Photonic Particles,4 weeks 1 day,Published,1,"Chemistry, Physics",Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,592234,5/1/2021,Scientific Collaborator - Lung / Intestine Epithelial Tissue Barriers (100%),3 weeks 6 days,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,576291,11/11/2020,PhD position: long-term fate of internalized nanoparticles in macrophages,3 months 1 week,Closed,1,"Biological sciences › Other, Other",To be defined,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,570035,21/10/2020,PhD positions - optically upconverting polymers,1 month 1 day,Expired,1,Chemistry,To be defined,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,562405,28/09/2020,PhD Position: Hybrid Materials for Photovoltaics,1 month 11 hours,Expired,1,"Chemistry, Physics",To be defined,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,561178,23/09/2020,Postdoctoral researcher - hazard assessment of nanoparticles / tissue models,1 month 6 hours,Expired,1,"Biological sciences › Other, Chemistry › Other",To be defined,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,559561,17/09/2020,Senior engineer/materials scientist/Swiss NanoAnalytics,1 month 4 weeks,Expired,1,"Biological sciences › Other, Chemistry › Analytical chemistry",To be defined,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,243072,4/9/2017,PhD Position in Physics,1 month 3 weeks,Expired,1,Physics › Optics,Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,232806,14/07/2017,Research Scientist / Postdoc in tissue engineering,1 month 2 weeks,Expired,1,Biological sciences › Biological engineering,Temporary,,Not funded by an EU programme
Adolphe Merkle Institute,Communications,,Higher Education Institute,217388,15/05/2017,PhD position in the field of stimuli-responsive polymers,6 months 3 days,Expired,3,Chemistry,Temporary,,Not funded by an EU programme
Advertima AG,"Artificial Intelligence, Machine Learning & Computer Vision",,"Small Medium Enterprise, Start-up",333430,21/08/2018,Senior Computer Vision & Machine Learning Engineer (m/f) in Tech-Startup,2 months 1 week,Expired,1,Computer science › Other,Permanent,,Not funded by an EU programme
Agroscope,,,Higher Education Institute,577799,16/11/2020,Project manager,1 month 8 hours,Expired,1,Agricultural sciences › Zootechnics,Temporary,43906,H2020 / Marie Skłodowska-Curie Actions
Agroscope,,,Higher Education Institute,574692,5/11/2020,PHD ON TEMPORAL STABILITY OF GUT MICROBIOTA IN PIGS,1 month 7 hours,Expired,1,Agricultural sciences › Zootechnics,Temporary,43872,H2020 / Marie Skłodowska-Curie Actions
Agroscope,,,Higher Education Institute,574689,5/11/2020,PHD ON HOW TO DETECT IUGR PIGLETS,1 month 7 hours,Expired,1,Agricultural sciences › Zootechnics,Temporary,43870,H2020 / Marie Skłodowska-Curie Actions
ARTIDIS AG,,,"Small Medium Enterprise, Start-up",544402,22/07/2020,DevOps Engineer,2 months 1 sec,Expired,2,"Computer science › Programming, Engineering › Systems engineering, Engineering › Other",Permanent,,Not funded by an EU programme
ARTIDIS AG,,,"Small Medium Enterprise, Start-up",544376,22/07/2020,DevOps /System Engineer,1 month 1 day,Expired,2,"Computer science › Programming, Engineering › Systems engineering, Engineering › Other",Permanent,,Not funded by an EU programme
ARTORG Center for Biomedical Engineering Research,Hearing Research,,Public Research Institution,291070,21/03/2018,Bachelor / Master Thesis in Audio Signal Processing / Acoustics / Machine Learning,3 months 1 day,Expired,2,"Engineering › Biomedical engineering, Engineering › Other, Engineering › Electrical engineering",Temporary,,Not funded by an EU programme
Basel University Hospital,Department of Biomedicine,Cell and Gene Therapy,Higher Education Institute,478017,6/1/2020,PhD position in Biomedicine - Vascularization in Regenerative Medicine,1 month 1 week,Expired,1,Biological sciences › Biology,Not Applicable,874790,H2020
Basel University Hospital,Department of Biomedicine,Cell and Gene Therapy,Higher Education Institute,309821,28/05/2018,PhD Position,1 month 3 days,Expired,1,Biological sciences › Biology,Not Applicable,,H2020
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,587352,15/12/2020,PhD student in aquaculture,1 month 2 weeks,Expired,1,Agricultural sciences,Temporary,,Not funded by an EU programme
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,558351,15/09/2020,Wiss. Mitarbeiterin / Wiss. Mitarbeiter für Leitung Pilotprojekte innovativer Methoden in der Bodenkartierung (Kompetenzzentrum Boden),2 weeks 1 day,Expired,1,Other,Permanent,,Not funded by an EU programme
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,552796,25/08/2020,"PhD position in SNF project ""Caring about Diversities",3 weeks 3 days,Expired,1,Medical sciences › Medicine,Temporary,,Not funded by an EU programme
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,552782,25/08/2020,"Post-Doc-position im SNF-Project ""Caring about Diversities""",3 weeks 3 days,Expired,1,Medical sciences,Temporary,,Not funded by an EU programme
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,543716,20/07/2020,Scientific collaborator in international crop production and rural development,1 month 1 week,Expired,1,Agricultural sciences › Agricultural products,Temporary,,Not funded by an EU programme
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,528550,2/6/2020,Medical technology project engineer,3 weeks 3 days,Expired,2,Medical sciences › Other,Temporary,,Not funded by an EU programme
Berner Fachhochschule,"Services, Human Resources",,Higher Education Institute,527587,29/05/2020,Research associate for Technology Impact Assessment and Policy Analysis,1 month 2 days,Expired,2,Other,Temporary,,Not funded by an EU programme
