Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Beijing Institute of Technology,School of Optoelectronics,Micro&nano Optics,Higher Education Institute,567591,14/10/2020,1 PhD position in Remote Sensing of Bamboo Forest Ecosystems,1 month 2 weeks,Expired,1,"Environmental science › Natural resources management, Environmental science › Other",Temporary,,Not funded by an EU programme
Beijing Institute of Technology,School of Optoelectronics,Micro&nano Optics,Higher Education Institute,541048,10/7/2020,2 PhD positions in Laser Interference Lithography,7 months 2 weeks,Published,1,Physics › Optics,To be defined,,Not funded by an EU programme
Changchun Institute of Applied Chemistry,Analytical Chemistry,State Key Laboratory of Electroanalytical Chemistry,Public Research Institution,483414,22/01/2020,Chinese Academy of Sciences (CAS) President’s International Fellowship Initiative (PIFI) Postdoctoral Positions in Chemistry,2 months 1 week,Expired,3,"Chemistry › Applied chemistry, Chemistry › Biochemistry, Chemistry › Organic chemistry, Chemistry › Analytical chemistry",Temporary,,Not funded by an EU programme
Changchun Institute of Applied Chemistry,Analytical Chemistry,State Key Laboratory of Electroanalytical Chemistry,Public Research Institution,473648,17/12/2019,PhD Chemistry,3 months 4 days,Expired,4,"Chemistry › Analytical chemistry, Chemistry › Biochemistry, Chemistry › Organic chemistry, Chemistry › Applied chemistry",Not Applicable,,Not funded by an EU programme
Charite Universitätsmedizin Berlin,Department of Psychosomatic Disorders and Otolaryngology,Tinnituscentre,Higher Education Institute,300469,23/04/2018,PhD Studentship,1 month 12 hours,Expired,1,Psychological sciences › Other,Temporary,,H2020 / Marie Skłodowska-Curie Actions
China Europe International Business School,,,Higher Education Institute,395345,1/4/2019,CEIBS Invites Applications for Lectureship / Assistant Professorship from Recent PhD Graduates,9 months 4 days,Expired,3,"Economics › Financial science, Economics › Management studies, Economics › Marketing",To be defined,,Not funded by an EU programme
China Investment Corporation,,,International / Intergovernmental Organisation,463301,14/11/2019,China Investment Corporation 2020 Campus Recruitment,2 weeks 4 days,Expired,50,"Economics › Financial science, Engineering, Physics, Technology",Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,554124,28/08/2020,Multiple Faculty Positions in Areas in Natural Sciences,2 months 3 days,Expired,12,"Biological sciences, Chemistry, Computer science, Environmental science, Mathematics, Neurosciences, Physics",Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,554123,28/08/2020,Multiple Faculty Positions in Areas in Social Sciences,2 months 3 days,Expired,12,"Economics, Neurosciences, Political sciences, Psychological sciences, Sociology",Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,554122,28/08/2020,Multiple Faculty Positions in Areas in Arts and Humanities,2 months 3 days,Expired,4,"Arts, History, Religious sciences",Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,502147,7/3/2020,Multiple Faculty Positions in Areas in Social Sciences,1 month 21 hours,Expired,5,"Economics, Ethics in social sciences, Philosophy, Political sciences, Psychological sciences",To be defined,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,502146,7/3/2020,Multiple Faculty Positions in Areas in Natural Science,1 month 21 hours,Expired,8,"Biological sciences, Chemistry, Computer science, Environmental science, Mathematics, Neurosciences",To be defined,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,444451,9/9/2019,Faculty Position in International Political Economy,1 month 6 days,Expired,1,Political sciences,Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,444450,9/9/2019,Faculty Position in Behavioral Science,1 month 6 days,Expired,1,"Neurosciences, Psychological sciences",Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,444449,9/9/2019,Faculty Position in Psychology,1 month 3 weeks,Expired,2,Psychological sciences,Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,444447,9/9/2019,Faculty Position in Natural Sciences,1 month 6 days,Expired,15,"Biological sciences, Chemistry, Computer science, Environmental science, Mathematics, Neurosciences, Physics, Psychological sciences",Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,444444,9/9/2019,Faculty Position in Transnational Asian History,1 month 3 weeks,Expired,1,History › Other,Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,332525,16/08/2018,Faculty Positions in Physics,2 months 11 hours,Expired,2,Physics,Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,332521,16/08/2018,Faculty Positions in Applied and Theoretical Mathematics,2 months 11 hours,Expired,3,Mathematics,Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,332499,16/08/2018,Faculty Positions in Data and Computational Science,2 months 11 hours,Expired,3,Computer science,Permanent,,Not funded by an EU programme
Duke Kunshan University,,,Higher Education Institute,320099,29/06/2018,Founding Distinguished Professor of the Arts,3 months 2 weeks,Expired,1,"Arts › Performing arts, Arts › Visual arts, Arts › Fine arts, Arts › Other",Permanent,,Not funded by an EU programme
