Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Aalborg University,"Center for Neuroplasticity and Pain (CNAP) SMI, Dept. of Health Science and Technology",,Higher Education Institute,212423,26/04/2017,Several PhD Stipends at FRESCO@CNAP (21-17024),2 months 4 days,Expired,4,Neurosciences › Other,Other,21-17024,H2020 / Marie Skłodowska-Curie Actions
Aalborg University,"Center for Neuroplasticity and Pain (CNAP) SMI, Dept. of Health Science and Technology",,Higher Education Institute,212356,26/04/2017,Several PhD Stipends at FRESCO@CNAP (21-17024),2 months 4 days,Expired,4,Neurosciences › Other,Other,21-17024,Not funded by an EU programme
Aalborg University,Department of Energy Technology,Advanced Biofuels,Higher Education Institute,374533,28/01/2019,PhD student in Hydrothermal Liquefaction of urban feedstocks for sustainable fuel production,2 weeks 2 days,Expired,1,"Engineering › Chemical engineering, Technology › Energy technology",Other,818413,H2020
Aalborg University,Department of Health Science and Technology,,Higher Education Institute,530926,10/6/2020,One or more PhD stipends in biomedical engineering,1 month 6 days,Expired,1,Engineering › Biomedical engineering,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aalborg University,HR,,Higher Education Institute,599271,28/01/2021,2021-224-03327 Associate Professor in Arctic Technology Studies,1 week 6 days,Expired,1,Anthropology,Temporary,,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,597509,22/01/2021,2021-224-03323 Assistant Professor in Organizational Communication,4 weeks 22 hours,Published,1,"Communication sciences › Business communication, Economics › Business economics",Temporary,,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,594049,12/1/2021,2021-224-03294 Associate Professor in American Literature and Culture,1 month 1 week,Published,1,"Biological sciences › Biological engineering, Literature",Permanent,2021-224-03294,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,589918,22/12/2020,2020-224- 03268 Assistant Professor in research communication,1 week 3 days,Expired,1,"Agricultural sciences › Agricultural products, Communication sciences, Psychological sciences",Temporary,,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,581188,26/11/2020,Assistant professor in public administration,1 month 5 days,Expired,1,"Ethics in social sciences, Political sciences › Science and society",Temporary,,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,579816,23/11/2020,Professor in Social Work,1 month 1 week,Expired,1,"Ethics in social sciences, Sociology › Other",Permanent,,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,578887,19/11/2020,Associate professor in Political science,1 month 2 days,Expired,1,Political sciences,Permanent,2020-224-03195,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,575130,6/11/2020,PhD scholarship in Finance,1 month 6 hours,Expired,1,Economics,Temporary,,Not funded by an EU programme
Aalborg University,HR,,Higher Education Institute,573497,2/11/2020,2020-224-03145 Associate Professor in Music therapy assessment and interventions for autism,1 month 7 hours,Expired,1,"Communication sciences, Psychological sciences",Temporary,2020-224-03145,Not funded by an EU programme
