Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Baltic Defence College,,,International / Intergovernmental Organisation,511558,6/4/2020,Manager in Academic and Outreach Activities,3 weeks 2 days,Expired,1,Educational sciences,Permanent,,Not funded by an EU programme
Baltic Defence College,,,International / Intergovernmental Organisation,511554,6/4/2020,Lecturer in Strategic Leadership and Military Ethics,3 weeks 2 days,Expired,1,Ethics in social sciences,Permanent,,Not funded by an EU programme
Baltic Defence College,,,International / Intergovernmental Organisation,511553,6/4/2020,Lecturer in NATO Joint Operations,3 weeks 2 days,Expired,1,Educational sciences,Permanent,,Not funded by an EU programme
Baltic Defence College,,,International / Intergovernmental Organisation,406597,10/5/2019,Lecturer International Relations,1 month 3 hours,Expired,1,Political sciences › Other,Permanent,,Not funded by an EU programme
Baltic Defence College,,,International / Intergovernmental Organisation,402671,25/04/2019,Lecturer in Joint Air Operations,1 month 6 days,Expired,1,Educational sciences › Other,Permanent,,Not funded by an EU programme
Baltic Defence College,,,International / Intergovernmental Organisation,385137,4/3/2019,Lecturer in Defence and Cyber Studies,3 weeks 5 days,Expired,1,Other,To be defined,1_2019,Not funded by an EU programme
Centre of Food and Fermaentation Technologies,,,"Small Medium Enterprise, Start-up",378923,11/2/2019,Early Stage Researcher,1 month 2 weeks,Expired,1,"Chemistry › Instrumental techniques, Chemistry › Biochemistry, Chemistry › Organic chemistry",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Estonian Business School,Personnel Department,,Higher Education Institute,585447,9/12/2020,Professor or Associate Professor of Finance,1 month 3 weeks,Expired,1,Economics › Business economics,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,520074,4/5/2020,Senior Lecturer in Finance and/or Accounting,3 weeks 6 days,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,385128,4/3/2019,Lecturer of Marketing,2 months 4 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,385127,4/3/2019,Lecturer of Economics,2 months 4 weeks,Expired,1,Economics,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,385125,4/3/2019,Associate or Full Professor in Management,2 months 4 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,385122,4/3/2019,Associate or Full Professor in Entrepreneurship,2 months 4 weeks,Expired,2,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,385121,4/3/2019,Assistant or Associate Professor in Finance,2 months 4 weeks,Expired,2,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,295076,5/4/2018,LECTURER IN FINANCIAL ACCOUNTING,1 month 3 weeks,Expired,1,Economics › Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294957,4/4/2018,LECTURER IN IT & DIGITAL TECHNOLOGIES,1 month 3 weeks,Expired,1,"Computer science, Engineering, Mathematics, Other",Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294956,4/4/2018,FULL OR ASSOCIATE PROFESSOR IN BIG DATA & BUSINESS INTELLIGENCE,1 month 3 weeks,Expired,1,"Computer science, Engineering, Other",Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294953,4/4/2018,FULL OR ASSOCIATE PROFESSOR IN STRATEGIC MANAGEMENT,1 month 3 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294952,4/4/2018,ASSOCIATE OR ASSISTANT PROFESSOR IN LEADERSHIP,1 month 3 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294948,4/4/2018,ASSOCIATE OR ASSISTANT PROFESSOR IN ENTREPRENEURSHIP,1 month 3 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294947,4/4/2018,FULL PROFESSOR IN MANAGEMENT,1 month 3 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294944,4/4/2018,FULL OR ASSOCIATE PROFESSOR IN FINANCE,1 month 3 weeks,Expired,1,Economics,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294941,4/4/2018,PROFESSOR OR ASSOCIATE PROFESSOR IN ECONOMICS,1 month 3 weeks,Expired,1,Economics,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294929,4/4/2018,LECTURER IN MARKETING,1 month 3 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294926,4/4/2018,FULL PROFESSOR IN BRANDING,1 month 3 weeks,Expired,1,Other,Temporary,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294924,4/4/2018,FULL PROFESSOR IN BUSINESS ETHICS,1 month 3 weeks,Expired,1,Ethics in social sciences,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294921,4/4/2018,ASSISTANT OR ASSOCIATE PROFESSOR IN DIGITAL MARKETING,1 month 3 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Estonian Business School,Personnel Department,,Higher Education Institute,294918,4/4/2018,FULL PROFESSOR IN POLITICAL ECONOMY,3 weeks 5 days,Expired,1,Economics,Permanent,,Not funded by an EU programme
Estonian University of Life Sciences,Institute of Technology,Biosystems Engineering,Higher Education Institute,603235,9/2/2021,GC-MS Specialist,1 week 3 days,Published,2,Biological sciences › Biology,Temporary,,H2020
Estonian University of Life Sciences,Institute of Technology,Biosystems Engineering,Higher Education Institute,551597,19/08/2020,PhD student in nanostructured photovoltaics,4 months 2 weeks,Expired,1,"Chemistry › Inorganic chemistry, Engineering › Materials engineering, Physics › Applied physics, Technology › Energy technology, Technology › Nanotechnology, Technology › Materials technology",Temporary,,Not funded by an EU programme
Estonian University of Life Sciences,Institute of Technology,Biosystems Engineering,Higher Education Institute,546731,29/07/2020,Senior Research Fellow in Sustainable Food Production,2 months 3 days,Expired,1,Technology › Production technology,Temporary,,H2020
Estonian University of Life Sciences,Institute of Technology,Biosystems Engineering,Higher Education Institute,540802,9/7/2020,Research fellow in plant ecology (plant stress biology on global scale),2 months 1 week,Expired,1,Biological sciences › Botany,Permanent,,Not funded by an EU programme
Estonian University of Life Sciences,Institute of Technology,Biosystems Engineering,Higher Education Institute,540787,9/7/2020,Professor of Water Protection and Waste Management,2 months 1 week,Expired,1,Environmental science › Water science,Permanent,,Not funded by an EU programme
Estonian University of Life Sciences,Institute of Technology,Biosystems Engineering,Higher Education Institute,520468,5/5/2020,Senior research fellow in bioinformatics,3 weeks 5 days,Expired,1,Medical sciences › Veterinary medicine,Temporary,,H2020
