Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
"""Athena"" Research & Innovation Center in Information, Communication and Knowledge Technologies",,,Public Research Institution,507739,24/03/2020,PhD Position (topic: Optimised predicate toolbox for geometric design and processing),7 months 1 week,Expired,1,"Computer science › 3 D modelling, Computer science › Informatics, Computer science › Modelling tools, Mathematics › Algebra, Mathematics › Algorithms, Mathematics › Applied mathematics, Mathematics › Geometry",Temporary,,H2020 / Marie Skłodowska-Curie Actions
"""Athena"" Research & Innovation Center in Information, Communication and Knowledge Technologies",,,Public Research Institution,483047,21/01/2020,PhD Position (topic:Deep Learning for 3D shape retrieval),9 months 1 week,Expired,2,"Computer science › 3 D modelling, Computer science › Informatics, Computer science › Modelling tools, Mathematics › Algebra, Mathematics › Algorithms, Mathematics › Geometry, Mathematics › Applied mathematics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Academy of Athens,Research Committee,,Public Research Institution,385052,4/3/2019,Early Stage Researcher (ESR) position at the ACADEMY OF ATHENS (Greece),3 weeks 6 days,Expired,1,Physics › Classical mechanics,Temporary,Stardust-R,H2020 / Marie Skłodowska-Curie Actions
AETHON engineering consultants,,,"Small Medium Enterprise, Start-up",187216,8/3/2017,Transportation Analyst/Researcher,6 months 1 week,Expired,1,"Computer science › Programming, Computer science › Database management, Computer science › Modelling tools, Engineering › Civil engineering, Engineering › Computer engineering, Engineering › Simulation engineering, Mathematics › Algorithms, Physics",Temporary,739607 Cordis,H2020 / SME Innovation Associate
Akershus University Hospital,,,Other,587820,16/12/2020,A researcher position (Forsker) is available in the research group “Functional Genetics of Obesity”,1 month 9 hours,Expired,1,Medical sciences › Medicine,Other,4311466573,Not funded by an EU programme
Akershus University Hospital,,,Other,578449,18/11/2020,A researcher position (Forsker) is available in the research group “Functional Genetics of Obesity”,2 weeks 4 days,Expired,1,Medical sciences › Medicine,Temporary,4311466573,Not funded by an EU programme
API EUROPE,,,"Small Medium Enterprise, Start-up",399004,11/4/2019,Researcher in the Nanocellulose field,1 month 2 hours,Expired,1,"Chemistry › Organic chemistry, Engineering › Chemical engineering",Permanent,,Not funded by an EU programme
Aristotle University of Thessaloniki,Department of Chemical Engineering,Environmental Engineering Laboratory,Higher Education Institute,321178,3/7/2018,2 Early Stage Resarcher positions in the field of ”Neurological Exposome” in the EU- funded Marie Skłodowska-Curie Innovative Training Network (ITN) NEUROSOME,2 months 2 days,Expired,1,"Biological sciences, Neurosciences, Pharmacological sciences › Toxicology",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki,Department of Chemical Engineering,Environmental Engineering Laboratory,Higher Education Institute,321178,3/7/2018,2 Early Stage Resarcher positions in the field of ”Neurological Exposome” in the EU- funded Marie Skłodowska-Curie Innovative Training Network (ITN) NEUROSOME,2 months 2 days,Expired,1,"Biological sciences, Neurosciences, Pharmacological sciences › Toxicology",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,567762,14/10/2020,"Two (2) Early Stage Researchers (ESRs) - MSCA-ITN Project ""Harnessing Data and Technology for Journalism""",2 weeks 21 hours,Expired,2,"Communication sciences, Other",Other,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,559601,17/09/2020,"Two (2) Early Stage Researchers (ESRs) - MSCA-ITN Project ""Harnessing Data and Technology for Journalism""",2 weeks 20 hours,Expired,2,"Communication sciences, Other",Other,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,488168,3/2/2020,One (1) Early Stage Researcher in the framework of the Innovative Training Network (ITN) Marie Skłodowska Curie project:Neurosome,1 month 1 week,Expired,1,"Biological sciences › Biology, Biological sciences › Biological engineering, Engineering › Biomedical engineering, Environmental science › Other",Other,28279/2020,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,425837,10/7/2019,One (1) Early Stage Researcher in the framework of the Innovative Training Network (ITN) Marie Skłodowska Curie project «PROTECT: Predictive mOdelling Tools to evaluate the Effects of Climate change on food safeTy and spoilage»,1 month 45 min,Expired,1,Agricultural sciences › Other,Other,148166/2019,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,401911,23/04/2019,"Three (3) M.A students under the project ““PlantCult: Investigating the food cultures of ancient Europe: an interdisciplinary investigation of plant ingredients, culinary transformation and evolution through time” (91989)",2 weeks 1 day,Expired,3,History › Archaeology,Temporary,88212/2019,H2020 / ERC
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,392390,22/03/2019,"Two (2) Early Stage Researchers (ESRs) - MSCA-ITN Project ""RAIS""",2 months 1 week,Expired,2,Computer science › Informatics,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,346136,12/10/2018,"Two (2) Early Stage Researchers (ESRs) - MSCA-ITN Project ""NEUROSOME""",1 month 1 day,Expired,2,"Biological sciences › Biology, Engineering › Other, Environmental science › Other",Permanent,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,333349,21/08/2018,"One (1) person / Early Stage Researcher ESR3 / for 36 months / up to € 134,386.92",2 weeks 1 day,Expired,1,"Communication sciences › Journalism, Technology › Information technology",Temporary,100640/2018,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,328014,27/07/2018,"One (1) Post – doctoral Researchers under the project ""Heteropolitics: Refiguring the Common and the Political"" (93034)",1 month 2 weeks,Expired,1,"Anthropology › Social anthropology, Political sciences › Other",Temporary,17979/2017,H2020 / ERC
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,318978,26/06/2018,"A PhD position / ""MultiMind – The Multilingual Mind” funded under HORIZON 2020 Marie Skłodowska-Curie",2 weeks 10 hours,Expired,1,Language sciences › Linguistics,Other,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,256041,31/10/2017,Two (2) Early Stage Researchers under ITN project «5G STEP FWD-5G System Technological Enhancements Provided by Fiber Wireless Deployments»,1 month 4 weeks,Expired,2,"Computer science, Engineering › Electrical engineering, Engineering › Computer engineering, Engineering › Communication engineering, Physics",Other,110700/2017,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,235318,24/07/2017,"Two (2) Early Stage Researchers (ESRs) - MSCA-ITN Project ""5G STEP FWD""",2 months 3 days,Expired,2,Engineering › Electrical engineering,Other,,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,221356,31/05/2017,Two (2) Marie Skłodowska Curie Ph.D. students/ Early Stage Researchers under ITN project MICROMETABOLITE,3 months 2 weeks,Expired,2,"Biological sciences › Biological engineering, Chemistry › Biochemistry, Engineering › Chemical engineering",Other,85466/2017,H2020 / Marie Skłodowska-Curie Actions
Aristotle University of Thessaloniki - Research Committee,Research Committee,,Higher Education Institute,184282,23/02/2017,"Three (3) Post – doctoral Researchers under the project ""Heteropolitics: Refiguring the Common and the Political"" (93034)",3 weeks 22 hours,Expired,3,"Anthropology › Social anthropology, Political sciences › Other",Temporary,17979/2017,H2020 / ERC
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,464347,18/11/2019,Corlipids Bioanalytical scientists/Biochemist (3 PhD candidate positions),1 month 2 weeks,Expired,3,"Biological sciences › Other, Chemistry › Analytical chemistry",Temporary,,Not funded by an EU programme
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,464347,18/11/2019,Corlipids Bioanalytical scientists/Biochemist (3 PhD candidate positions),1 month 2 weeks,Expired,3,"Biological sciences › Other, Chemistry › Analytical chemistry",Temporary,,Not funded by an EU programme
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,464342,18/11/2019,"Two positions: Bioanalytical scientist/Biochemist, PhD candidate or post doctorate level",1 month 2 weeks,Expired,2,Chemistry › Analytical chemistry,Temporary,,Not funded by an EU programme
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,464330,18/11/2019,Postdoctoral scientists-FoodomicsGR_RI,1 month 2 weeks,Expired,2,"Agricultural sciences › Other, Chemistry › Analytical chemistry",Temporary,,Not funded by an EU programme
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,445439,12/9/2019,Postdoctoral scientist (Bioanalytical scientist- Biochemist-Bioinformatician),1 month 4 hours,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,445438,12/9/2019,Postdoctoral Scientist (Bioanalytical scientist/Biochemist),1 month 4 hours,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Aristotle University Thessaloniki,Chemistry,Analytical Chemistry,Higher Education Institute,445433,12/9/2019,Postdoctoral Scientist (Bioinformatician),1 month 5 hours,Expired,1,Biological sciences › Other,Temporary,,Not funded by an EU programme
ARTIA NANO ENGINEERING & CONSULTING,,,"Small Medium Enterprise, Start-up",315329,14/06/2018,Early Stage Researcher (ESR),1 month 2 weeks,Expired,1,Chemistry › Other,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Athens Eye Hospital,,,Other,419084,19/06/2019,Research Assistant in Athens Eye Hospital,1 month 2 hours,Expired,1,Physics › Electronics,Temporary,,H2020
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,586953,14/12/2020,C A L L O F I N T E R E S T F O R A N E X T E R N A L C O L L A B O R A T O R (Ref. Number.:4327),3 weeks 6 days,Expired,1,Biological sciences,Temporary,H2020-MSCA-ITN-860329,FP7 / People-Marie Curie Actions
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,574743,5/11/2020,CALL OF INTEREST FOR AN EXTERNAL COLLABORATOR (Ref. Number.: 3842),1 month 3 hours,Expired,2,Biological sciences,Temporary,H2020-MSCA-ITN-860329,FP7 / People-Marie Curie Actions
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,549471,7/8/2020,C A L L O F I N T E R E S T F O R A N E X T E R N A L C O L L A B O R A T O R (Ref. Number.: 2655),1 month 9 hours,Expired,1,Biological sciences,Temporary,H2020-MSCA-ITN-860329,FP7 / People-Marie Curie Actions
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,538429,2/7/2020,C A L L O F I N T E R E S T F O R A N E X T E R N A L C O L L A B O R A T O R (REF. NUMBER 2138),1 month 1 day,Expired,1,Biological sciences,Temporary,H2020-MSCA-ITN-860329,H2020 / Marie Skłodowska-Curie Actions
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,522205,12/5/2020,C A L L O F I N T E R E S T F O R A N E X T E R N A L C O L L A B O R A T O R (Ref. Number 1359),1 month 14 hours,Expired,1,Biological sciences › Biology,Temporary,H2020-MSCA-ITN-860329,H2020 / Marie Skłodowska-Curie Actions
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,458610,29/10/2019,Invitation for Applications for one (1) Faculty Position (Ref. Number 3633/25-10-2019),1 month 1 day,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,399944,15/04/2019,Invitation for Applications for one (1) Faculty Position (Ref. Number 1488/15-4-2019),1 month 2 days,Expired,1,Biological sciences,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,399942,15/04/2019,Invitation for Applications for one (1) Faculty Position ( Ref. Number 1489/15-2-2019),1 month 2 days,Expired,1,Biological sciences,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,317972,22/06/2018,CALL OF INTEREST FOR AN EXTERNAL COLLABORATOR - Postdoc position,2 weeks 6 days,Expired,1,Biological sciences,To be defined,ref. Numb. 2256/21-6-2018,H2020
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,312591,6/6/2018,CALL OF INTEREST FOR AN EXTERNAL COLLABORATOR (POSTDOCTORAL POSITION) Ref Number 2042,1 month 9 hours,Expired,1,Biological sciences,Temporary,2042/,FP7 / Ideas-ERC
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,302765,2/5/2018,One (1) Postdoctoral position REF. NUMBER 1951/25-5-2018,1 month 1 week,Expired,2,Biological sciences › Biology,Temporary,Ref. Number.: 1951/25-5-2018,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,279979,13/02/2018,"One (1) Phd Student position, Reference Number 576 (Programme CARESYAN)",4 weeks 8 hours,Expired,1,Biological sciences,Temporary,3644464,H2020 / Marie Skłodowska-Curie Actions
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,266460,15/12/2017,One (1) Post-doctoral position Reference Number 3693,1 month 2 weeks,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,266459,15/12/2017,One (1) Postdoctoral position Reference Number 3694,1 month 2 weeks,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,266457,15/12/2017,One (1) Biologist position Reference Number 3695,3 weeks 3 days,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,256301,1/11/2017,Invitation for Applications for one (1) Faculty Position - 3185,1 month 8 hours,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,256295,1/11/2017,Invitation for Applications for one (1) Faculty Position - 3178,1 month 9 hours,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,254808,25/10/2017,Invitation for Applications for two (2) Faculty Positions - 2744,5 days 8 hours,Expired,2,Biological sciences › Biology,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,254805,25/10/2017,Invitation for Applications for one (1) Faculty Position - 2743,5 days 8 hours,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,254803,25/10/2017,Invitation for Applications for one (1) Faculty Position - 3063,4 weeks 1 day,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
"BIOMEDICAL RESEARCH FOUNDATION, ACADEMY OF ATHENS",,,Public Research Institution,248745,28/09/2017,Invitation for Applications for two (2) Faculty Positions - 2744,1 month 2 days,Expired,2,Biological sciences › Biology,Permanent,2744,Not funded by an EU programme
