Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Academy of Applied Arts,Academy,,Other,472373,12/12/2019,associate professor,7 months 2 weeks,Expired,1,Other,Permanent,,Not funded by an EU programme
Academy of Applied Arts,Academy,,Other,457820,25/10/2019,assistant,9 months 2 days,Expired,1,"Agricultural sciences, Arts › Fine arts",Temporary,,Not funded by an EU programme
Academy of Applied Arts,Academy,,Other,457711,25/10/2019,senior art associate,9 months 2 days,Expired,1,Arts › Other,Permanent,,Not funded by an EU programme
Academy of Applied Arts,Academy,,Other,261164,22/11/2017,assistant professor,2 years 8 months,Expired,1,Arts › Fine arts,Permanent,,Not funded by an EU programme
Academy of Applied Arts,Academy,,Other,253596,19/10/2017,assistant professor,2 years 9 months,Expired,1,Arts,Permanent,,Not funded by an EU programme
Academy of Applied Arts,Academy,,Other,156171,16/11/2016,assistant,3 years 8 months,Expired,1,Arts,Temporary,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,580789,25/11/2020,"Assistant, Editing department",1 month 6 hours,Expired,1,Arts › Visual arts,Temporary,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,571438,27/10/2020,"Assistant, Theatre directing / Costumegraphy",3 weeks 4 days,Expired,2,Arts › Visual arts,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,571435,27/10/2020,"Assistant, Theatre directing / Scenography",3 weeks 4 days,Expired,1,Arts › Visual arts,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,571432,27/10/2020,"Assistant professor, Production Department",3 weeks 4 days,Expired,1,Arts › Visual arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,543051,17/07/2020,"Assistant professor, Acting Department",4 weeks 1 day,Expired,1,Arts › Performing arts,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,543050,17/07/2020,"Assistant professor, Production Department",1 month 1 day,Expired,1,Arts › Arts management,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,543047,17/07/2020,"Assistant professor, Editing Department",4 weeks 1 day,Expired,1,Arts › Visual arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,525612,22/05/2020,"Senior lecturer, Acting Department",3 weeks 6 days,Expired,1,Arts › Performing arts,Temporary,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,490992,10/2/2020,"Assistant, Production department",4 weeks 1 day,Expired,1,Arts › Arts management,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,490988,10/2/2020,"Associate Professor, Production department",3 weeks 5 days,Expired,1,Arts › Arts management,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,490986,10/2/2020,"Full professor, Acting department",4 weeks 1 day,Expired,1,Arts › Performing arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,490983,10/2/2020,"Associate Professor, Acting department",4 weeks 1 day,Expired,1,Arts › Performing arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,490976,10/2/2020,"Full professor, Acting department",4 weeks 1 day,Expired,1,Arts › Performing arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,481972,17/01/2020,"Assistant professor, Dancing Department",1 month 1 day,Expired,1,Arts › Performing arts,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,457735,25/10/2019,"Assistant professor, Acting Department",1 month 1 day,Expired,1,Arts › Performing arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,457732,25/10/2019,"Assistant professor, Cinematography Department",1 month 1 day,Expired,1,Arts › Visual arts,Other,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,448950,25/09/2019,Assistant / Cinematography department (Photography),1 month 8 hours,Expired,1,Arts › Visual arts,Temporary,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,448949,25/09/2019,Assistant professor / Cinematography department / Photography,1 month 8 hours,Expired,1,Arts › Visual arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,448947,25/09/2019,Assistant professor / Acting department,1 month 9 hours,Expired,2,Arts › Performing arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,448944,25/09/2019,Assistant professor / Acting department,1 month 9 hours,Expired,1,Arts › Performing arts,Permanent,,Not funded by an EU programme
Academy of Dramatic Arts in Zagreb,,,Other,448942,25/09/2019,Full professor / Acting department,1 month 9 hours,Expired,1,Arts › Performing arts,Permanent,,Not funded by an EU programme
