Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Alfred Renyi Institute of Mathematics,-,,Other,364643,18/12/2018,Postdoctoral Fellowship,2 months 1 week,Expired,3,Mathematics › Discrete mathematics,Temporary,741420,H2020 / ERC
Bay Zoltan Nonprofit Ltd. for Applied Research,,,Public Research Institution,280836,15/02/2018,Senior researcher (Biotechnology department),4 weeks 9 hours,Expired,1,Biological sciences › Other,Permanent,BIO1,Not funded by an EU programme
Biological Research Centre,,,Public Research Institution,539479,6/7/2020,Research Scientist in Metabolomics,2 months 3 weeks,Expired,1,"Biological sciences, Chemistry",Temporary,,Not funded by an EU programme
Biological Research Centre,,,Public Research Institution,500242,3/3/2020,Research Scientist in Metabolomics,1 month 2 weeks,Expired,1,"Biological sciences, Chemistry",Temporary,,Not funded by an EU programme
Biological Research Centre,,,Public Research Institution,474688,19/12/2019,Postdoctoral contract in biosciences,3 weeks 6 days,Expired,2,Biological sciences › Botany,Temporary,,Not funded by an EU programme
Biological Research Centre,,,Public Research Institution,244631,11/9/2017,"Three ERC-funded postdoctoral positions in fungal genomics, bioinformatics and evolution",9 months 3 weeks,Expired,3,Biological sciences › Biology,To be defined,25_2017,H2020 / ERC
Biological Research Centre,,,Public Research Institution,156793,18/11/2016,PhD fellowship in fungal genomics,3 months 4 weeks,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Biological Research Centre,,,Public Research Institution,156741,18/11/2016,ERC-funded Postdoctoral positions in fungal functional genomics and evolution,2 years 4 months,Expired,1,Biological sciences › Biology,To be defined,24_2018,FP7 / Ideas-ERC
BioTalentum,management,,"Small Medium Enterprise, Start-up",211713,22/04/2017,Experienced Researcher in Molecular Biology (CRISPR-Cas9),1 month 11 hours,Expired,1,"Biological sciences › Biology, Neurosciences › Neurobiology",Permanent,H2020-PHC-2015-single-stage_RTD- 681002,H2020
BioTalentum Kft.,,,"Small Medium Enterprise, Start-up",460597,6/11/2019,DohART-NET Periconceptional Programming of Health Training Network,9 months 2 weeks,Expired,1,"Biological sciences › Biology, Medical sciences › Medicine",Temporary,BIOT2019,H2020 / Marie Skłodowska-Curie Actions
BioTalentum Kft.,,,"Small Medium Enterprise, Start-up",413610,3/6/2019,DohART-NET Periconceptional Programming of Health Training Network,4 months 3 weeks,Expired,1,"Biological sciences › Biology, Medical sciences › Medicine",Temporary,BIOT2019,H2020 / Marie Skłodowska-Curie Actions
BioTalentum Kft.,,,"Small Medium Enterprise, Start-up",413610,3/6/2019,DohART-NET Periconceptional Programming of Health Training Network,4 months 3 weeks,Expired,1,"Biological sciences › Biology, Medical sciences › Medicine",Temporary,BIOT2019,H2020 / Marie Skłodowska-Curie Actions
BioTalentum Kft.,,,"Small Medium Enterprise, Start-up",413610,3/6/2019,DohART-NET Periconceptional Programming of Health Training Network,4 months 3 weeks,Expired,1,"Biological sciences › Biology, Medical sciences › Medicine",Temporary,BIOT2019,H2020 / Marie Skłodowska-Curie Actions
Budapest University of Technology and Economics,Faculty of Economic and Social Sciences,QSMS Research Group,Higher Education Institute,348189,19/10/2018,Three-year Postdoctoral Positions,7 months 2 weeks,Expired,3,Economics,Temporary,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,588757,18/12/2020,"Postdoctoral Fellow, Democracy in History Workgroup of the Democracy Institute",1 month 1 day,Expired,1,History › History of social sciences,Other,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,496502,22/02/2020,"Post-Doctoral Fellow Gender Regimes Under Conditions of Continuing Conflict, Striking from the Margins, Phase 2",1 month 1 week,Expired,1,"Anthropology › Social anthropology, Anthropology › Cultural anthropology, Cultural studies, Political sciences › Policy studies, Political sciences › Public policy, Political sciences › Governance, Religious sciences › Non-Christian religions, Religious sciences › Other, Religious sciences › Comparative religion, Sociology › Societal behaviour, Sociology › Socio-economic research, Sociology › Social changes, Sociology › Sociology of religion",Temporary,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,496185,22/02/2020,"Post-Doctoral Fellow in Transitional/Post-War Dynamics in Syria and/or Iraq, Striking from the Margins, Phase 2",1 month 1 week,Expired,1,"Anthropology › Cultural anthropology, Anthropology › Social anthropology, Cultural studies, History, Political sciences › Public policy, Political sciences › Governance, Political sciences › Science and society, Political sciences › Policy studies, Religious sciences › Comparative religion, Religious sciences › Non-Christian religions, Religious sciences › Other, Sociology › Social changes, Sociology › Sociology of religion, Sociology › Societal behaviour, Sociology › Socio-economic research",Temporary,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,492454,14/02/2020,Two Open-Rank Faculty Positions in Cognitive Science,6 months 2 weeks,Expired,2,Psychological sciences › Cognitive science,Permanent,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,486661,30/01/2020,Assistant or Associate Professor of Public Policy and Administration,1 month 1 day,Expired,1,"Political sciences › Governance, Political sciences › Policy studies, Political sciences › Public policy",Not Applicable,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,486145,29/01/2020,Lecturer,2 weeks 5 days,Expired,2,"Educational sciences › Teaching methods, Psychological sciences › Behavioural sciences, Sociology › Educational sociology",Not Applicable,2020/009,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,474257,18/12/2019,Postdoctoral Fellow,1 month 9 hours,Expired,2,"Cultural studies, Educational sciences, Psychological sciences, Sociology › Educational sociology",Temporary,KA203-C646E630,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,462174,12/11/2019,Post-Doctoral Fellowship Position,2 months 4 days,Expired,1,"Anthropology › Social anthropology, Anthropology › Cultural anthropology, Cultural studies, Political sciences, Religious sciences › Other, Religious sciences › Comparative religion, Sociology › Sociology of religion, Sociology › Societal behaviour",Temporary,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,416459,12/6/2019,Postdoctoral Research Fellow in Energy Demand Modeling,1 month 4 hours,Expired,1,"Architecture, Computer science, Economics, Engineering, Environmental science, Information science, Technology",Temporary,,H2020
Central European University,Center for Religious Studies,,Higher Education Institute,369384,10/1/2019,Postdoctoral Research Fellow,1 month 2 weeks,Expired,1,Psychological sciences › Cognitive science,Temporary,,H2020 / ERC
Central European University,Center for Religious Studies,,Higher Education Institute,302853,2/5/2018,"Junior Visiting Researcher for a Global Drug Policy Program / School of Public Policy, Global Policy Academy",1 week 6 days,Expired,2,"Other, Political sciences › Policy studies, Political sciences › Public policy",Temporary,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,266229,14/12/2017,Postdoctoral Research Cognitive Development Center,1 year 1 month,Expired,1,Psychological sciences › Cognitive science,Temporary,PreLog: Project ID: 639840,H2020 / ERC
Centre for Ecological Research,Balaton Limnological Institute,,Public Research Institution,534703,20/06/2020,Potential MSCA applicant,2 months 2 weeks,Expired,2,"Biological sciences, Environmental science › Water science",To be defined,,Not funded by an EU programme
"ComInnex, Inc.",,,"Small Medium Enterprise, Start-up",580227,24/11/2020,Photochemical transformations for library synthesis,2 months 13 hours,Expired,2,"Chemistry › Other, Chemistry › Homogeneous catalysis, Chemistry › Organic chemistry",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Corvinus University of Budapest,-,-,Higher Education Institute,270513,8/1/2018,"FATIGUE, Early Stage Researcher 14: The depoliticisation of civil society in Central and Eastern Europe",2 months 6 days,Expired,1,Economics › Social economics,Temporary,HR/Early14,H2020 / Marie Skłodowska-Curie Actions
Corvinus University of Budapest,-,-,Higher Education Institute,270508,8/1/2018,"FATIGUE, Early Stage Researcher 9: The impact of economic populism on inequality",2 months 6 days,Expired,1,Economics › Political economy,Temporary,HR/Early9,H2020 / Marie Skłodowska-Curie Actions
Corvinus University of Budapest,-,-,Higher Education Institute,270496,8/1/2018,"FATIGUE, Early Stage Researcher 8: The impact of economic populism on growth and convergence",2 months 6 days,Expired,1,Economics › Political economy,Temporary,HR/Early8,H2020 / Marie Skłodowska-Curie Actions
"ELTE (Eötvös Loránd University), Institute of Biology, Budapest",Department of Ethology,,Research Laboratory,292861,28/03/2018,Researcher in Behavioral & Veterinary Neurosciences,1 month 3 days,Expired,1,"Biological sciences, Neurosciences",To be defined,680040,H2020 / ERC
Eötvös Loránd University,,,Higher Education Institute,587781,16/12/2020,Early stage researcher (ESR) position in Inflanet EU-funded PhD programme at ELTE,2 months 1 day,Expired,1,"Biological sciences, Computer science, Physics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Eötvös Loránd University,,,Higher Education Institute,404236,2/5/2019,POSTDOCTORAL FELLOW IN COMPUTER SCIENCE,4 weeks 1 day,Expired,1,Computer science,Permanent,,Not funded by an EU programme
Eötvös Loránd University,,,Higher Education Institute,404231,2/5/2019,"RESEARCH PROFESSOR IN COMPUTER SCIENCE (AUTONOMOUS DRIVING TECHNOLOGIES, ARTIFICAL INTELLIGENCE AND DEEP LEARNING)",4 weeks 1 day,Expired,1,Computer science,Temporary,,Not funded by an EU programme
Eötvös Loránd University,,,Higher Education Institute,404224,2/5/2019,ASSOCIATE PROFESSOR IN COMPUTER SCIENCE,4 weeks 1 day,Expired,1,Computer science,Permanent,,Not funded by an EU programme
H-CEMM Hungarian Centre of Excellence for Molecular Medicine,,,Research Laboratory,470023,5/12/2019,Director General / CEO,1 month 1 day,Expired,2,Medical sciences › Medicine,Temporary,739593,H2020
H-CEMM Hungarian Centre of Excellence for Molecular Medicine,,,Research Laboratory,390759,18/03/2019,Head of Advanced Core Facilities,4 weeks 5 hours,Expired,3,Medical sciences › Medicine,Temporary,739593,H2020
H-CEMM Hungarian Centre of Excellence for Molecular Medicine,,,Research Laboratory,390752,18/03/2019,Group Leader,1 month 1 week,Expired,6,Medical sciences › Medicine,Temporary,739593,H2020
Holografika,,,"Small Medium Enterprise, Start-up",365195,19/12/2018,Open ESR position in European Training Network EVOCATION for light field displays rendering techniques,4 months 4 weeks,Expired,2,Technology › Future technology,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Holografika,,,"Small Medium Enterprise, Start-up",246000,15/09/2017,ESR Position in QoE-Net Innovative Training Network,2 months 1 week,Expired,1,Information science › Other,Permanent,QoE-Net 2017-2,H2020 / Marie Skłodowska-Curie Actions
