Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
4D pharma,,,Research Laboratory,407874,15/05/2019,Bioinformatician/Biostatistician/Computational Biologist,1 month 10 hours,Expired,1,"Biological sciences › Biology, Computer science › Informatics, Computer science › Modelling tools",Other,Bix_Mas,H2020
ADAPT Centre,Global Centre of Exellence for Digital Content Technology,,Public Research Institution,601637,4/2/2021,Post Doctoral Research Fellow in Multimodal Interaction,2 weeks 1 day,Published,1,Engineering › Electrical engineering,Temporary,,Not funded by an EU programme
ADAPT Centre,Global Centre of Exellence for Digital Content Technology,,Public Research Institution,601616,4/2/2021,Post Doctoral Research Fellow in Data Engineering,2 weeks 1 day,Published,1,"Computer science › Database management, Computer science › Informatics",Temporary,,Not funded by an EU programme
ADAPT Centre,Global Centre of Exellence for Digital Content Technology,,Public Research Institution,464982,20/11/2019,ELITE-S Fellowhip Programme - Call 2,3 months 2 days,Expired,8,"Computer science › Informatics, Computer science › Database management, Computer science › Other",Temporary,,H2020 / Marie Skłodowska-Curie Actions COFUND
ADAPT Centre,Global Centre of Exellence for Digital Content Technology,,Public Research Institution,433890,2/8/2019,2 x PhD Studentship in Next-Generation Blockchain Networks,1 year 6 months,Closed,2,Computer science › Other,Not Applicable,PhD_NGBN,Not funded by an EU programme
ADAPT Centre,Global Centre of Exellence for Digital Content Technology,,Public Research Institution,376015,1/2/2019,ELITE-S Fellowhip Programme - Call 1,5 months 2 weeks,Expired,8,"Computer science › Informatics, Computer science › Database management, Technology › Standardisation of technologies, Technology › Internet technology",Temporary,,H2020 / Marie Skłodowska-Curie Actions COFUND
Allsorter,Engineering,UCD,"Small Medium Enterprise, Start-up",426331,11/7/2019,European Innovation Associate @ Allsorter.com,2 months 3 weeks,Expired,1,Other,Permanent,7,H2020 / SME Innovation Associate
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,561567,24/09/2020,MSCA ITN PhD position - Bio-succinic production from TPB-2nd phase biogas and AD-biorefinery residues,1 week 5 days,Expired,1,Engineering,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,559636,17/09/2020,PhD Studentship in Product Substitution,2 weeks 16 hours,Expired,1,"Biological sciences › Biological engineering, Engineering › Chemical engineering, Engineering › Process engineering",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,556930,9/9/2020,PhD/Early Stage Researcher position within the MSCA ITN 'AgRefine' - Project: Assessment of green biorefinery archetypes and implementation scenarios.,1 week 2 days,Expired,1,"Engineering, Physics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,550176,11/8/2020,PhD position in next-generation Bioeconomy research within the MSCA ITN 'AgRefine',3 weeks 1 day,Expired,1,Engineering,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,526545,27/05/2020,MSCA PhD Fellow Real-time Life Cycle Assessment of Biorefinery Systems,1 month 9 hours,Expired,1,"Computer science, Engineering, Environmental science",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,494731,19/02/2020,Marie Curie PhD Fellow in Real-time Life Cycle Assessment,3 weeks 6 hours,Expired,1,"Agricultural sciences › Agricultural products, Engineering › Simulation engineering, Engineering › Agricultural engineering, Engineering › Process engineering, Environmental science › Other, Technology › Future technology",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aoife Gowen,School of Biosystems and Food Engineering,Hyperspectral Imaging,Higher Education Institute,467409,28/11/2019,Postdoctoral Researcher,2 weeks 4 days,Expired,2,"Agricultural sciences › Agricultural products, Computer science › Modelling tools, Computer science › Programming, Technology › Other",Temporary,,Not funded by an EU programme
