Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Arctic portal,,,Private with public mission,194467,24/03/2017,Data management specialist,1 month 3 weeks,Expired,1,Computer science › Database management,Temporary,194220-847819,H2020
Hólar University College,Aquaculture and Fish Biology,,Public Research Institution,376741,4/2/2019,One-year Post-doctoral position: Evolutionary ecology of Icelandic Arctic charr,3 weeks 4 days,Expired,1,"Biological sciences › Biodiversity, Environmental science › Ecology",Temporary,,Not funded by an EU programme
Hólar University College,Aquaculture and Fish Biology,,Public Research Institution,374495,28/01/2019,"Two PhD positions on ECO-EVO-DEVO dynamics in threespine stickleback of lake Mývatn, Iceland",1 month 2 weeks,Expired,2,Biological sciences › Biodiversity,Temporary,,Not funded by an EU programme
Hólar University College,Aquaculture and Fish Biology,,Public Research Institution,374469,28/01/2019,MSc in Fish personality,4 weeks 13 hours,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Hólar University College,Aquaculture and Fish Biology,,Public Research Institution,374468,28/01/2019,PhD in fish Cognition (deadline extended),1 month 4 days,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
"Institute For Experimental Pathology, University of Iceland, Keldur",,,Public Research Institution,256311,1/11/2017,Veterinarian,4 weeks 19 hours,Expired,1,Medical sciences › Veterinary medicine,Permanent,,Not funded by an EU programme
Reykjavik University,,,Other,355175,14/11/2018,"PhD positions at School of Science and Engineering, Reykjavik University",1 month 4 weeks,Expired,2,Physics › Solid state physics,Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,604061,11/2/2021,PhD in developing machine learning techniques for sleep research at The Sleep Revolution,1 week 1 day,Published,1,Computer science,Temporary,,H2020
Reykjavik University,Human Resources,,Higher Education Institute,597615,22/01/2021,Postdoctoral and Ph.D. Positions in Antenna and Microwave Design Automation,4 weeks 16 hours,Published,1,"Engineering › Computer engineering, Engineering › Electrical engineering, Engineering › Design engineering",Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,597551,22/01/2021,Postdoctoral and Ph.D. Positions in Antenna and Microwave Design Automation,4 weeks 19 hours,Published,3,Engineering,Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,589461,21/12/2020,Faculty position in Finance or related fields,1 month 3 weeks,Expired,1,Economics › Financial science,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,582274,30/11/2020,Project Manager Sleep Revolution,1 week 5 days,Expired,1,"Computer science, Engineering, Psychological sciences",Temporary,,H2020
Reykjavik University,Human Resources,,Higher Education Institute,582269,30/11/2020,"DevOps/Postdoctoral Researcher, Sleep Revolution",2 months 2 days,Expired,1,"Computer science, Engineering, Psychological sciences",Temporary,,H2020
Reykjavik University,Human Resources,,Higher Education Institute,582267,30/11/2020,Sleep technologist - Sleep Revolution,1 week 5 days,Expired,1,"Computer science, Engineering, Psychological sciences",Temporary,,H2020
Reykjavik University,Human Resources,,Higher Education Institute,578500,18/11/2020,Faculty position in the Department of Computer Science,2 months 1 week,Expired,3,Computer science,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,556306,7/9/2020,Speech recognition expert and Speech synthesis expert,1 month 9 hours,Expired,2,Other,Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,555874,4/9/2020,Faculty position in Financial Engineering,1 month 2 weeks,Expired,1,Engineering › Other,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,495436,20/02/2020,Academic Position in the field of Applied Behaviour Analysis,1 month 3 weeks,Expired,1,Psychological sciences › Behavioural sciences,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,482695,20/01/2020,Faculty Position in Finance,1 month 1 week,Expired,2,"Economics › Financial science, Other",Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,386610,8/3/2019,PhD position in Fluid Mechanics,1 month 1 day,Expired,1,Engineering,Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,370656,15/01/2019,Full-time Academic Position in Clinical Psychology,1 month 19 hours,Expired,1,Psychological sciences › Psychology,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,359777,30/11/2018,Dean of School of Business,2 weeks 1 day,Expired,1,"Economics, Information science, Other",Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,350972,30/10/2018,Permanent-track Faculty Positions,2 months 1 week,Expired,3,Computer science › Other,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,341457,26/09/2018,PhD Student in Geothermal Utilization,1 month 4 hours,Expired,1,"Engineering › Thermal engineering, Engineering › Materials engineering, Engineering › Chemical engineering",Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,341393,26/09/2018,Academic position in Human Resource Management,1 month 6 days,Expired,1,Other,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,318509,25/06/2018,Academic position in Robotics and Control,2 weeks 5 days,Expired,1,Engineering,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,283309,23/02/2018,Postdoctoral researcher in vacuum microelectronics and microwave engineering,4 weeks 4 hours,Expired,2,Engineering › Microengineering,Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,265725,13/12/2017,Faculty Positions in Computer Science,1 month 1 day,Expired,1,Computer science › Computer architecture,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,218174,17/05/2017,Postdoc Researcher in Data Fusion for Geothermal Reservoir Characterization,4 weeks 7 hours,Expired,1,Geosciences,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,192675,20/03/2017,Position in Financial Engineering at Reykjavik University,2 weeks 3 days,Expired,1,Engineering,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,192443,20/03/2017,Position in Mechatronics Engineering at Reykjavik University,2 weeks 3 days,Expired,1,Engineering,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,185204,27/02/2017,PhD student in physical microelectronics,1 month 3 days,Expired,1,Engineering › Electronic engineering,Temporary,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,185139,27/02/2017,Postdoctoral researcher in vacuum microelectronics,3 weeks 8 hours,Expired,1,Engineering › Electronic engineering,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,180423,10/2/2017,Dean of RU School of Computer Science,1 month 2 days,Expired,1,Computer science,Permanent,,Not funded by an EU programme
Reykjavik University,Human Resources,,Higher Education Institute,180146,9/2/2017,Postdoctoral Fellow in antenna engineering,1 month 2 weeks,Expired,1,Engineering › Other,Permanent,,Not funded by an EU programme
