Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Baltic Orthoservice,,,Higher Education Institute,465005,20/11/2019,Senior Biomechanical Researcher,1 month 8 hours,Expired,1,Engineering › Biomedical engineering,Temporary,861876,H2020
Baltic Orthoservice,,,Higher Education Institute,432348,29/07/2019,Sales Manager,3 months 4 days,Expired,2,"Engineering › Biomedical engineering, Medical sciences › Medicine",Permanent,,H2020
Baltic Orthoservice,,,Higher Education Institute,339734,18/09/2018,Senior Biomechanical Researcher,1 year 1 week,Expired,1,"Computer science › 3 D modelling, Engineering › Biomedical engineering, Engineering › Other, Medical sciences › Other",Temporary,BioMech-3D,H2020 / SME Innovation Associate
Baltic Orthoservice,,,"Small Medium Enterprise, Start-up",339410,17/09/2018,DEEP LEARNING R&D ENGINEER,3 months 2 weeks,Expired,1,"Engineering › Biomedical engineering, Medical sciences › Other",Temporary,,H2020 / SME Innovation Associate
Kaunas University of Technology,,,Higher Education Institute,572038,28/10/2020,The Positions of Lecturers and Researchers,1 month 1 week,Expired,39,"Architecture, Chemistry, Communication sciences, Computer science, Cultural studies, Economics, Engineering, Environmental science, Mathematics, Other, Technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,508701,27/03/2020,The Positions of Lecturers and Researchers,1 month 1 week,Expired,47,"Architecture, Chemistry, Communication sciences, Computer science, Cultural studies, Economics, Engineering, Environmental science, Mathematics, Other, Technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,472424,12/12/2019,Research Fellow / Senior Research Fellow (5 full or part-time positions in Industry 4.0),2 months 2 weeks,Expired,5,"Computer science › Informatics, Economics › Industrial economics, Economics › Business economics, Engineering › Industrial engineering, Environmental science, Mathematics › Applied mathematics, Mathematics › Mathematical analysis, Technology › Industrial technology, Technology › Computer technology, Technology › Environmental technology, Technology › Communication technology",Temporary,810318,H2020
Kaunas University of Technology,,,Higher Education Institute,457834,25/10/2019,The Positions of Lecturers and Researchers,1 month 1 week,Expired,54,"Architecture, Chemistry, Computer science, Economics, Engineering, Environmental science, Mathematics, Other, Physics, Technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,440848,27/08/2019,Marie Skłodowska-Curie Early Stage Researcher – PhD position,1 week 5 days,Expired,1,"Engineering, Technology",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Kaunas University of Technology,,,Higher Education Institute,410231,21/05/2019,Researcher - Synthetic Biologist/Biotechnologist,6 months 4 weeks,Expired,1,"Biological sciences, Chemistry",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,402291,24/04/2019,Dean of the Faculty of Mathematics and Natural Sciences,1 month 2 hours,Expired,1,Mathematics,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,398381,10/4/2019,Researcher - Synthetic Biologist/Biotechnologist,1 month 7 hours,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,395776,2/4/2019,The Positions of Lecturers and Researchers,1 month 4 days,Expired,74,"Architecture, Arts, Chemistry, Computer science, Economics, Educational sciences, Engineering, Environmental science, Mathematics, Other, Sociology, Technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,377583,6/2/2019,Dean of the Panevėžys Faculty of Technologies and Business,4 weeks 2 hours,Expired,1,"Economics, Technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,377582,6/2/2019,Dean of the Faculty of Mechanical Engineering and Design,4 weeks 2 hours,Expired,1,Engineering,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,377581,6/2/2019,Dean of the Faculty of Informatics,4 weeks 2 hours,Expired,1,Computer science,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,377579,6/2/2019,Dean of School of Economics and Business,4 weeks 2 hours,Expired,1,Economics,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,377577,6/2/2019,Dean of the Faculty of Electrical and Electronics Engineering,4 weeks 2 hours,Expired,1,Engineering,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,342536,1/10/2018,Dean of the Faculty of Chemical Technology,1 month 1 day,Expired,2,Chemistry › Other,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,310028,29/05/2018,Kaunas University of Technology call for applications for Postdoctoral traineeship projects,3 weeks 3 days,Expired,5,"Engineering › Other, Environmental science › Other, Medical sciences › Other, Other, Technology › Other",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,306501,16/05/2018,POSTDOCTORAL RESEARCH FELLOW,4 weeks 1 day,Expired,1,"Communication sciences, Political sciences, Sociology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,293702,30/03/2018,THE POSITIONS OF LECTURERS AND RESEARCHERS,8 months 1 week,Expired,71,Other,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,267083,19/12/2017,RECTOR AT KAUNAS UNIVERSITY OF TECHNOLOGY,5 months 1 week,Expired,1,Technology,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,232907,14/07/2017,POSTDOCTORAL TEACHING FELLOWSHIP,2 months 1 week,Expired,1,Communication sciences,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,221456,31/05/2017,POSTDOCTORAL RESEARCH FELLOW (Migration studies),2 months 3 weeks,Expired,1,"Demography, Sociology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,221452,31/05/2017,POSTDOCTORAL RESEARCH FELLOW,7 months 4 weeks,Expired,1,Political sciences,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,221449,31/05/2017,POSTDOCTORAL RESEARCH FELLOW (Social Psychology),2 months 3 weeks,Expired,1,Psychological sciences › Psychology,Temporary,,Not funded by an EU programme
Kaunas University of Technology,,,Higher Education Institute,220276,26/05/2017,Director of Institute of Materials Science,3 weeks 6 days,Expired,1,"Physics, Technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,Research and Innovations Department,,Higher Education Institute,565423,7/10/2020,"Post-Doc candidate on Health Monitoring of Lightweight Structures project at Kaunas University of Technology, Lithuania",3 months 5 days,Expired,1,"Engineering › Mechanical engineering, Engineering › Materials engineering, Technology › Measurement technology",Temporary,,Not funded by an EU programme
Kaunas University of Technology,Research and Innovations Department,,Higher Education Institute,455969,18/10/2019,"PhD/MSc researcher internships on ""3D printing of fiber reinforced polymer composites"" project",1 year 4 months,Published,2,"Engineering › Mechanical engineering, Engineering › Design engineering, Engineering › Aerospace engineering, Engineering › Process engineering, Engineering › Materials engineering",Not Applicable,,Not funded by an EU programme
Kaunas University of Technology,Research and Innovations Department,,Higher Education Institute,393835,27/03/2019,PhD positions with scholarships,1 month 2 weeks,Expired,40,"Chemistry, Computer science, Economics, Engineering, Environmental science, Other, Physics, Technology",Other,,Not funded by an EU programme
Kaunas University of Technology,Research and Innovations Department,,Higher Education Institute,393816,27/03/2019,PhD scholarships in Measurement Engineering,1 month 2 weeks,Expired,2,Engineering,Not Applicable,,Not funded by an EU programme
Kaunas University of Technology,Research and Innovations Department,,Higher Education Institute,385306,5/3/2019,2 PhD positions on computational composite mechanics related topics,1 year 3 months,Expired,2,"Engineering › Simulation engineering, Engineering › Aerospace engineering, Engineering › Mechanical engineering, Engineering › Materials engineering",Temporary,,Not funded by an EU programme
Klaipeda University,,,Higher Education Institute,566045,8/10/2020,PhD position on Biofouling in aquatic environment (Ecology and Environmental Science),3 weeks 5 days,Expired,1,Environmental science › Water science,Temporary,,Not funded by an EU programme
Klaipeda University,,,Higher Education Institute,566032,8/10/2020,PhD position in Ecological modeling (Ecology and Environmental Science),3 weeks 5 days,Expired,1,Environmental science › Water science,Temporary,,Not funded by an EU programme
Klaipeda University,,,Higher Education Institute,566003,8/10/2020,PhD position in Environmental microbiology (Ecology and Environmental Science),3 weeks 6 days,Expired,1,Environmental science › Water science,Temporary,,Not funded by an EU programme
Klaipeda University,,,Higher Education Institute,537641,30/06/2020,Biofouling in aquatic environment/ PhD position in Ecology and Environmental Science,2 months 2 weeks,Expired,1,"Biological sciences › Biodiversity, Environmental science › Ecology",Temporary,,Not funded by an EU programme
Klaipeda University,,,Higher Education Institute,537582,30/06/2020,Hydrological and Ecological Modeling/ PhD positions in Ecology and Environmental Science,2 months 2 weeks,Expired,2,"Computer science › Modelling tools, Environmental science › Water science",Temporary,,Not funded by an EU programme
Klaipeda University,,,Higher Education Institute,433400,1/8/2019,PhD studies in Pharmaceuticals in estuarine environment,1 month 2 weeks,Expired,1,"Biological sciences, Chemistry › Analytical chemistry, Environmental science, Pharmacological sciences",Temporary,,Not funded by an EU programme
Lietuvos agrarinių ir miškų mokslų centras,,,Higher Education Institute,528171,1/6/2020,Competition for the position of the director of the Lithuanian Research Centre for Agriculture and Forestry,4 weeks 1 day,Expired,1,"Agricultural sciences › Agronomics, Physics",Permanent,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,510016,1/4/2020,ASSOCIATE PROFESSOR,1 month 10 hours,Expired,1,Medical sciences › Medicine,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,395765,2/4/2019,Assoc. professor,4 weeks 7 hours,Expired,1,Other,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,395762,2/4/2019,CHIEF RESEARCHER,4 weeks 7 hours,Expired,3,Other,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,395761,2/4/2019,Senior researcher,4 weeks 7 hours,Expired,1,Other,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,395758,2/4/2019,Researcher,1 month 10 hours,Expired,2,Other,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,395756,2/4/2019,Junior researcher (biomedical sciences),1 month 10 hours,Expired,1,Other,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292900,28/03/2018,Chief researcher,1 month 1 day,Expired,3,Biological sciences,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292896,28/03/2018,Senior researcher,4 weeks 1 day,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292894,28/03/2018,Researcher,4 weeks 1 day,Expired,3,Biological sciences,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292891,28/03/2018,Junior researcher,4 weeks 1 day,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292887,28/03/2018,Professor,4 weeks 1 day,Expired,4,"Economics, Educational sciences, Medical sciences",Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292883,28/03/2018,Associate professor,4 weeks 1 day,Expired,9,"Educational sciences › Teaching methods, Medical sciences › Other",Temporary,,Not funded by an EU programme
Lithuanian sports university,,,Higher Education Institute,292881,28/03/2018,Lecturer,4 weeks 1 day,Expired,5,"Educational sciences › Teaching methods, Medical sciences › Other",Temporary,,Not funded by an EU programme
Ministry of Education and Science of the Republic of Lithuania,Division of Science,,Public Research Institution,357592,22/11/2018,Director of the State Research Institute Centre for Physical Sciences and Technology,4 weeks 1 day,Expired,3,Technology,Temporary,,Not funded by an EU programme
Ministry of Education and Science of the Republic of Lithuania,Division of Science,,Public Research Institution,357585,22/11/2018,Director of the Lithuanian Institute of History,4 weeks 1 day,Expired,3,History,Temporary,,Not funded by an EU programme
Mykolas Romeris University,Social Innovations Doctoral School,,Higher Education Institute,278426,7/2/2018,Post-doc position in the Environmental Management Laboratory,3 weeks 6 hours,Expired,1,"Environmental science, Geography, Technology › Information technology",Temporary,,Not funded by an EU programme
Mykolas Romeris University,Social Innovations Doctoral School,,Higher Education Institute,207285,5/4/2017,Short-term Visiting Lecturer,3 weeks 4 days,Expired,3,"Communication sciences, Economics, Educational sciences, Ethics in social sciences, Information science, Juridical sciences, Language sciences, Psychological sciences, Sociology",Temporary,,Not funded by an EU programme
Thermo Fisher Scientific Baltics UAB,,,Large Company,417159,14/06/2019,PhD student position,1 month 21 hours,Expired,1,Biological sciences,Temporary,,H2020 / Marie Skłodowska-Curie Actions
UAB Modernios E-Technologijos,-,-,"Small Medium Enterprise, Start-up",312223,5/6/2018,ESR position for MSCA ITN MAESTRO at UAB Modernios E-Technologijos,3 weeks 4 days,Expired,1,"Chemistry, Physics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Vilnius University,,,Other,491024,10/2/2020,Postdoc position,1 year 1 week,Closed,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Vilnius University,,,Other,435080,7/8/2019,PhD student position,1 month 1 day,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
Vilnius University,,,Other,434770,6/8/2019,PhD student position,1 month 1 week,Expired,1,Biological sciences › Biology,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Vilnius University,,,Other,367001,27/12/2018,PhD student position,2 months 3 days,Expired,2,Biological sciences,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Vilnius University,Research and Innovation Department,,Higher Education Institute,486102,29/01/2020,Postdoctoral Researcher in Marketing,1 month 1 day,Expired,1,Other,Temporary,,Not funded by an EU programme
Vilnius University,Research and Innovation Department,,Higher Education Institute,375602,31/01/2019,Postdoctoral fellowship in management,1 month 2 weeks,Expired,1,Other,To be defined,,Not funded by an EU programme
Vilnius University,Research and Innovation Department,,Higher Education Institute,375595,31/01/2019,Postdoctoral fellowship in psychology,1 month 2 weeks,Expired,1,Psychological sciences,To be defined,,Not funded by an EU programme
Vilnius University,Research and Innovation Department,,Higher Education Institute,375555,31/01/2019,Postdoctoral fellowship in political sciences,1 month 2 weeks,Expired,1,"Economics, Political sciences",To be defined,,Not funded by an EU programme
Vilnius University,Research and Innovation Department,,Higher Education Institute,375554,31/01/2019,Postdoctoral fellowship in informatics,1 month 2 weeks,Expired,1,"Computer science, Psychological sciences",To be defined,,Not funded by an EU programme
Vilnius University,Research and Innovation Department,,Higher Education Institute,375553,31/01/2019,Postdoctoral fellowship in biology,1 month 2 weeks,Expired,1,Biological sciences,To be defined,,Not funded by an EU programme
Vilnius University,Research and Innovation Department,,Higher Education Institute,375550,31/01/2019,Postdoctoral fellowship in biochemistry,1 month 2 weeks,Expired,1,"Biological sciences, Neurosciences",To be defined,,Not funded by an EU programme
Vilnius University Business School,,,Public Research Institution,460928,7/11/2019,Professor or Principal Investigator,1 week 6 days,Expired,1,"Communication sciences › Business communication, Economics › Management studies, Other, Sociology › Socio-economic research",Temporary,,Not funded by an EU programme
Visionary Analytics,,,Other,412524,29/05/2019,Researcher,1 month 2 days,Expired,2,"Economics, Educational sciences, Other, Political sciences, Sociology, Technology",To be defined,,Not funded by an EU programme
