Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Amer-Sil S.A.,,,Large Company,571886,28/10/2020,Chemistry of Ion Exchange Membranes - R&D Project Scientist / PhD student,1 month 3 days,Expired,1,Chemistry,To be defined,HYSOLCHEM01,H2020
ANEC GIE,Metrology,,Public Research Institution,169986,9/1/2017,Industrial and Scientific Metrology Engineer M/W,2 months 2 weeks,Expired,1,Physics › Metrology,Permanent,,Not funded by an EU programme
Complix Luxembourg SA,,,"Small Medium Enterprise, Start-up",323068,10/7/2018,Research Associate,3 months 3 weeks,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
Complix Luxembourg SA,,,"Small Medium Enterprise, Start-up",323057,10/7/2018,Junior Scientist (Cell Biologist),3 months 3 weeks,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
Complix Luxembourg SA,,,"Small Medium Enterprise, Start-up",237986,4/8/2017,Junior Research Associate,1 month 1 week,Expired,1,Biological sciences,Permanent,,Not funded by an EU programme
Esch2022 a.s.b.l. European Capital of Culture,,,Other,389937,14/03/2019,QUALITY AND IMPACT RESEARCH COORDINATOR,1 month 1 day,Expired,1,Cultural studies › European studies,Permanent,,Not funded by an EU programme
ExaMotive S.A.,,,"Small Medium Enterprise, Start-up",396736,4/4/2019,Data Scientist - Smart Mobility,2 months 2 weeks,Expired,1,"Computer science › Database management, Computer science › Informatics, Mathematics › Statistics",Permanent,,Not funded by an EU programme
ExaMotive S.A.,,,"Small Medium Enterprise, Start-up",355513,15/11/2018,Data Scientist,2 months 1 day,Expired,1,"Computer science › Database management, Mathematics › Statistics",Permanent,,Not funded by an EU programme
ExaMotive S.A.,,,"Small Medium Enterprise, Start-up",354838,13/11/2018,Data and Artificial Intelligence Scientist,7 months 1 week,Expired,1,"Computer science › Database management, Computer science › Informatics, Computer science › Modelling tools, Computer science › Systems design, Engineering, Information science, Mathematics › Statistics, Mathematics › Probability theory",Permanent,,Not funded by an EU programme
HENDYPLAN,,,"Small Medium Enterprise, Start-up",218557,18/05/2017,ECONOMIST/ÉCONOMETRICIAN / ECONOMETRICS AND MACROECONOMIC MODELLING ON THE LUXEMBOURGUISH ECONOMY,8 months 2 weeks,Expired,1,Economics › Econometrics,Temporary,,Not funded by an EU programme
Hydrosat,,,"Small Medium Enterprise, Start-up",577874,16/11/2020,Agricultural Data Scientist,2 months 2 weeks,Expired,1,Agricultural sciences › Agricultural products,Permanent,,Not funded by an EU programme
INSERM,IRIS,IRIS,Higher Education Institute,488660,4/2/2020,SCIENTIFIC COORDINATOR,4 weeks 1 day,Expired,1,Demography › Other,Temporary,"Project 856478, ERC-2019-SyG",H2020 / ERC
Limitless sarl,,,"Small Medium Enterprise, Start-up",186942,7/3/2017,Innovation Associate (Postdoc) - Urban Innovation Labs,1 month 3 weeks,Expired,1,"Communication sciences › Business communication, Communication sciences › Other, Economics › Management studies, Economics › Knowledge economy, Political sciences › Other, Sociology › Urban sociology, Sociology › Other, Sociology › Socio-economic research, Sociology › Sociology of enterprise, Sociology › Societal behaviour",Temporary,This project has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 739636,H2020 / SME Innovation Associate
LISER,Human Resources,,Public Research Institution,595573,19/01/2021,Post-doctoral researcher in Geography or Environmental Social Sciences (m/f) - Ref 21-01,3 weeks 5 days,Expired,1,"Environmental science, Geography",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,579823,23/11/2020,PhD Candidate in Adaptive Electric Vehicle Demand-Responsive Transport system planning (m/f) - Ref: 20-20,2 weeks 6 days,Expired,1,"Computer science, Engineering, Mathematics",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,574257,4/11/2020,"Research Associate (post-doc, m/f) in Geography or Environmental Social Sciences - Ref: 20-19",2 months 12 hours,Expired,1,"Environmental science, Geography",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,574240,4/11/2020,Research Associate (post-doc) in urban modelling and spatial data analytics (m/f) - Ref: 20-15,1 month 3 weeks,Expired,1,"Computer science, Technology › Environmental technology",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,571875,28/10/2020,Post-doctoral researcher for the Labour Market Department (f/m) - Ref: 20-17,2 weeks 12 hours,Expired,1,Economics,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,571865,28/10/2020,Fully funded PhD researcher in Economics (f/m) - Ref: 20-16,3 months 3 weeks,Closed,1,Economics,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,548028,3/8/2020,Post-doctoral researcher for the project « Social observatory of the City of Luxembourg » (f/m) - Ref: 20-12,1 month 4 weeks,Expired,1,"Geography › Social geography, Geography › Other",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,523765,15/05/2020,4 Fully funded PhD candidates in Economics or Geography (f/m) - Ref:20-09,1 month 2 weeks,Expired,4,"Economics, Geography",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,511874,7/4/2020,PhD in Public Economics (f/m) – Ref: 20-08,2 months 1 week,Expired,1,Economics,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,511480,6/4/2020,Post-doctoral researcher in the field of media discourse analysis (f/m) -Ref: 20-07,1 month 2 weeks,Expired,1,"Communication sciences, Political sciences",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,490169,7/2/2020,Fully funded PhD Researcher in Human Geography (f/m) - Ref: 20-04,4 weeks 12 hours,Expired,1,"Demography › Other, Geography › Human geography, Geography › Social geography",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,478551,8/1/2020,"Research Associate (Post-doc, disability research, m/f) - Ref: 20-02",3 weeks 2 days,Expired,2,"Economics › Health economics, Psychological sciences › Psychology",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,478028,6/1/2020,"Call for PhD applicants in Economics, Geography and Social Sciences (f/m) – Ref: 20-1",3 weeks 4 days,Expired,3,"Computer science, Economics, Geography",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,472459,12/12/2019,PhD Candidate in Computational Social Sciences (m/f) - Ref: 19-23,1 month 2 weeks,Expired,1,Sociology,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,471564,10/12/2019,Fully funded PhD researcher in Economic Geography (f/m) - Ref: 19-22,1 month 3 weeks,Expired,1,Economics,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,462200,12/11/2019,Postdoc researcher in migration economics (m/f) - Ref: 19-17,3 weeks 4 days,Expired,1,Economics › Other,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,458713,29/10/2019,Doctorant (h/f) au sein du projet « Observatoire social de la Ville d’Esch-sur-Alzette »,2 weeks 3 days,Expired,1,"Geography › Social geography, Geography › Other",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,411872,27/05/2019,Post-doctoral Reasercher in housing studies (m/f) - Ref: 19-10,3 weeks 13 hours,Expired,1,"Geography › Human geography, Geography › Other",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,411030,23/05/2019,"Research Associates (Post-doc, health economics, m/f) - Ref: 19-09",3 weeks 4 days,Expired,2,Economics › Health economics,Temporary,,H2020
LISER,Human Resources,,Public Research Institution,404507,3/5/2019,"(LIS)²ER Research Associate (Post-doc, m/f) - Ref:19-07",2 weeks 4 days,Expired,1,"Economics, Political sciences, Sociology",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,403609,30/04/2019,PhD Candidate in Computational Social Sciences (m/f),1 month 3 weeks,Expired,1,"Computer science › Modelling tools, Computer science › Other, Ethics in social sciences › Other",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,354547,12/11/2018,"Post-doc Researchers in Economics, Social or Geographical Sciences (m/f)",2 weeks 4 days,Expired,3,"Economics › Labour market economics, Economics › Applied economics, Economics › Health economics, Economics › Other, Geography › Economic geography, Geography › Other",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,310272,29/05/2018,Post-doc Researcher “Intra-Urban Forms and Scaling Laws” (ref: SCALE-IT-UP) (m/f),3 weeks 6 days,Expired,1,Geography › Other,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,297621,13/04/2018,"Research Associate (Post-doc, Economist, m/f)",1 month 2 weeks,Expired,1,Economics,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,285644,6/3/2018,Post-doc Researcher Smart Cities (m/f),4 weeks 1 day,Expired,1,Geography › Other,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,281220,16/02/2018,Office Managers - Personal Assistant (m/f),3 weeks 6 days,Expired,1,Economics › Administrative sciences,Permanent,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,281159,16/02/2018,HR Officer,1 month 1 week,Expired,1,Educational sciences,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,278096,6/2/2018,Head of department Living Conditions (m/f),1 month 3 weeks,Expired,1,"Economics › Applied economics, Economics › Economic policy",Permanent,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,256130,31/10/2017,Post-doc Researchers in Economics and other Social Sciences (m/f),1 month 1 day,Expired,3,"Economics › Labour economics, Geography › Other",Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,254706,25/10/2017,Junior Researcher,1 month 9 hours,Expired,1,Economics › Labour economics,Temporary,,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,232802,14/07/2017,PhD Position in the field of Urban Analysis and Modelling (m/f),1 month 2 days,Expired,1,Geography,Temporary,17-15,Not funded by an EU programme
LISER,Human Resources,,Public Research Institution,215657,8/5/2017,Call for applications for 8 PhD Candidates in Economics and Social Sciences,3 years 9 months,Closed,8,Economics › Social economics,Temporary,17-07,Not funded by an EU programme
