Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Art Academy of Latvia,,,Higher Education Institute,592830,7/1/2021,Visiting academic staff,3 weeks 4 days,Expired,2,"Arts › Visual arts, Arts › Arts management, Computer science › Computer systems, History › Art history",Temporary,,Not funded by an EU programme
Art Academy of Latvia,,,Higher Education Institute,550874,14/08/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic,1 month 2 weeks,Expired,1,"Arts › Visual arts, Arts › Fine arts, History › Art history",Temporary,,Not funded by an EU programme
Art Academy of Latvia,,,Higher Education Institute,463721,15/11/2019,Visiting Academic Staff,1 month 1 day,Expired,2,"Arts, Cultural studies",Temporary,,Not funded by an EU programme
Art Academy of Latvia,,,Higher Education Institute,383437,26/02/2019,Visiting Academic Staff,1 month 1 day,Expired,1,"Arts › Visual arts, Arts › Fine arts, History › Art history",Temporary,,Not funded by an EU programme
Art Academy of Latvia,,,Higher Education Institute,383427,26/02/2019,Visiting Academic Staff,1 month 1 day,Expired,1,"Arts › Visual arts, Arts › Arts management, History › Art history",Temporary,,Not funded by an EU programme
Art Academy of Latvia,,,Higher Education Institute,314643,11/6/2018,Visiting Academic Staff,1 week 2 days,Expired,1,"Arts › Fine arts, Arts › Other, Arts › Visual arts, Arts › Arts management, Arts › Fashion studies",Temporary,,Not funded by an EU programme
Art Academy of Latvia,,,Higher Education Institute,314480,11/6/2018,Visiting Academic Staff,1 week 3 days,Expired,1,"Arts › Fashion studies, Arts › Visual arts, Arts › Fine arts, Arts › Other, Arts › Arts management, Arts › Performing arts",Temporary,,Not funded by an EU programme
BA School of Business and Finance,,,Higher Education Institute,582306,30/11/2020,Doctoral student,2 weeks 22 hours,Expired,1,"Economics › Administrative sciences, Economics › Management studies, Economics › Marketing",Temporary,,H2020
BA School of Business and Finance,,,Higher Education Institute,465875,22/11/2019,Foreign academic staff,1 year 3 months,Published,3,"Communication sciences › Public relations, Economics › Management studies, Economics › Marketing, Economics › Social economics, Other",Temporary,,Not funded by an EU programme
BA School of Business and Finance,,,Higher Education Institute,437938,16/08/2019,Foreign academic stuff,3 weeks 3 days,Expired,2,"Economics › Management studies, Economics › Marketing, Other",Temporary,,H2020
