Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,477232,1/1/2020,Research Support Assistant(s),1 week 1 day,Expired,2,"Economics › Other, Engineering › Electrical engineering, Mathematics › Statistics",Temporary,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,477231,1/1/2020,Postdoctoral Research Fellow(s),1 week 1 day,Expired,2,"Economics › Transport economics, Engineering › Electrical engineering, Engineering › Other",Temporary,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,442338,3/9/2019,Postdoctoral Research Fellow(s),1 month 1 day,Expired,1,"Engineering › Electrical engineering, Engineering › Electronic engineering, Engineering › Other",Temporary,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,370181,14/01/2019,Postdoctoral Research Fellow(s),1 week 4 days,Expired,1,"Economics › Other, Engineering › Electronic engineering, Engineering › Other, Engineering › Electrical engineering",Temporary,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,370158,14/01/2019,Research Support Assistant(s) & MRes Candidate(s),1 week 4 days,Expired,3,"Economics › Other, Engineering › Electrical engineering, Engineering › Other, Engineering › Electronic engineering",Temporary,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,366361,22/12/2018,Research Support Assistant & PhD Candidate,4 months 4 weeks,Expired,1,"Economics › Other, Engineering › Electronic engineering, Engineering › Other, Engineering › Electrical engineering",Temporary,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,343137,4/10/2018,Research Assistant or Research Associate Positions in Electrical Power and Energy Systems - Fixed Term Contracts (Full/Part-Time),4 weeks 23 hours,Expired,7,"Chemistry › Solar chemistry, Computer science › Informatics, Economics › Environmental economics, Engineering › Electrical engineering, Mathematics › Combinatorial analysis",To be defined,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,333327,21/08/2018,Research Support Assistant(s) (full-time or part-time),2 weeks 3 days,Expired,4,"Chemistry › Solar chemistry, Computer science › Informatics, Computer science › Modelling tools, Computer science › Programming, Economics › Environmental economics, Engineering › Electrical engineering, Environmental science › Other, Mathematics › Combinatorial analysis, Mathematics › Computational mathematics, Technology › Environmental technology, Technology › Future technology, Technology › Electrical technology, Technology › Energy technology",To be defined,,H2020
"Malta College of Arts, Science and Technology (MCAST)",MCAST Energy Research Group (MCAST Energy),,Higher Education Institute,333282,21/08/2018,Research Support Assistant(s) (full-time),2 weeks 3 days,Expired,2,"Computer science › Programming, Computer science › Modelling tools, Computer science › Informatics, Economics › Environmental economics, Engineering › Electrical engineering, Environmental science › Other, Technology › Future technology, Technology › Environmental technology, Technology › Electrical technology, Technology › Energy technology",To be defined,,H2020
The BioArte Limited,,,"Small Medium Enterprise, Start-up",572942,30/10/2020,Full-Time Molecular Biologist/Bioinformatician with Specialization in Microbiome Analysis,1 month 2 weeks,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
University of Malta,Office for Human Resources Management & Development,,Higher Education Institute,586036,10/12/2020,Full-Time Research Support Officer (I or II) - Department of Mechanical Engineering,3 weeks 6 days,Expired,1,Engineering › Mechanical engineering,Temporary,,Not funded by an EU programme
University of Malta,Office for Human Resources Management & Development,,Higher Education Institute,582556,1/12/2020,"Post/s of Full-Time Research Support Officer I, II, III or IV, Department of Industrial & Manufacturing Engineering.",1 month 1 week,Expired,2,"Engineering › Electrical engineering, Engineering › Industrial engineering",Temporary,,Not funded by an EU programme
University of Malta,Office for Human Resources Management & Development,,Higher Education Institute,580724,25/11/2020,TargetID – “Novel Drug Targets for Infectious Diseases” (TargetID – COV.RD.2020.11),3 weeks 2 days,Expired,2,"Biological sciences › Other, Medical sciences",Temporary,,Not funded by an EU programme
University of Malta,Office for Human Resources Management & Development,,Higher Education Institute,580722,25/11/2020,TargetID – “Novel Drug Targets for Infectious Diseases” (TargetID – COV.RD.2020.11),2 weeks 2 days,Expired,4,"Biological sciences › Biology, Computer science, Medical sciences › Medicine",Temporary,,Not funded by an EU programme
University of Malta,Office for Human Resources Management & Development,,Higher Education Institute,580721,25/11/2020,TargetID – “Novel Drug Targets for Infectious Diseases” (TargetID – COV.RD.2020.11),2 weeks 2 days,Expired,1,"Biological sciences › Other, Medical sciences › Medicine",Temporary,,Not funded by an EU programme
University of Malta,Office for Human Resources Management & Development,,Higher Education Institute,569825,21/10/2020,Full-Time or Part-Time Research Support Officer I or II or III - Biomedical Cybernetics,2 weeks 13 hours,Expired,1,"Engineering, Information science, Medical sciences › Other, Other",Temporary,,Not funded by an EU programme
