Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Academic Medical Center,,,Public Research Institution,556403,7/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR10,2 months 1 week,Expired,1,"Medical sciences › Other, Technology › Medical technology",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555534,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR1&6,5 months 2 weeks,Published,1,"Biological sciences › Other, Medical sciences › Other, Physics › Other",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555530,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR14,2 months 2 weeks,Expired,1,"Medical sciences › Other, Physics › Biophysics",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555526,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR13,2 months 2 weeks,Expired,1,Medical sciences › Other,Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555518,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR12,5 months 2 weeks,Published,1,"Biological sciences › Other, Computer science › Informatics, Engineering › Electrical engineering, Engineering › Biomedical engineering, Medical sciences › Other, Physics › Biophysics",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555516,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR9,2 months 2 weeks,Expired,1,"Biological sciences › Other, Engineering › Biomedical engineering, Engineering › Electrical engineering, Physics › Biophysics",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555497,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR8,5 months 2 weeks,Closed,1,"Biological sciences › Other, Computer science › Informatics, Medical sciences › Other, Physics › Biophysics",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555451,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR7,5 months 2 weeks,Published,1,"Biological sciences › Other, Medical sciences › Other, Physics › Biophysics",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555446,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR5,2 months 2 weeks,Expired,1,"Biological sciences › Other, Computer science › Informatics, Medical sciences › Other, Physics › Biophysics",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
Academic Medical Center,,,Public Research Institution,555437,3/9/2020,Hyperboost- Hyperthermia boosting the effect of Radiotherapy- ESR 4&11,2 months 2 weeks,Expired,2,"Biological sciences › Other, Computer science › Other, Mathematics › Statistics, Medical sciences › Other",Temporary,HyperBoost,H2020 / Marie Skłodowska-Curie Actions
