Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
3B's Research Group,University of Minho,,Higher Education Institute,411392,24/05/2019,Post-doc Positions for ERC Project,3 weeks 10 hours,Expired,2,"Biological sciences › Biology, Biological sciences › Other, Engineering › Biomedical engineering, Engineering › Biomaterial engineering, Engineering › Materials engineering, Engineering › Precision engineering",Other,805411,H2020 / ERC
3B's Research Group,University of Minho,,Higher Education Institute,387855,12/3/2019,Director of The Discoveries Centre (Coordinator Researcher Position),1 month 2 weeks,Expired,1,"Economics, Medical sciences, Other",To be defined,CTTC-134/18-3B’s,H2020
3B's Research Group,University of Minho,,Higher Education Institute,386665,8/3/2019,2 Post-docs Positions for ERC Project,1 week 6 hours,Expired,2,"Biological sciences › Biology, Engineering › Biomedical engineering",Temporary,,H2020 / ERC
3B's Research Group,University of Minho,,Higher Education Institute,386376,8/3/2019,Postdoc position,6 days 13 min,Expired,1,"Biological sciences › Biological engineering, Engineering › Biomaterial engineering",Temporary,CTTI-19/19-I3BS,Not funded by an EU programme
3B's Research Group,University of Minho,,Higher Education Institute,385865,6/3/2019,Research Associate (senior postdoc),1 week 4 hours,Expired,1,"Biological sciences › Biology, Biological sciences › Biological engineering, Engineering › Biomedical engineering, Engineering › Microengineering, Physics › Biophysics, Technology › Nanotechnology, Technology › Micro-technology",Temporary,POCI-01-0145-FEDER-028070 (PTDC/BTM-ORG/28070/2017),H2020
3B's Research Group,University of Minho,,Higher Education Institute,231813,10/7/2017,POST-DOCTORAL RESEARCHERS IN BIOINFORMATICS AND IMMUNOLOGY,1 month 2 weeks,Expired,2,Biological sciences › Other,Other,ERC-2016-COG-726061,H2020 / ERC
3B's Research Group,University of Minho,,Higher Education Institute,231802,10/7/2017,RESEARCH POSITIONS IN CELL BIOLOGY AND BIOMEDICAL ENGINEERING,1 month 2 weeks,Expired,2,"Biological sciences › Other, Engineering › Biomedical engineering",Other,ERC-2016-COG-726061,H2020 / ERC
3B's Research Group,University of Minho,,Higher Education Institute,215076,5/5/2017,PhD STUDENTSHIPS SCHOLARSHIP,1 month 2 weeks,Expired,4,Engineering › Biomedical engineering,Other,PhD programme on Advanced Therapies for Health,Not funded by an EU programme
3B's Research Group,University of Minho,,Higher Education Institute,215075,5/5/2017,PhD STUDENTSHIPS SCHOLARSHIP,1 month 2 weeks,Expired,6,Engineering › Biomedical engineering,Other,"PhD programme on Tissue Engineering, Regenerative Medicine and Stem Cells, TERM&amp;SC",Not funded by an EU programme
4TELL Team - Instituto de Telecomunicações -,4TELL Team,,Research Laboratory,247329,22/09/2017,"One Early Stage Researcher under H2020 MSCA-ITN Project ""VisIoN""",1 month 3 weeks,Expired,1,"Engineering › Electrical engineering, Engineering › Electronic engineering",Temporary,,H2020 / Marie Skłodowska-Curie Actions
4TELL Team - Instituto de Telecomunicações -,4TELL Team,,Research Laboratory,238795,9/8/2017,2 Marie Sklodowska-Curie Research Contracts at H2020-ETN-SECRET,2 months 3 weeks,Expired,2,"Computer science › Informatics, Computer science › Programming, Computer science › Computer systems, Engineering › Electrical engineering, Engineering › Computer engineering, Engineering › Electronic engineering, Mathematics › Computational mathematics",Temporary,"ESR1, ESR2",H2020 / Marie Skłodowska-Curie Actions
4TELL Team - Instituto de Telecomunicações -,4TELL Team,,Research Laboratory,184524,24/02/2017,13 ESRs in European Training Network (ETN) targeting “Mobile Small Cells on Demand” - SECRET,2 months 5 days,Expired,3,"Computer science › Programming, Computer science › Digital systems, Engineering › Electronic engineering",Temporary,,H2020 / Marie Skłodowska-Curie Actions
4TELL Team - Instituto de Telecomunicações -,4TELL Team,,Research Laboratory,184524,24/02/2017,13 ESRs in European Training Network (ETN) targeting “Mobile Small Cells on Demand” - SECRET,2 months 5 days,Expired,2,"Computer science › Programming, Computer science › Digital systems, Engineering › Electronic engineering",Temporary,,H2020 / Marie Skłodowska-Curie Actions
4TELL Team - Instituto de Telecomunicações -,4TELL Team,,Research Laboratory,184524,24/02/2017,13 ESRs in European Training Network (ETN) targeting “Mobile Small Cells on Demand” - SECRET,2 months 5 days,Expired,2,"Computer science › Programming, Computer science › Digital systems, Engineering › Electronic engineering",Temporary,,H2020 / Marie Skłodowska-Curie Actions
