Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Academic Europe,,,"Small Medium Enterprise, Start-up",398168,9/4/2019,"UNTANGLING THE GUT MICROBIOTA DEVELOPMENT (BACTERIA, VIRUSES, FUNGI AND PARASITES) IN BANGLADESHI INFANTS USING VARIOUS METAGENOMICS APPROACHES",1 month 3 hours,Expired,1,"Biological sciences › Biological engineering, Medical sciences",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",398166,9/4/2019,RESEARCH ASSISTANT IN THE DOMAIN OF AUTONOMOUS INLAND SHIPPING,2 months 2 weeks,Expired,1,Engineering › Electrical engineering,To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",378113,7/2/2019,15 PHD POSITIONS IN THE EU HORIZON 2020 MARIE SKŁODOWSKA-CURIE PROJECT PETER,1 month 1 week,Expired,15,"Engineering › Electrical engineering, Physics",Permanent,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",378111,7/2/2019,POST-DOCTORAL FELLOW IN RESONANCE IONIZATION LASER SPECTROSCOPY WITH RADIOACTIVE ION BEAMS AT CERN MEDICIS & CERN,2 months 3 weeks,Expired,1,Physics,Permanent,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",329119,1/8/2018,PHD IN NOVEL CONTROL SYSTEMS FOR STORAGE OF HORTICULTURAL PRODUCTS,1 month 1 day,Expired,1,Biological sciences › Biological engineering,To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",329118,1/8/2018,POSTDOCTORAL POSITION IN HIGH-THROUGHPUT FUNCTIONAL SCREENING OF IPSC-DERIVED MODELS,1 month 1 day,Expired,1,Biological sciences,To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",329116,1/8/2018,GENOME EDITING IN EYE AND NEUROLOGICAL DISORDERS,1 month 1 day,Expired,1,Biological sciences › Other,To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",321557,4/7/2018,INTELLECTUAL PROPERTY (BOFZAP),1 month 1 day,Expired,1,"Juridical sciences › International law, Juridical sciences › Other",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",321555,4/7/2018,POSTDOC POSITION ON ROBUST OPTIMAL FEEDBACK CONTROL DESIGN METHODOLOGIES FOR MULTIVARIATE MECHATRONIC SYSTEMS,1 month 1 day,Expired,1,"Engineering › Mechanical engineering, Engineering › Process engineering",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",319682,28/06/2018,Professor in entrepreneurship and management,1 month 7 hours,Expired,1,"Economics › Management studies, Mathematics › Applied mathematics",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",319681,28/06/2018,POSTDOCTORAL POSITION IN NATURAL LANGUAGE UNDERSTANDING,1 month 7 hours,Expired,1,"Computer science › Programming, Computer science › Computer systems",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",319680,28/06/2018,POSTDOC POSITION IN DISCRETE TASK-LEVEL ROBOT PROGRAMMING AND WORLD MODELLING,1 month 7 hours,Expired,1,"Engineering › Mechanical engineering, Engineering › Systems engineering",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",319678,28/06/2018,PHD STUDENT IN DISCRETE TASK-LEVEL ROBOT PROGRAMMING AND WORLD MODELLING,1 month 7 hours,Expired,1,"Engineering › Mechanical engineering, Engineering › Project engineering",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315163,13/06/2018,PhD Student Position in Molecular Cell Biology,2 weeks 2 days,Expired,2,"Biological sciences › Biology, Chemistry › Biochemistry, Neurosciences",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315161,13/06/2018,Postdoctoral position in environmental and resource economics,2 weeks 2 days,Expired,2,Economics › Environmental economics,To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315160,13/06/2018,Professor in entrepreneurship and management,1 month 7 hours,Expired,2,"Mathematics › Statistics, Physics › Quantum mechanics",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315156,13/06/2018,POSTDOC POSITION ON SOLIDIFICATION PROCESS OF ALKALI-ACTIVATED MATERIALS,1 month 7 hours,Expired,2,"Engineering › Civil engineering, Technology",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315153,13/06/2018,PHD IN ECOPHYSIOLOGICAL MODELING OF FRUIT GROWTH FOR SMART DIGITAL HORTICULTURE,1 month 2 weeks,Expired,2,"Biological sciences › Biological engineering, Computer science",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315150,13/06/2018,PHD POSITION IN FRUIT FLAVOROMICS,1 month 1 day,Expired,2,"Biological sciences › Biological engineering, Biological sciences › Botany",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315149,13/06/2018,PHD IN COMPUTATIONAL PLANT BIOLOGY,1 month 1 day,Expired,2,"Biological sciences › Biological engineering, Biological sciences › Biology, Engineering › Chemical engineering, Engineering › Biomaterial engineering",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",315147,13/06/2018,POSTDOCTORAL POSITION - GENERALIZING HUMAN-DEMONSTRATED ROBOT SKILLS,3 months 2 weeks,Expired,2,"Engineering › Mechanical engineering, Engineering › Design engineering",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",308883,24/05/2018,PHD POSITION ON SOLIDIFICATION PROCESS OF ALKALI-ACTIVATED MATERIALS,2 months 1 week,Expired,1,"Engineering › Civil engineering, Engineering › Materials engineering",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",308880,24/05/2018,POSTDOC POSITION ON SOLIDIFICATION PROCESS OF ALKALI-ACTIVATED MATERIALS,1 month 1 day,Expired,1,"Engineering › Civil engineering, Technology",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",308006,21/05/2018,Head of Branding & Marketing Services,1 week 2 days,Expired,1,Other,Permanent,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",308004,21/05/2018,SKELETAL CELL METABOLISM IN BONE PATHOLOGY AND REGENERATION,1 month 1 day,Expired,1,"Biological sciences, Medical sciences › Medicine",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",308002,21/05/2018,Post-Doc Position – Directed Evolution of Carbene-Transferring Enzymes,3 weeks 3 days,Expired,1,"Biological sciences, Chemistry › Biochemistry, Chemistry › Homogeneous catalysis, Chemistry › Physical chemistry",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",289377,15/03/2018,2PhD positions in intense laser-matter interaction,1 month 1 day,Expired,2,"Mathematics, Physics",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",289376,15/03/2018,Doctoral Scholarships in Membrane Biology,3 weeks 4 days,Expired,7,"Biological sciences, Chemistry, Physics",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",288848,14/03/2018,3 Postdoctoral Positions at Centre for Medieval Literature (SDU and University of York),1 month 1 day,Expired,3,Literature,Permanent,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",285399,5/3/2018,Postdoc Position at Genomic Stability Group,3 weeks 4 days,Expired,1,"Biological sciences, Chemistry › Biochemistry, Medical sciences",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",285397,5/3/2018,"Assistant Professor, Marine Engineering and Technology",1 month 3 weeks,Expired,1,"Engineering › Maritime engineering, Environmental science, Technology",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",285395,5/3/2018,PhD in Computer Science with Full financial support,1 month 3 weeks,Expired,2,Computer science,To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",282387,21/02/2018,FUNDED PHD POSITION IN VISUAL ANALYTICS AND DECISION SUPPORT SYSTEMS,3 weeks 1 day,Expired,1,"Computer science, Economics, Mathematics",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",280872,15/02/2018,PhD-position in Discrete Mathematics/Graph Theory,1 month 1 week,Expired,1,"Computer science, Economics, Engineering, Mathematics › Geometry",To be defined,,Not funded by an EU programme
Academic Europe,,,"Small Medium Enterprise, Start-up",278450,7/2/2018,Fully funded postdoctoral positions in Bioinformatics and Computational Biology,3 weeks 3 days,Expired,2,"Biological sciences › Biology, Computer science",To be defined,,Not funded by an EU programme
