Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Aalta Lab d.o.o.,,,"Small Medium Enterprise, Start-up",372577,22/01/2019,Researcher,2 months 3 weeks,Expired,1,"Computer science › Programming, Physics › Computational physics, Physics › Mathematical physics",Temporary,H2020-SPACE-2018,H2020
Acies Bio d.o.o.,,,"Small Medium Enterprise, Start-up",194476,24/03/2017,Disease model development manager,3 months 2 weeks,Expired,1,Biological sciences,Temporary,,H2020 / SME Innovation Associate
BioSistemika,,,"Small Medium Enterprise, Start-up",398506,10/4/2019,PhD position in a Marie Skłodowska Curie European ITN - INEXTVIR for a computer & information scientist,1 month 4 hours,Expired,1,"Computer science › Programming, Computer science › Informatics, Computer science › Modelling tools",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Cosylab d.d.,Control System Laboratory,,"Small Medium Enterprise, Start-up",163125,13/12/2016,Marie Skłodowska-Curie fellow for the project AVA,1 year 7 months,Expired,1,Physics,Not Applicable,,H2020 / Marie Skłodowska-Curie Actions
Euro-Mediterranean University (EMUNI),,,Higher Education Institute,557268,10/9/2020,Programme Coordinator for “Master of Public Administration in the Post-Crisis Era” (MPA),1 week 4 days,Expired,1,Political sciences › Public policy,To be defined,,Not funded by an EU programme
Faculty of Computer and Information Science,,,Higher Education Institute,547569,31/07/2020,Researcher - Semantic Web & Blockchain,3 weeks 3 hours,Expired,2,Computer science › Database management,Temporary,957338,H2020 / Marie Skłodowska-Curie Actions
Faculty of Computer and Information Science,,,Higher Education Institute,532269,14/06/2020,Researcher - Semantic Web & Blockchain,1 month 2 weeks,Expired,2,Computer science › Database management,Temporary,957338,H2020 / Marie Skłodowska-Curie Actions
Faculty of Criminal Justice and Security University of Maribor,,,Higher Education Institute,291619,23/03/2018,Researcher,3 weeks 1 day,Expired,1,"Criminology › Other, Juridical sciences › Criminal law, Political sciences › Other",Temporary,787054,H2020
Faculty of Polymer Technology / Fakulteta za tehnologijo polimerov,,,Higher Education Institute,312118,5/6/2018,RESEARCHER/LECTURER POSITION IN THE FIELD OF POLYMER MATERIALS,3 weeks 4 days,Expired,1,"Engineering › Materials engineering, Technology › Materials technology",Temporary,,Not funded by an EU programme
Faculty of Polymer Technology / Fakulteta za tehnologijo polimerov,,,Higher Education Institute,312095,5/6/2018,"RESEARCHER/LECTURER POSITION in the field of polymer processing, particularly injection moulding and extrusion",3 weeks 4 days,Expired,1,"Engineering › Materials engineering, Technology › Materials technology",Temporary,,Not funded by an EU programme
"Faculty of Social Sciences, Slovenia",Human Resources Office,Human Resources Office,Higher Education Institute,297205,12/4/2018,Researcher,5 days 9 hours,Expired,1,Sociology › Other,Temporary,,H2020
"Faculty of Social Sciences, Slovenia",Human Resources Office,Human Resources Office,Higher Education Institute,258529,10/11/2017,Administrative officer (research field),6 days 8 hours,Expired,1,Sociology,Temporary,,Not funded by an EU programme
"Faculty of Social Sciences, Slovenia",Human Resources Office,Human Resources Office,Higher Education Institute,160725,6/12/2016,Researcher,3 days 12 hours,Expired,1,Political sciences,To be defined,,Not funded by an EU programme
Fakulteta za informacijske študije v Novem mestu / Faculty of Information Studies in Novo mesto,,,Higher Education Institute,547306,30/07/2020,PhD position in computer science,2 weeks 3 days,Expired,1,Computer science › Informatics,Permanent,,Not funded by an EU programme
Fakulteta za informacijske študije v Novem mestu / Faculty of Information Studies in Novo mesto,,,Higher Education Institute,521989,11/5/2020,PhD position,1 month 2 weeks,Expired,1,Information science › Other,Temporary,,Not funded by an EU programme
InnoRenew CoE,,,Private with public mission,546315,28/07/2020,Postdoctoral Researcher Position in Renewable Composite Materials,2 weeks 3 days,Expired,1,"Chemistry › Other, Chemistry › Biochemistry, Engineering › Biomaterial engineering",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,542835,16/07/2020,PhD position – Data-driven optimization for sustainable network design,1 month 5 hours,Expired,1,"Computer science › Other, Mathematics › Other, Technology › Information technology",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,518351,28/04/2020,PhD Researcher Positions in Sustainable Carbon-based Materials and Composites,1 month 2 days,Expired,2,"Agricultural sciences › Forest sciences, Biological sciences › Biological engineering, Chemistry › Biochemistry, Technology › Materials technology",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,497655,25/02/2020,"Software development, distributed ledger technology, edge computing – PhD position available",2 months 2 weeks,Expired,1,"Computer science › Other, Computer science › Informatics, Mathematics › Other",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,396683,4/4/2019,Conservation of profane architectural heritage in the coastal area of Slovenia: Retrofitting principles of timber elements of historic palaces,1 week 4 days,Expired,1,"Agricultural sciences › Forest sciences, Engineering › Civil engineering, History › Archaeology, History › Art history",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,393061,25/03/2019,Analytical chemist,1 month 6 days,Expired,1,"Chemistry › Other, Chemistry › Analytical chemistry",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,366150,21/12/2018,Doctoral candidate position - Innovative surface modification,1 month 1 day,Expired,1,"Agricultural sciences › Forest sciences, Biological sciences › Biology, Chemistry › Other, Technology › Materials technology",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,361800,7/12/2018,"Lifelong learning for scientific literacy in materials across professions, gender, age and culture – PhD position available",2 months 1 week,Expired,2,"Chemistry › Biochemistry, Chemistry › Other, Chemistry › Computational chemistry, Computer science › Other, Engineering › Civil engineering, Environmental science › Other, Ethics in social sciences › Other, Physics › Biophysics, Technology › Materials technology",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,347290,17/10/2018,Living Lab Manager and Policy Consultant,4 weeks 1 day,Expired,1,"Economics › Economic policy, Economics › Other, Economics › Political economy, Economics › Management studies",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,297563,13/04/2018,Researcher – Sensor networks,3 weeks 6 days,Expired,1,"Computer science › Informatics, Engineering › Computer engineering, Engineering › Electrical engineering, Technology › Telecommunications technology",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,293457,29/03/2018,Composite Material Researcher,3 weeks 1 day,Expired,1,"Agricultural sciences › Forest sciences, Biological sciences › Other, Chemistry › Other, Engineering › Biomaterial engineering",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,290372,19/03/2018,Computational Modelling of Biomaterials,1 month 2 days,Expired,1,"Biological sciences › Other, Chemistry › Computational chemistry, Chemistry › Molecular chemistry, Chemistry › Biochemistry, Physics › Biophysics",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,290366,19/03/2018,Human Physiology researcher,1 month 2 days,Expired,1,Psychological sciences › Psychology,Temporary,,H2020
InnoRenew CoE,,,Private with public mission,273398,23/01/2018,Researcher working on optimization of multivariate stochastic heterogeneous systems,1 month 21 hours,Expired,1,"Computer science › Programming, Engineering › Civil engineering",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,264800,8/12/2017,Technician in the field of mechanical enginnering,5 days 20 hours,Expired,2,Engineering › Mechanical engineering,Temporary,,H2020
InnoRenew CoE,,,Private with public mission,244523,10/9/2017,Assistant Research and Project management - infrastructure,2 weeks 21 hours,Expired,1,Architecture › Design,Temporary,,H2020
InnoRenew CoE,,,Private with public mission,237746,3/8/2017,Doctoral Degree - Aging of Wood Construction Materials,1 month 1 day,Expired,1,"Engineering › Materials engineering, Engineering › Civil engineering",Temporary,,Not funded by an EU programme
InnoRenew CoE,,,Private with public mission,235235,23/07/2017,Doctoral Candidate in Innovative surface modification,1 month 22 hours,Expired,1,"Chemistry › Organic chemistry, Engineering › Materials engineering",Temporary,,H2020
InnoRenew CoE,,,Private with public mission,222555,5/6/2017,Lead IT Specialist,1 month 1 week,Expired,1,Computer science › Programming,Temporary,,H2020
InnoRenew CoE,,,Private with public mission,216230,10/5/2017,Director,1 month 1 day,Expired,1,"Engineering › Materials engineering, Technology › Biotechnology, Technology › Materials technology",Permanent,,H2020
InnoRenew CoE,,,Private with public mission,208521,8/4/2017,Data Scientist,1 month 7 hours,Expired,1,Mathematics › Statistics,To be defined,,H2020
InnoRenew CoE,,,Private with public mission,208431,8/4/2017,Research Group Leader in the field of Human Health in the Built Environment,4 weeks 1 day,Expired,1,"Neurosciences › Neurophysiology, Psychological sciences › Behavioural sciences",To be defined,,H2020
InnoRenew CoE,,,Private with public mission,208430,8/4/2017,Research group leader in the field of Renewable Materials Composites,4 weeks 1 day,Expired,1,"Engineering › Materials engineering, Technology › Materials technology",To be defined,,H2020
InnoRenew CoE,,,Private with public mission,208429,8/4/2017,Research group leader in the field of Sustainable Building with Renewable Materials,4 weeks 1 day,Expired,1,"Engineering › Civil engineering, Environmental science › Global change, Technology › Biotechnology",To be defined,,H2020
InnoRenew CoE,,,Private with public mission,208428,8/4/2017,Research group leader for Information and Computer Technologies used in the Field of Renewable Materials and Sustainable Buildings,4 weeks 1 day,Expired,1,Engineering › Civil engineering,To be defined,,H2020
InnoRenew CoE,,,Private with public mission,194935,27/03/2017,Researcher,1 month 5 days,Expired,1,Engineering › Civil engineering,Temporary,,H2020
Institute Jozef Stefan,Electronic Ceramics Department K-5,,Public Research Institution,586004,10/12/2020,Post-doc possition in material sciense-ferroelectric ceramics,1 week 5 days,Expired,1,Engineering › Materials engineering,Temporary,,Not funded by an EU programme
Institute Jozef Stefan,Electronic Ceramics Department K-5,,Public Research Institution,586000,10/12/2020,Ph.D. candidate in experimental solid-state materials science/physics/chemistry,1 week 4 days,Expired,1,"Chemistry › Inorganic chemistry, Engineering › Materials engineering, Physics › Solid state physics",Temporary,,Not funded by an EU programme
Institute Jozef Stefan,Electronic Ceramics Department K-5,,Public Research Institution,424538,5/7/2019,"Open PhD position in the field of synthesis, patterning and characterization of thin films",1 month 23 hours,Expired,2,"Chemistry › Applied chemistry, Chemistry › Inorganic chemistry",Temporary,,Not funded by an EU programme
Institute Jozef Stefan,Electronic Ceramics Department K-5,,Public Research Institution,400668,17/04/2019,PhD position Material science and engineering,1 week 6 days,Expired,1,"Chemistry, Engineering",Temporary,,Not funded by an EU programme
