Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Bahçeşehir University,,,Higher Education Institute,471460,10/12/2019,Full-Time Faculty Position,1 year 3 weeks,Expired,3,"Engineering › Electrical engineering, Engineering › Electronic engineering, Engineering › Biomedical engineering, Engineering › Computer engineering, Engineering › Industrial engineering, Engineering › Civil engineering",Permanent,,Not funded by an EU programme
Bahçeşehir University,,,Higher Education Institute,453391,10/10/2019,Ph.D. Students/Researchers (fully funded) for TUBITAK 2232 Research Project,1 month 1 day,Expired,2,Computer science,Not Applicable,,Not funded by an EU programme
Bahçeşehir University,,,Higher Education Institute,397270,5/4/2019,Searching for ERA-NET Project Partner: Early Career Scientists - Synthetic/Organic Chemists,1 month 2 hours,Expired,3,"Chemistry › Other, Chemistry › Organic chemistry",Other,,Not funded by an EU programme
Bahçeşehir University,,,Higher Education Institute,367833,4/1/2019,Bahcesehir University-TUBITAK International Fellowship for Outstanding Researchers Programme Call is open for applications!,2 months 3 weeks,Expired,5,"Architecture, Biological sciences, Chemistry, Communication sciences, Computer science, Cultural studies, Demography, Economics, Educational sciences, Engineering, Environmental science, Information science, Mathematics, Medical sciences, Neurosciences, Pharmacological sciences, Physics, Political sciences, Psychological sciences, Sociology, Technology",To be defined,,Not funded by an EU programme
Bahçeşehir University,,,Higher Education Institute,356424,19/11/2018,UK-Turkey Biomedical/Biotechnology/Bioengineering field Royal Academy of Engineering – TUBİTAK Industry Academia Partnership Programme – 18/19,1 week 1 day,Expired,2,Engineering › Biomedical engineering,Other,,Not funded by an EU programme
Bahçeşehir University,,,Higher Education Institute,341761,27/09/2018,H2020 MSCA-Co-Funded Brain Circulation 2 Scheme (CoCirculation2),2 weeks 4 days,Expired,5,"Computer science, Economics, Educational sciences, Engineering, Information science, Mathematics, Medical sciences, Neurosciences, Other, Physics, Political sciences",To be defined,,H2020 / Marie Skłodowska-Curie Actions COFUND
Bilkent University,,Ultrafast Optics and Lasers Laboratory (UFOLAB),Higher Education Institute,594154,12/1/2021,ERC-Funded Postdoctoral Position on Laser Physics at Bilkent University,1 month 1 week,Published,3,"Biological sciences › Laboratory animal science, Physics › Optics",To be defined,,H2020 / ERC
Bilkent University,Department of Physics,Photonic Devices Laboratory,Higher Education Institute,568591,16/10/2020,Postdoctoral position in advanced laser writing technologies,4 months 6 days,Published,2,"Engineering › Materials engineering, Physics › Optics, Physics › Applied physics",To be defined,,Not funded by an EU programme
Bilkent University,Mechanical Engineering,FluidFrame Lab,Research Laboratory,458917,30/10/2019,PhD student in simulations of active colloidal suspensions,1 month 2 weeks,Expired,1,"Engineering › Mechanical engineering, Physics › Condensed matter properties",Temporary,812780,H2020
Bilkent University,Mechanical Engineering,FluidFrame Lab,Research Laboratory,402285,24/04/2019,PhD student in simulations of active colloidal suspensions.,1 month 2 weeks,Expired,1,"Engineering › Mechanical engineering, Physics › Condensed matter properties",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Bogazici University,,,Higher Education Institute,212026,24/04/2017,MSc/PhD position in Bogazici University,2 weeks 6 days,Expired,1,Computer science › Cybernetics,Temporary,731761,H2020
Bogazici University,,,Higher Education Institute,179865,8/2/2017,Full-Time PhD Positions in “Personal Technologies for Affective Health”,10 months 3 weeks,Expired,2,Computer science › Other,Temporary,,H2020 / Marie Skłodowska-Curie Actions
