Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
"3. IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Mechanical Engineering,,Higher Education Institute,473619,17/12/2019,Early Stage Researcher (Marie Sklodowska-Curie Innovative Training Network) using integrated modelling of guided waves for structural health monitoring,2 months 1 day,Expired,2,Engineering › Mechanical engineering,Temporary,,H2020 / Marie Skłodowska-Curie Actions
"3. IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Mechanical Engineering,,Higher Education Institute,473615,17/12/2019,Early Stage Researcher (Marie Sklodowska-Curie Innovative Training Network) to develop estimations of reliability of guided waves for structural health monitoring.,2 months 1 day,Expired,1,"Astronomy, Engineering › Mechanical engineering",Temporary,,H2020 / Marie Skłodowska-Curie Actions
"3. IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Mechanical Engineering,,Higher Education Institute,462553,13/11/2019,Early Stage Researcher (Marie Sklodowska-Curie Innovative Training Network) to investigate wildfires,1 year 3 months,Closed,1,Engineering › Mechanical engineering,Temporary,ENG01088,H2020 / Marie Skłodowska-Curie Actions
3D-Shaper Medical,,,"Small Medium Enterprise, Start-up",600076,31/01/2021,Scientist in Medical Image Analysis,2 weeks 4 days,Expired,1,Engineering › Biomedical engineering,Permanent,,Not funded by an EU programme
3D-Shaper Medical,,,"Small Medium Enterprise, Start-up",600074,31/01/2021,Scientist in Computational Biomechanics,2 weeks 4 days,Expired,1,"Engineering › Biomedical engineering, Engineering › Mechanical engineering",Permanent,,Not funded by an EU programme
Aberdeen University,Human Resources,,Higher Education Institute,559855,18/09/2020,Research Assistant (Early Stage Researcher),4 weeks 1 day,Expired,1,Medical sciences › Medicine,Temporary,IMS201R,H2020 / Marie Skłodowska-Curie Actions
Aberdeen University,Human Resources,,Higher Education Institute,382335,22/02/2019,Research Assistant (Early Stage Researcher),1 month 6 days,Expired,1,Biological sciences › Biology,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aberdeen University,Human Resources,,Higher Education Institute,382330,22/02/2019,Research Assistant (Early Stage Researcher),1 month 6 days,Expired,1,Biological sciences › Biology,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aberdeen University,Human Resources,,Higher Education Institute,357183,21/11/2018,RESEARCH ASSISTANT,1 month 2 weeks,Expired,1,Biological sciences › Biology,Temporary,IMS119 ESR6,H2020 / Marie Skłodowska-Curie Actions
Aberdeen University,Human Resources,,Higher Education Institute,349048,23/10/2018,Early Stage Researcher,4 months 1 week,Expired,6,"Anthropology, Cultural studies, Educational sciences, History, Juridical sciences, Philosophy, Political sciences, Sociology › Socio-economic research",Temporary,,H2020 / Marie Skłodowska-Curie Actions COFUND
Aberdeen University,Human Resources,,Higher Education Institute,348996,23/10/2018,Research Fellow,1 month 1 day,Expired,1,Biological sciences › Other,Temporary,IMS125R,H2020 / ERC
Aberdeen University,Human Resources,,Higher Education Institute,337364,7/9/2018,Research Assistant ESR15 (Marie-Sklowdowska Curie Early Stage Researcher and Full-Time PhD Student),3 weeks 3 days,Expired,1,Medical sciences › Medicine,Temporary,IMS119R ESR15,H2020 / Marie Skłodowska-Curie Actions COFUND
Aberdeen University,Human Resources,,Higher Education Institute,337363,7/9/2018,Research Assistant ESR6 (Marie-Sklowdowska Curie Early Stage Researcher and Full-Time PhD Student),3 weeks 3 days,Expired,1,Medical sciences › Medicine,Temporary,IMS119R ESR6,H2020 / Marie Skłodowska-Curie Actions COFUND
Aberdeen University,Human Resources,,Higher Education Institute,337362,7/9/2018,Research Assistant ESR2 (Marie-Sklowdowska Curie Early Stage Researcher and Full-Time PhD Student),3 weeks 3 days,Expired,1,Medical sciences › Medicine,Temporary,IMS119R ESR2,H2020 / Marie Skłodowska-Curie Actions
Aberdeen University,Human Resources,,Higher Education Institute,292605,27/03/2018,Marie Skłodowska-Curie PhD positions at the University of Aberdeen,1 month 1 day,Expired,6,Political sciences › Policy studies,Temporary,LAN077R,H2020 / Marie Skłodowska-Curie Actions
Aberdeen University,Human Resources,,Higher Education Institute,283280,23/02/2018,Marie Skłodowska-Curie PhD positions at the University of Aberdeen Political Concepts in the World – “Democratic Phoenix”: are young people changing the meaning of democracy?,3 weeks 4 days,Expired,1,"Agricultural sciences › Forest sciences, Political sciences › Policy studies, Political sciences › Other",Temporary,LAN070R,H2020 / Marie Skłodowska-Curie Actions
