Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
American University of Armenia Fund,Human Resources Department,,Higher Education Institute,338049,11/9/2018,Dean of the College of Humanities and Social Sciences,1 month 5 hours,Expired,1,Other,Permanent,,Not funded by an EU programme
American University of Armenia Fund,Human Resources Department,,Higher Education Institute,198902,31/03/2017,"Adjunct Faculty Positions, Manoogian Simone College of Business and Economics (CBE), AUA",1 month 1 day,Expired,3,Economics,Other,,Not funded by an EU programme
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",574389,4/11/2020,Post-doctoral position within the Graphene Flagship Project – Supercapacitors electrodes based on 2D crystals,2 weeks 1 day,Expired,2,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",544413,22/07/2020,Post-doctoral position within the Graphene Flagship Project – Si-graphene based Li-ion batteries,2 weeks 1 day,Expired,1,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",531494,11/6/2020,Post-doctoral position within the Graphene Flagship Project – Energy Storage,3 weeks 1 day,Expired,1,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",501174,5/3/2020,Administrative position in Technology Transfer within the Graphene Flagship Project – Innovation,2 weeks 7 hours,Expired,1,"Economics, Management sciences",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",499863,2/3/2020,Post-doctoral position within the Graphene Flagship Project – Composites,2 weeks 1 hour,Expired,2,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",499861,2/3/2020,Post-doctoral position within the Graphene Flagship Project – Functional Foams and Coatings,2 weeks 2 hours,Expired,2,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",499858,2/3/2020,Post-doctoral positions within the Graphene Flagship Project – Energy Storage,2 weeks 2 hours,Expired,5,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",499856,2/3/2020,Post-doctoral position within the Graphene Flagship Project – Energy Generation,2 weeks 3 hours,Expired,2,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",499803,2/3/2020,Post-doctoral position within the Graphene Flagship Project – Graphene battery production,2 weeks 6 hours,Expired,2,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
BeDimensional S.p.A.,R&D,,"Small Medium Enterprise, Start-up",499698,2/3/2020,Post-doctoral researcher in Solar Cells,2 weeks 10 hours,Expired,2,"Chemistry, Physics",Temporary,Grant Agreement n. 881603,H2020
Belgian Nuclear Research Centre,R&D Disposal,,International / Intergovernmental Organisation,599739,29/01/2021,PhD position: Synergetic influence of leaching and alkali-silica reaction on the properties of cemented waste-forms containing high nitrate content,3 weeks 14 hours,Published,2,"Engineering › Civil engineering, Engineering › Chemical engineering",Temporary,,Not funded by an EU programme
