Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Aalto University,Department of Applied Physics,,Higher Education Institute,535035,22/06/2020,Postdoctoral Researcher Position in Experimental Physics of Liquid-Repellent Surfaces,2 weeks 4 days,Expired,1,Physics › Surface physics,Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,535034,22/06/2020,Doctoral Student Position in Experimental Physics of Liquid-Repellent Surfaces,2 weeks 4 days,Expired,1,Physics › Surface physics,Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,502584,9/3/2020,Postdoc Position in Nanoscale Magnonics,1 month 3 weeks,Expired,1,Physics › Electromagnetism,Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,494209,18/02/2020,Doctoral Candidate Position in Superconducting Qubits and Circuit QED,4 weeks 1 day,Expired,1,"Physics › Quantum mechanics, Physics › Thermodynamics",Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,494207,18/02/2020,Postdoctoral Researcher Position in Superconducting Qubits and Circuit QED,4 weeks 1 day,Expired,1,"Physics › Electromagnetism, Physics › Surface physics",Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,494198,18/02/2020,Postdoctoral Researcher Position in Optics and Photonics,1 month 3 weeks,Expired,1,Physics › Optics,Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,492306,13/02/2020,Doctoral candidate position in Polymers for Next Generation Electrochemical Energy Storage,5 months 2 weeks,Expired,1,"Physics › Chemical physics, Physics › Applied physics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Aalto University,Department of Applied Physics,,Higher Education Institute,485666,28/01/2020,Postdoctoral Researcher in Quantum Nanomechanics,1 month 1 day,Expired,1,"Physics › Quantum mechanics, Physics › Electromagnetism",Temporary,,H2020 / ERC
Aalto University,Department of Applied Physics,,Higher Education Institute,485665,28/01/2020,Doctoral Candidates in Quantum Nanomechanics,1 month 1 day,Expired,2,"Physics › Quantum mechanics, Physics › Electromagnetism",Temporary,,H2020 / ERC
Aalto University,Department of Applied Physics,,Higher Education Institute,475267,23/12/2019,Tenure Track Position in Nuclear Engineering,2 months 1 week,Expired,1,"Engineering › Nuclear engineering, Physics › Other",To be defined,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,468237,2/12/2019,Doctoral Candidate in Quantum Circuits: Topological Superconductivity,1 month 1 day,Expired,2,"Physics › Solid state physics, Physics › Condensed matter properties",Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,468233,2/12/2019,Postdoctoral Researcher in Quantum Circuits: Detectors using Topological Materials,1 month 1 day,Expired,2,"Physics › Solid state physics, Physics › Condensed matter properties",Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,457678,25/10/2019,Doctoral Candidate in Coulomb Blockade Thermometry,1 month 6 days,Expired,1,"Physics › Electromagnetism, Physics › Quantum mechanics",Temporary,,Not funded by an EU programme
Aalto University,Department of Applied Physics,,Higher Education Institute,457676,25/10/2019,Doctoral Candidate in Shortcuts to Abiabatic Control of Quantum State Physics,1 month 1 day,Expired,1,"Physics › Quantum mechanics, Physics › Electromagnetism",Temporary,,Not funded by an EU programme
