Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
3GSolar Photovoltaics Ltd,,,"Small Medium Enterprise, Start-up",269258,28/12/2017,Early Stage Researcher for Horizon 2020 Project MAESTRO,9 months 5 days,Expired,1,Chemistry › Solar chemistry,Permanent,,H2020 / Marie Skłodowska-Curie Actions
Abeliovich Lab,Biochemistry Food Science and Nutrition,Abeliovich,Higher Education Institute,413531,2/6/2019,PhD studentships,1 year 8 months,Published,2,Biological sciences › Biology,Other,,Not funded by an EU programme
Ariel University,Physics Department,High Energy Physics and Condensed Matter theory,Higher Education Institute,270495,8/1/2018,Research Associate High Energy Physics Theory/Condensed Matter Theory,4 months 3 weeks,Expired,1,"Physics › Relativity, Physics › Mathematical physics, Physics › Condensed matter properties, Physics › Quantum mechanics, Physics › Solid state physics",Temporary,,Not funded by an EU programme
Bar Ilan University,,,Higher Education Institute,503466,11/3/2020,"PhD Students in Cancer immunotherapy and primary immunodeficiencies in The Mina& Everard Goodman Faculty of Life Sciences, Laboratory of Prof. Mira Barda-Saad",6 months 3 weeks,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
Bar Ilan University,,,Higher Education Institute,436160,9/8/2019,Graduate students and Postdocs,4 months 3 weeks,Expired,3,Biological sciences › Biology,Not Applicable,,Not funded by an EU programme
Bar Ilan University,,,Higher Education Institute,262628,29/11/2017,Seeking 4 Early Stage Researchers (ESRs) for a funded ITN in the field of AGEISM In Israel,3 months 19 hours,Expired,4,Sociology,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Bar Ilan University,,,Higher Education Institute,254718,25/10/2017,PhD/PostDoc in Computational study of Li ion Batteries,2 months 1 week,Expired,1,Chemistry › Computational chemistry,Temporary,,Not funded by an EU programme
Bar Ilan University,,,Higher Education Institute,241913,29/08/2017,PhD Student in Photovoltavic Research Field,8 months 3 days,Expired,1,Chemistry,Temporary,MAking pErovskiteS TRuly Exploitable Maestro,H2020 / Marie Skłodowska-Curie Actions
Bar Ilan University,Faculty of Medicine,,Higher Education Institute,269755,3/1/2018,Post-doctoral research associate in the field of bone-muscle molecular interactions‎,1 month 1 day,Expired,1,"Biological sciences, Computer science, Medical sciences",Temporary,,Not funded by an EU programme
Bar Ilan University,Faculty of Medicine,,Higher Education Institute,269650,2/1/2018,Ph.D. student in the field of evolutionary genetics,1 month 1 day,Expired,2,"Biological sciences › Laboratory animal science, Medical sciences › Medicine",Temporary,,Not funded by an EU programme
Bar Ilan University,The Azrieli Faculty of Medicine,The Laboratory of Molecular and Cellular Cancer Biology,Higher Education Institute,422222,28/06/2019,"Fully-Funded PhD Research Positions, Cancer Biology, The Azrieli Faculty of Medicine, Bar-Ilan University, Israel",3 months 2 days,Expired,2,Medical sciences › Other,Temporary,,Not funded by an EU programme
