Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
AchilleS Vaccines,HR,Vaccines,"Small Medium Enterprise, Start-up",491714,11/2/2020,Technician (Microbiology and molecular biology),4 months 5 days,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
AchilleS Vaccines,HR,Vaccines,"Small Medium Enterprise, Start-up",491711,11/2/2020,Scientist (Upstream and downstream),4 months 5 days,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
AchilleS Vaccines,HR,Vaccines,"Small Medium Enterprise, Start-up",491708,11/2/2020,Scientist (Analytics),4 months 5 days,Expired,1,Biological sciences › Biology,Permanent,,Not funded by an EU programme
AchilleS Vaccines,HR,Vaccines,"Small Medium Enterprise, Start-up",491703,11/2/2020,Research Associate,4 months 5 days,Expired,2,Biological sciences › Biology,Temporary,,Not funded by an EU programme
AIRC - Italian Association for Cancer Research,,,Research Laboratory,400649,17/04/2019,Mobility Fellowships for experienced researchers co-funded by AIRC and the European Union,1 month 2 weeks,Expired,15,Medical sciences › Medicine,Temporary,,H2020 / Marie Skłodowska-Curie Actions COFUND
AIRC - Italian Association for Cancer Research,,,Research Laboratory,305216,11/5/2018,15 Mobility Fellowships for experienced researchers co-funded by AIRC and the European Union,1 month 2 weeks,Expired,15,Medical sciences › Medicine,Temporary,,H2020 / Marie Skłodowska-Curie Actions COFUND
Alimonti Lab @VIMM,,,Research Laboratory,385485,5/3/2019,Two-year Postdoctoral fellowship in the Molecular Oncology group directed by Prof. Andrea Alimonti at VIMM,1 month 1 day,Expired,1,"Biological sciences, Medical sciences, Pharmacological sciences",Temporary,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,510767,3/4/2020,"PhD fellowship within the Marie Skłodowska-Curie Actions Innovative Training Network ""GW4SHM""",3 weeks 6 days,Expired,1,"Engineering › Electronic engineering, Engineering › Electrical engineering, Engineering › Industrial engineering, Physics › Metrology, Physics › Acoustics",Temporary,GW4SHM-ESR14,H2020 / Marie Skłodowska-Curie Actions
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,509401,30/03/2020,PhD Programme in Aerospace Science and Technology - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,4,"Engineering › Aerospace engineering, Technology › Space technology",Not Applicable,H2020 NEO-MAPP,H2020
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508461,26/03/2020,PhD Programme in Cultural and Environmental Heritage - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,17,Cultural studies,Not Applicable,,H2020 / ERC
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508460,26/03/2020,PhD Programme in Computer Science and Engineering - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,10,Computer science,Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508459,26/03/2020,"PhD Programme in Civil, Chemical, Environmental and Materials Engineering - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna",1 month 3 weeks,Expired,15,"Engineering › Civil engineering, Engineering › Chemical engineering, Engineering › Materials engineering, Environmental science",Not Applicable,,H2020
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508458,26/03/2020,PhD Programme in Chemistry - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,18,Chemistry,Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508457,26/03/2020,PhD Programme in Cellular and Molecular Biology - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,9,Biological sciences,Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508456,26/03/2020,PhD Programme in Cardio Nephro Thoracic Sciences - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,4,Medical sciences,Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508455,26/03/2020,"PhD Programme in Biotechnological, Biocomputational, Pharmaceutical and Pharmacological Sciences - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna",1 month 3 weeks,Expired,9,Pharmacological sciences › Other,Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508454,26/03/2020,"PhD Programme in Biomedical, Electrical and System Engineering - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna",1 month 3 weeks,Expired,12,"Engineering › Biomedical engineering, Engineering › Electrical engineering, Engineering › Systems engineering",Not Applicable,,H2020
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508453,26/03/2020,PhD Programme in Biomedical and Neuromotor Sciences - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,17,"Medical sciences, Neurosciences",Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508451,26/03/2020,PhD Programme in Automotive Engineering for Intelligent Mobility - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,14,Engineering,Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508450,26/03/2020,PhD Programme in Astrophysics- Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,12,"Astronomy, Physics",Not Applicable,,Not funded by an EU programme
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508447,26/03/2020,PhD Programme in Architecture and Design Cultures - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,11,Architecture,Not Applicable,,H2020
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508446,26/03/2020,"PhD Programme in Agricultural, Environmental and Food Science and Technology - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna",1 month 3 weeks,Expired,24,"Agricultural sciences, Environmental science",Not Applicable,,H2020
ALMA MATER STUDIORUM - Università di Bologna,,,Higher Education Institute,508445,26/03/2020,PhD Programme in Economics - Academic Year 2020/2021 - Alma Mater Studiorum - Università di Bologna,1 month 3 weeks,Expired,8,Economics,Not Applicable,,Not funded by an EU programme
