Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Akershus University Hospital,,,Other,587820,16/12/2020,A researcher position (Forsker) is available in the research group “Functional Genetics of Obesity”,1 month 9 hours,Expired,1,Medical sciences › Medicine,Other,4311466573,Not funded by an EU programme
Akershus University Hospital,,,Other,578449,18/11/2020,A researcher position (Forsker) is available in the research group “Functional Genetics of Obesity”,2 weeks 4 days,Expired,1,Medical sciences › Medicine,Temporary,4311466573,Not funded by an EU programme
Bangor University,School of Computer Science and Electronic Engineering,,Higher Education Institute,524850,19/05/2020,Research Project Support Officer (+ PhD study),2 weeks 5 days,Expired,1,"Engineering › Electronic engineering, Physics › Optics",To be defined,,H2020
Bangor University,School of Computer Science and Electronic Engineering,,Higher Education Institute,457367,24/10/2019,Research Project Support Officer in The DSP Centre of Excellence (2 posts) (Ref: BU01976),4 weeks 1 day,Expired,2,"Engineering, Physics",Other,,H2020
bitYoga AS,,,"Small Medium Enterprise, Start-up",473158,15/12/2019,PhD position in Computer Science,2 months 1 week,Expired,1,Computer science › Other,Temporary,,H2020 / Marie Skłodowska-Curie Actions
"Brno University of Technology, Faculty of Information Technology",hr department,,Higher Education Institute,489129,5/2/2020,Senior Academic Position at FIT,2 months 8 hours,Expired,1,Computer science,Temporary,,Not funded by an EU programme
"Brno University of Technology, Faculty of Information Technology",hr department,,Higher Education Institute,485626,28/01/2020,SENIOR RESEARCHER,3 weeks 1 day,Expired,1,Computer science,Temporary,,Not funded by an EU programme
"Brno University of Technology, Faculty of Information Technology",hr department,,Higher Education Institute,455909,18/10/2019,Academic position at FIT BUT,1 month 3 days,Expired,5,"Computer science, Technology",Temporary,,Not funded by an EU programme
Cardiaccs AS,,,Other,359035,28/11/2018,Post-doctoral fellow in materials and industrial engineering for cardiac medical device development,9 months 2 weeks,Expired,2,"Engineering › Materials engineering, Engineering › Industrial engineering, Medical sciences › Other, Technology › Medical technology",Not Applicable,860047,H2020 / SME Innovation Associate
CardiNor AS,,,"Small Medium Enterprise, Start-up",365753,20/12/2018,Postdoctoral fellow with knowledge in IVD biomarker research and validation,2 months 1 week,Expired,1,"Biological sciences › Biological engineering, Chemistry › Analytical chemistry, Chemistry › Biochemistry, Engineering › Biomedical engineering, Technology › Biotechnology, Technology › Medical technology",Temporary,INNOSUP-02-2019-2020,H2020 / SME Innovation Associate
Centre for Applied Research at NHH,,,Other,264134,6/12/2017,Researchers/Senior researchers in behavioral economics and labor market economics,1 month 1 week,Expired,2,Economics,Permanent,,Not funded by an EU programme
Centre for Educational Measurement (CEMO),University of Oslo,,Higher Education Institute,319612,28/06/2018,Two Postdoctoral fellowships in Educational Assessment and Measurement,3 months 4 days,Expired,2,Educational sciences › Research methodology,Temporary,,Not funded by an EU programme
Centre for Educational Measurement (CEMO),University of Oslo,,Higher Education Institute,319605,28/06/2018,Two PhD Research fellows in educational measurement,3 months 4 days,Expired,2,Educational sciences › Research methodology,Temporary,,Not funded by an EU programme
Centre for Educational Measurement (CEMO),University of Oslo,,Higher Education Institute,319601,28/06/2018,PhD Research fellow in Educational policy analysis with large-scale assessment data,3 months 4 days,Expired,1,Educational sciences › Research methodology,Temporary,,Not funded by an EU programme
"Centre for Molecular Medicine Norway (NCMM), University of Oslo",Centre for Molecular Medicine Norway,Computational Biology & Gene Regulation,Higher Education Institute,370343,14/01/2019,PhD student,2 months 2 days,Expired,2,"Biological sciences › Biology, Computer science › Informatics",Temporary,,Not funded by an EU programme
"Centre for Molecular Medicine Norway (NCMM), University of Oslo",Centre for Molecular Medicine Norway,Computational Biology & Gene Regulation,Higher Education Institute,367907,4/1/2019,Postdoctoral position in Computational Biology and Gene Regulation,1 month 5 hours,Expired,2,"Biological sciences › Biology, Computer science › Other",Temporary,,Not funded by an EU programme
CESSDA,,,International / Intergovernmental Organisation,304523,9/5/2018,Technical Officer,1 month 1 day,Expired,1,Computer science › Database management,Permanent,,Not funded by an EU programme
CESSDA,,,International / Intergovernmental Organisation,273283,22/01/2018,Senior Project Manager,1 month 1 week,Expired,1,"Communication sciences, Educational sciences, Psychological sciences, Sociology",Other,,Not funded by an EU programme
CESSDA,,,International / Intergovernmental Organisation,272672,18/01/2018,Chief Technical Officer,1 month 1 week,Expired,1,Computer science › Database management,To be defined,,Not funded by an EU programme
