Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,468923,3/12/2019,PhD student (3 positions),1 month 1 week,Expired,3,"Chemistry, Engineering › Civil engineering, Engineering › Chemical engineering, Engineering › Aerospace engineering, Engineering › Computer engineering, Mathematics, Physics",Temporary,,Not funded by an EU programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,467303,27/11/2019,RESEARCH ASSISTANT,1 month 1 week,Expired,2,"Chemistry, Engineering › Materials engineering, Engineering › Chemical engineering, Engineering › Civil engineering, Engineering › Aerospace engineering, Engineering › Computer engineering, Mathematics, Physics",Temporary,,Not funded by an EU programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,332614,16/08/2018,RESEARCH ASSISTANT,2 months 1 week,Expired,1,"Chemistry, Engineering › Materials engineering, Engineering › Chemical engineering, Engineering › Civil engineering, Engineering › Aerospace engineering, Engineering › Communication engineering, Engineering › Computer engineering, Engineering › Electrical engineering, Engineering › Electronic engineering, Engineering › Industrial engineering, Engineering › Mechanical engineering, Engineering › Nuclear engineering, Engineering › Simulation engineering, Engineering › Systems engineering, Engineering › Microengineering, Mathematics, Physics",Temporary,,Not funded by an EU programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,323123,10/7/2018,RESEARCH ASSISTANT (3 positions),1 month 22 hours,Expired,3,"Chemistry, Engineering › Materials engineering, Mathematics, Physics",Temporary,,Not funded by an EU programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,218717,19/05/2017,Faculty of Archival Sciences of Alexandru Ioan Cuza Academy seeks to fill a position of IT administrator,4 days 4 hours,Expired,1,Computer science › Database management,Temporary,,Not funded by an EU programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,218712,19/05/2017,Faculty of Archival Sciences of Alexandru Ioan Cuza Academy seeks to fill 1 position of doctoral student in Digital Humanities,4 days 4 hours,Expired,1,History › Genealogy,Temporary,,Not funded by an EU programme
"""Alexandru Ioan Cuza"" Police Academy",Faculty of Archival Sciences,,Higher Education Institute,218704,19/05/2017,Faculty of Archival Sciences of the ”Alexandru Ioan Cuza” Police Academy seeks to fill 3 positions of post-doctoral researches in Digital Humanities,4 days 5 hours,Expired,3,History › Genealogy,Temporary,,Not funded by an EU programme
"""Aurel Vlaicu"" University of Arad",,,Higher Education Institute,451062,2/10/2019,Assistant Researcher (1 position),1 week 2 days,Expired,1,"Agricultural sciences, Biological sciences, Chemistry, Environmental science",Temporary,,Not funded by an EU programme
"""Aurel Vlaicu"" University of Arad",,,Higher Education Institute,321223,3/7/2018,Assistant Researcher (1 position),1 year 2 months,Expired,1,"Agricultural sciences, Biological sciences, Chemistry, Environmental science",Temporary,,Not funded by an EU programme
"""Aurel Vlaicu"" University of Arad",I.C.D.I.S.T.N.,Proiect PN-III-P2-2.1-PTE-2016-0217,Higher Education Institute,284049,27/02/2018,Postdoc researcher,5 days 22 hours,Expired,2,Engineering › Industrial engineering,Temporary,3 - 28PTE,Not funded by an EU programme
"""Aurel Vlaicu"" University of Arad",I.C.D.I.S.T.N.,Proiect PN-III-P2-2.1-PTE-2016-0217,Higher Education Institute,237764,3/8/2017,Researcher in Chemistry,3 weeks 1 day,Expired,1,Chemistry › Physical chemistry,Temporary,,Not funded by an EU programme
"""Aurel Vlaicu"" University of Arad",I.C.D.I.S.T.N.,Proiect PN-III-P2-2.1-PTE-2016-0217,Higher Education Institute,237754,3/8/2017,Researcher in Management and Business Economics,1 month 3 weeks,Expired,1,Economics › Management studies,Temporary,,Not funded by an EU programme
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,269547,31/12/2017,Research Fellow (post-doctoral level) in Applied Mathematics / Computer Science,1 month 23 hours,Expired,1,"Mathematics › Combinatorial analysis, Mathematics › Algorithms, Mathematics › Discrete mathematics",Temporary,,H2020
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,257608,7/11/2017,Senior Scientist in Mathematics / Computer Science,1 month 2 days,Expired,1,Mathematics › Statistics,Temporary,WP2-3-3-Leading,H2020
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,177870,1/2/2017,Research Fellow (post-doctoral level) in Protein Molecular Dynamics,1 month 1 day,Expired,1,Biological sciences,Temporary,WP1-2-Senior,H2020
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,160047,1/12/2016,Senior Research Fellow (post-doctoral level) in Mathematics,1 month 2 weeks,Expired,1,"Mathematics › Computational mathematics, Mathematics › Discrete mathematics, Mathematics › Mathematical logic, Mathematics › Algebra, Mathematics › Probability theory",Temporary,WP2-1 (COP-A1-A1.1.4-E nr. 30/01.09.2016),H2020
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,159804,1/12/2016,PhD candidate in Computer Engineering,1 month 2 weeks,Expired,1,"Engineering › Computer engineering, Engineering › Electronic engineering",Temporary,WP4-1-PhD (COP-A1-A1.1.4-E nr. 30/01.09.2016),H2020
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,158947,28/11/2016,Research Fellow (post-doctoral level) in Computer Science,1 month 2 weeks,Expired,1,"Computer science › Systems design, Computer science › 3 D modelling, Computer science › Programming",Temporary,WP3-2 (COP-A1-A1.1.4-E nr. 30/01.09.2016),H2020
"""Aurel Vlaicu"" University of Arad","Institutul de Cercetare, Dezvoltare, Inovare în Ştiinţe Tehnice şi Naturale",BioCell-NanoART,Higher Education Institute,158748,27/11/2016,PhD candidate in Computer Science,1 month 2 weeks,Expired,1,"Computer science › Modelling tools, Computer science › Programming, Computer science › Systems design",Temporary,WP3 (COP-A1-A1.1.4-E nr. 30/01.09.2016),H2020
