Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Astronomical Observatory of Belgrade,,,Public Research Institution,376854,4/2/2019,Research (PhD) position in modeling and characterization of asteroids,1 month 3 weeks,Expired,1,"Astronomy › Other, Astronomy › Astrophysics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
BioSense Institute,,,Public Research Institution,589471,21/12/2020,Remote Sensing Expert,1 month 1 week,Expired,1,Engineering › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,589468,21/12/2020,Microbiome Expert,1 month 1 week,Expired,1,Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,589465,21/12/2020,Deep Learning Expert,1 month 1 week,Expired,1,Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,589463,21/12/2020,Data Science Expert,1 month 1 week,Expired,1,Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,589455,21/12/2020,Agronomy Expert,1 month 1 week,Expired,1,Agricultural sciences › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,589452,21/12/2020,Experienced researcher in microfluidics,1 month 1 week,Expired,1,Physics › Applied physics,Temporary,,H2020
BioSense Institute,,,Public Research Institution,549904,10/8/2020,Experienced researcher in development of optical and IR sensing devices,1 month 3 weeks,Expired,1,"Engineering › Electronic engineering, Physics › Electronics, Physics › Optics, Physics › Applied physics",Temporary,,H2020
BioSense Institute,,,Public Research Institution,549895,10/8/2020,Experienced researcher in development of microwave sensing devices,1 month 3 weeks,Expired,1,"Engineering › Electronic engineering, Physics › Applied physics, Physics › Electronics",Temporary,,H2020
BioSense Institute,,,Public Research Institution,457158,24/10/2019,Mechatronics engineer,4 weeks 1 day,Expired,1,Engineering › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457157,24/10/2019,Experienced researcher in development of microfluidic biosensors and devices,4 weeks 1 day,Expired,1,Engineering › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457156,24/10/2019,Experienced researcher in development of biosensors,4 weeks 1 day,Expired,1,Technology › Biotechnology,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457153,24/10/2019,Microbiome Bioinformatics Expert,4 weeks 1 day,Expired,1,Computer science › Informatics,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457150,24/10/2019,Genotype-Phenotype Interaction Expert,4 weeks 1 day,Expired,1,Agricultural sciences › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457149,24/10/2019,Agronomy Expert,4 weeks 1 day,Expired,1,Agricultural sciences › Agronomics,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457148,23/10/2019,Data Science Expert,4 weeks 1 day,Expired,1,Computer science › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457147,23/10/2019,Evolutionary Algorithms Expert,4 weeks 1 day,Expired,1,Computer science › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,457145,23/10/2019,Remote Sensing Expert,4 weeks 1 day,Expired,1,Computer science › Other,Temporary,,H2020
BioSense Institute,,,Public Research Institution,248170,26/09/2017,Senior proposal writer/project manager,1 month 11 hours,Expired,1,Economics › Business economics,Temporary,,H2020
BioSense Institute,,,Public Research Institution,248166,26/09/2017,Dissemination and Communication Expert,1 month 12 hours,Expired,1,Communication sciences › Public relations,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230728,5/7/2017,Research leader in satellite imaging and remote sensing,2 months 3 weeks,Expired,1,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230727,5/7/2017,Experienced researcher in Big Data,2 months 3 weeks,Expired,2,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230726,5/7/2017,Experienced researcher in bioinformatics,2 months 3 weeks,Expired,1,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230725,5/7/2017,Experienced researcher in development of sensing devices,2 months 3 weeks,Expired,8,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230724,5/7/2017,Experienced researcher in IoT – internet-of-things,2 months 3 weeks,Expired,1,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230721,5/7/2017,Experienced researcher in multispectral/hyperspectral image processing,2 months 3 weeks,Expired,2,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230719,5/7/2017,Experienced researcher in satellite imaging and remote sensing,2 months 3 weeks,Expired,2,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230716,5/7/2017,Research leader in Big Data,2 months 3 weeks,Expired,1,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230714,5/7/2017,Research leader in development of sensing devices,2 months 3 weeks,Expired,2,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,230713,5/7/2017,Research leader in multispectral/hyperspectral image processing,2 months 3 weeks,Expired,1,Engineering,Temporary,,H2020
BioSense Institute,,,Public Research Institution,159654,30/11/2016,Project Manager (EU-funded projects in ICTs for Agriculture),2 weeks 1 day,Expired,1,"Agricultural sciences, Engineering, Technology",Permanent,,H2020
