Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
HSE Institute of Education,,,Higher Education Institute,251203,9/10/2017,Assistant Professor in Education (multiple positions),4 months 6 days,Expired,2,Educational sciences,Temporary,,Not funded by an EU programme
National University of Science and Technology «MISiS»,International Research Projects Department,International Research Projects Department,Higher Education Institute,425498,9/7/2019,Postdoctoral Fellow - Thermochemistry of Materials SRC,1 month 1 day,Expired,1,"Physics › Applied physics, Physics › Thermodynamics",Temporary,,Not funded by an EU programme
National University of Science and Technology «MISiS»,International Research Projects Department,International Research Projects Department,Higher Education Institute,425107,8/7/2019,Postdoctoral Fellow - Laboratory of Nanochemistry and Ecology,1 month 1 day,Expired,2,"Chemistry › Homogeneous catalysis, Chemistry › Applied chemistry, Chemistry › Inorganic chemistry",Temporary,,Not funded by an EU programme
National University of Science and Technology «MISiS»,International Research Projects Department,International Research Projects Department,Higher Education Institute,416798,13/06/2019,Postdoctoral Fellow,1 month 7 hours,Expired,1,Physics › Applied physics,Temporary,,Not funded by an EU programme
National University of Science and Technology «MISiS»,International Research Projects Department,International Research Projects Department,Higher Education Institute,332562,16/08/2018,Postdoctoral Fellow - Open International Grant Competition,1 month 2 weeks,Expired,10,"Chemistry › Physical chemistry, Physics › Biophysics, Physics › Applied physics, Physics › Thermodynamics",Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,580711,25/11/2020,Leading Reseracher of the Laboratory of Quantum Computing,2 months 3 weeks,Published,1,"Physics › Quantum mechanics, Physics › Condensed matter properties, Physics › Computational physics, Physics › Optics",Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Public Research Institution,580706,25/11/2020,Senior Researcher of the Laboratory of Quantum Computing,2 months 3 weeks,Published,1,"Computer science › Informatics, Physics › Quantum mechanics, Physics › Surface physics, Physics › Computational physics",Permanent,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,576262,11/11/2020,Researcher in Solid-State Quantum Sensing,3 months 1 week,Published,2,"Physics › Solid state physics, Physics › Quantum mechanics, Physics › Computational physics",Permanent,,Not funded by an EU programme
South Ural State University,International research collaboration,,Public Research Institution,572518,29/10/2020,Researcher in Sociology,1 month 1 day,Expired,1,"Sociology › Social changes, Sociology › Societal behaviour, Sociology › Socio-economic research",Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,572493,29/10/2020,Teacher in Social Sciences,3 months 3 weeks,Published,1,"Sociology › Societal behaviour, Sociology › Socio-economic research",Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Public Research Institution,550046,11/8/2020,Senior Researcher in Electronic Engineering and Computer Science,6 months 1 week,Published,3,"Computer science › Informatics, Computer science › Systems design, Computer science › Computer systems, Computer science › Programming, Other",Permanent,,Not funded by an EU programme
South Ural State University,International research collaboration,,Public Research Institution,542673,16/07/2020,Multidisciplinary Senior Researcher in Microbiology and Building,2 months 2 weeks,Expired,2,"Biological sciences › Other, Engineering › Biomaterial engineering, Engineering › Materials engineering",Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,530128,8/6/2020,Remote researcher in Economic Security,8 months 2 weeks,Published,1,"Economics › Labour economics, Economics › Home economics, Economics › Valuation, Economics › Environmental economics",Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Public Research Institution,530123,8/6/2020,Researcher in Economic security,8 months 2 weeks,Published,1,"Economics › Labour economics, Economics › Valuation, Economics › Home economics, Economics › Environmental economics",Permanent,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,530072,8/6/2020,Remote Researcher/Senior Researcher in Computer vision,8 months 2 weeks,Published,1,Computer science › Modelling tools,Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,530071,8/6/2020,Researcher in the area of photogrammetry developing,2 months 4 weeks,Expired,1,Computer science › Modelling tools,Permanent,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,529208,4/6/2020,Postdoc in Computational chemistry,8 months 2 weeks,Published,1,"Chemistry › Computational chemistry, Chemistry › Molecular chemistry",Permanent,,Not funded by an EU programme
South Ural State University,International research collaboration,,Public Research Institution,529202,4/6/2020,Postdoc in computational chemistry,6 months 10 hours,Expired,1,Chemistry › Computational chemistry,Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,525555,22/05/2020,Senior researcher with PhD degree in Information Technologies and Computer Science,1 month 1 day,Expired,3,Computer science › Systems design,Temporary,,Not funded by an EU programme
South Ural State University,International research collaboration,,Higher Education Institute,524750,19/05/2020,Economics researcher with PhD degree,1 month 1 day,Expired,3,Economics,Temporary,,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,508306,26/03/2020,Researcher/ Senior researcher in the area of Electronic Engineering and Computer Science,1 month 1 day,Expired,2,"Computer science › Programming, Computer science › Systems design, Computer science › Other",Permanent,,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,508305,26/03/2020,Part-time Researcher at the Philosophy Department,1 month 1 day,Expired,2,"Philosophy › Metaphysics, Philosophy › Other",Permanent,Philosophy_1,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,508304,26/03/2020,Researcher at the Social Studies Department,1 month 1 day,Expired,2,"Sociology › Other, Sociology › Social changes, Sociology › Sociology of labour",Permanent,Sociology_1,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,489716,6/2/2020,Part-time Researcher at the Philosophy Department,2 months 21 hours,Expired,2,"Philosophy › Other, Philosophy › Metaphysics",Permanent,Philosophy_1,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,482652,20/01/2020,Associate Professor at the School of Electronic Engineering and Computer Science,2 months 8 hours,Expired,3,"Computer science › Programming, Computer science › Computer systems",Permanent,Digital_2,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,446491,17/09/2019,Associate professor (PhD) in the Department of Computer Science and Economics,1 month 5 hours,Expired,2,"Computer science › Informatics, Computer science › Programming, Economics › Business economics",Permanent,Economics_Info_1,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,446487,17/09/2019,Associate professor (PhD) in the Department of Computer Science and Economics,1 month 5 hours,Expired,2,"Computer science › Programming, Computer science › Informatics, Economics › Business economics",Permanent,Economics_Info,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443738,6/9/2019,Academic Position at the Economics of business and project management Department,1 month 5 hours,Expired,2,Economics › Management studies,Permanent,Economics_6,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443737,6/9/2019,Academic Position at the Economics of business and project management Department,1 month 5 hours,Expired,2,Economics › Management studies,Permanent,Economics_5,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443726,6/9/2019,Academic position at the Applied Economics Department,1 month 5 hours,Expired,2,Economics › Applied economics,Permanent,Economics_4,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443725,6/9/2019,Academic position at the Applied Economics Department,1 month 5 hours,Expired,2,Economics › Applied economics,Permanent,Economics_3,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443719,6/9/2019,Academic position at the Economics Security Department,1 month 6 hours,Expired,2,"Economics › Banking, Economics › Valuation",Permanent,Economics_2,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443717,6/9/2019,Academic position at the Economics Security Department,1 month 6 hours,Expired,2,"Economics › Banking, Economics › Valuation",Permanent,Economics_1,Not funded by an EU programme
South Ural State University (National Research University),International Affairs Division,,Higher Education Institute,443688,6/9/2019,Research coordinator for the Research Educational Center (REC) ‘Digital Industry’,1 month 7 hours,Expired,2,"Computer science › Digital systems, Computer science › Programming",Permanent,REC_digital,Not funded by an EU programme
