id,customer_type,title,service_count,service_category,is_draft,is_bulk,bulk_from,bulk_to,country,organization,created,modified
82,Resident,Personalized assistance,1,Career Development,0,0,NULL,NULL,EE,Estonian University of Life Sciences,7/2/2018 8:23,7/23/2018 9:26
83,Incoming,Personalized assistance,1,Accommodation,1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:47,8/15/2018 13:10
83,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:47,8/15/2018 13:10
83,Incoming,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:47,8/15/2018 13:10
84,Support staff,Short enquiry,1,Funding opportunities,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:50,7/2/2018 12:50
85,Incoming,Personalized assistance,1,Recognition of diplomas,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:59,11/26/2018 8:20
85,Incoming,Personalized assistance,1,Accommodation,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:59,11/26/2018 8:20
85,Incoming,Personalized assistance,1,Language courses and cultural integration,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:59,11/26/2018 8:20
85,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:59,11/26/2018 8:20
85,Incoming,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:59,11/26/2018 8:20
85,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 12:59,11/26/2018 8:20
86,Support staff,Signposting,1,"Workplace formalities (access to facilities, WiFi, libraries, etc)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 13:11,7/2/2018 13:11
87,Resident,Short enquiry,1,"Daycare, schooling and family",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 13:56,7/2/2018 13:56
88,Returning,Short enquiry,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/2/2018 14:00,7/2/2018 14:00
89,Resident,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,BE,Belgian Federal Science Policy Office,7/2/2018 15:20,8/10/2018 9:07
90,Support staff,Short enquiry,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/3/2018 7:49,7/3/2018 7:49
90,Support staff,Short enquiry,1,Other,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/3/2018 7:49,7/3/2018 7:49
90,Support staff,Short enquiry,1,"Daily life (incl. banking, driver license, health care, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/3/2018 7:49,7/3/2018 7:49
91,Outgoing,Personalized assistance,1,Other,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/3/2018 8:10,7/3/2018 8:10
93,Incoming,Personalized assistance,1,Funding opportunities,0,0,NULL,NULL,EE,Estonian University of Life Sciences,7/3/2018 11:20,9/27/2018 6:58
93,Incoming,Personalized assistance,1,"Workplace formalities (access to facilities, WiFi, libraries, etc)",0,0,NULL,NULL,EE,Estonian University of Life Sciences,7/3/2018 11:20,9/27/2018 6:58
94,Incoming,Personalized assistance,1,Recognition of diplomas,0,0,NULL,NULL,LV,State Education Development Agency,7/3/2018 11:21,7/3/2018 11:21
95,Incoming,Short enquiry,1,Accommodation,0,0,NULL,NULL,DE,University of Stuttgart,7/3/2018 12:28,7/3/2018 12:31
95,Incoming,Short enquiry,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,University of Stuttgart,7/3/2018 12:28,7/3/2018 12:31
95,Incoming,Short enquiry,1,Other,0,0,NULL,NULL,DE,University of Stuttgart,7/3/2018 12:28,7/3/2018 12:31
96,Incoming,Signposting,1,Accommodation,0,0,NULL,NULL,DE,University of Stuttgart,7/3/2018 12:30,7/3/2018 12:31
97,Incoming,Personalized assistance,1,Accommodation,1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/4/2018 6:57,8/15/2018 13:09
97,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/4/2018 6:57,8/15/2018 13:09
97,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/4/2018 6:57,8/15/2018 13:09
98,NULL,NULL,1,Accommodation,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,6,Career Development,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,1,"Daily life (incl. banking, driver license, health care, etc.)",0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,2,"Entry conditions (visas, residence permit, etc.)",0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,7,Funding opportunities,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,6,Job opportunities,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,1,Language courses and cultural integration,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,15,Other,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,2,Recognition of diplomas,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,1,Taxation/salaries,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
98,NULL,NULL,4,Work permits,0,1,2018-07-04,2018-07-04,LV,State Education Development Agency,7/4/2018 10:42,7/4/2018 10:42
99,Incoming,Personalized assistance,1,Language courses and cultural integration,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:30,7/5/2018 11:30
99,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:30,7/5/2018 11:30
99,Incoming,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:30,7/5/2018 11:30
99,Incoming,Personalized assistance,1,Recognition of diplomas,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:30,7/5/2018 11:30
99,Incoming,Personalized assistance,1,Taxation/salaries,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:30,7/5/2018 11:30
99,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:30,7/5/2018 11:30
100,Returning,Personalized assistance,1,Language courses and cultural integration,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:49,8/14/2018 13:24
100,Returning,Personalized assistance,1,Accommodation,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:49,8/14/2018 13:24
100,Returning,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 11:49,8/14/2018 13:24
101,Incoming,Personalized assistance,1,Accommodation,1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 12:08,8/17/2018 11:14
101,Incoming,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 12:08,8/17/2018 11:14
101,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",1,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 12:08,8/17/2018 11:14
102,Incoming,Personalized assistance,1,Language courses and cultural integration,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
102,Incoming,Personalized assistance,1,Accommodation,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
102,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
102,Incoming,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
102,Incoming,Personalized assistance,1,Taxation/salaries,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
102,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
102,Incoming,Personalized assistance,1,Work permits,0,0,NULL,NULL,DE,Heinrich Heine University Düsseldorf,7/5/2018 15:07,7/5/2018 15:07
103,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 8:36,7/9/2018 8:36
103,Incoming,Personalized assistance,1,Funding opportunities,0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 8:36,7/9/2018 8:36
103,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 8:36,7/9/2018 8:36
104,Incoming,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 8:37,7/9/2018 8:37
104,Incoming,Personalized assistance,1,Work permits,0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 8:37,7/9/2018 8:37
105,Incoming,Short enquiry,1,"Daycare, schooling and family",0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 8:38,7/9/2018 8:38
106,Incoming,Short enquiry,1,Language courses and cultural integration,0,0,NULL,NULL,DE,University of Stuttgart,7/9/2018 9:51,7/9/2018 9:51
107,Support staff,Short enquiry,1,Recognition of diplomas,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:47,7/10/2018 7:47
108,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:49,7/10/2018 7:49
108,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:49,7/10/2018 7:49
109,Incoming,Signposting,1,"Daily life (incl. banking, driver license, health care, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:50,7/10/2018 7:50
111,Incoming,Signposting,1,"Daily life (incl. banking, driver license, health care, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:51,7/10/2018 7:51
112,Support staff,Short enquiry,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:52,7/10/2018 7:52
113,Resident,Short enquiry,1,Funding opportunities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:53,7/10/2018 7:53
114,Support staff,Short enquiry,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:54,7/10/2018 7:54
115,Resident,Short enquiry,1,Funding opportunities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:55,7/10/2018 7:55
116,Incoming,Short enquiry,1,Career Development,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:56,7/10/2018 7:56
116,Incoming,Short enquiry,1,Funding opportunities,0,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 7:56,7/10/2018 7:56
