Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
"Agency for Science, Technology and Research (A*STAR)",Institute of Materials Research and Engineering,,Public Research Institution,270467,8/1/2018,Scientist (Surface-Fluid Interactions) [16/IMRE/0005] / IMRE (A*STAR),1 month 1 day,Expired,1,"Chemistry, Engineering, Physics › Surface physics",To be defined,,Not funded by an EU programme
"Agency for Science, Technology and Research (A*STAR)",Institute of Materials Research and Engineering,,Public Research Institution,267082,19/12/2017,Scientist (Direct-write sensors) [17/IMRE/0037] / IMRE (A*STAR),3 months 1 week,Expired,1,"Engineering › Materials engineering, Physics › Applied physics",To be defined,,Not funded by an EU programme
"Agency for Science, Technology and Research (A*STAR)",Institute of Materials Research and Engineering,,Public Research Institution,267081,19/12/2017,Scientist (Organometallic synthesis) [17/IMRE/0035] / IMRE (A*STAR),3 months 1 week,Expired,1,Chemistry,To be defined,,Not funded by an EU programme
"Agency for Science, Technology and Research (A*STAR)",Institute of Materials Research and Engineering,,Public Research Institution,243917,7/9/2017,Scientist (3D Structured Light Inspection) / IMRE (A*STAR),4 weeks 1 day,Expired,1,Engineering,Other,,Not funded by an EU programme
"Agency for Science, Technology and Research (A*STAR)",Singapore Immunology Network,Flavivirus Immunology,Public Research Institution,302751,2/5/2018,Postdoctoral Fellow for Flavivirus Antibody Program,1 month 1 week,Expired,2,"Biological sciences › Other, Medical sciences",Temporary,,Not funded by an EU programme
"Agency for Science, Technology and Research (A*STAR)",Singapore Immunology Network,Flavivirus Immunology,Public Research Institution,231978,11/7/2017,Research Fellow/Postdoctoral Fellow,2 weeks 6 days,Expired,1,"Biological sciences, Medical sciences",Temporary,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,273730,24/01/2018,Scientist (Molecular Dynamics Simulation) [18/IHPC/0002] / IHPC (A*STAR),2 months 6 days,Expired,1,Chemistry,To be defined,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,267086,19/12/2017,Scientist (Neuromorphic) [16/IHPC/0006] / IHPC (A*STAR),3 months 1 week,Expired,1,"Computer science, Engineering › Electronic engineering, Engineering › Computer engineering, Engineering › Electrical engineering",To be defined,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,266299,15/12/2017,Scientist (DNS) [17/IHPC/0037] / IHPC (A*STAR),3 months 2 weeks,Expired,1,"Engineering › Mechanical engineering, Physics",To be defined,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,256266,1/11/2017,Scientist (Industrial Internet of Things) / IHPC (A*STAR),1 month 5 hours,Expired,1,"Computer science, Engineering",To be defined,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,256265,1/11/2017,Scientist (Shape Morphing Applications) / IHPC (A*STAR),1 month 5 hours,Expired,1,Engineering,To be defined,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,242377,31/08/2017,Scientist (Computational Electromagnetic),3 months 1 day,Expired,1,Engineering,Other,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,242369,31/08/2017,Scientist (3D Structured Light Inspection) / IMRE (A*STAR),3 years 5 months,Closed,1,Engineering,To be defined,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,159557,30/11/2016,Scientist (Model-Based Engineering),4 weeks 1 day,Expired,1,"Computer science › Modelling tools, Engineering › Computer engineering",Other,,Not funded by an EU programme
"Agency of Science, Technology and Research (A*STAR)",Institute of High Performance Computing (IHPC),,Public Research Institution,157824,23/11/2016,Scientist (Antenna Design and Modelling),6 months 1 week,Expired,1,"Engineering, Physics › Electronics",To be defined,,Not funded by an EU programme
AST National Academy of Theatre Arts in Cracow,,,Higher Education Institute,546817,29/07/2020,AST National Academy of Theatre Arts in Cracow,1 month 1 day,Expired,16,Arts › Performing arts,To be defined,,Not funded by an EU programme
AST National Academy of Theatre Arts in Cracow,,,Higher Education Institute,498990,28/02/2020,Nauczyciel akademicki,2 weeks 5 days,Expired,1,Arts › Performing arts,Temporary,,Not funded by an EU programme
AST National Academy of Theatre Arts in Cracow,,,Higher Education Institute,450071,29/09/2019,The National Academy of Theatre Arts in Cracow,1 month 5 hours,Expired,2,Arts › Performing arts,Temporary,,Not funded by an EU programme
AST National Academy of Theatre Arts in Cracow,,,Higher Education Institute,430904,24/07/2019,National Academy of Theatre Arts,1 month 1 day,Expired,16,Arts › Performing arts,To be defined,,Not funded by an EU programme
AST National Academy of Theatre Arts in Cracow,,,Higher Education Institute,351330,31/10/2018,Assistant to the Acting Department,3 weeks 9 hours,Expired,2,Arts › Performing arts,To be defined,,Not funded by an EU programme
AST National Academy of Theatre Arts in Cracow,,,Higher Education Institute,333051,19/08/2018,Academic teachers - AST National Academy of Theatre Arts in Cracow,3 weeks 6 days,Expired,27,Arts › Performing arts,To be defined,,Not funded by an EU programme
Dynamic Technology Lab,Quantitative Researching,Dynamic Technology Lab,Other,223261,8/6/2017,Front Desk Quantitative Developer,6 months 3 weeks,Expired,5,"Computer science, Information science",Permanent,,Not funded by an EU programme
Dynamic Technology Lab,Quantitative Researching,Dynamic Technology Lab,Other,223260,8/6/2017,Quantitative Researcher,6 months 3 weeks,Expired,5,"Information science › Information management, Mathematics",Permanent,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,270737,9/1/2018,PhD Scholarship Computational Biology (Singapore),2 months 2 weeks,Expired,1,"Biological sciences, Computer science, Mathematics › Statistics",Temporary,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,270732,9/1/2018,Postdoctoral Fellow: Computational/Statistical Genomics,1 month 2 weeks,Expired,1,"Biological sciences, Computer science, Mathematics › Statistics",Temporary,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,270729,9/1/2018,Postdoctoral Fellow: Machine Learning for Large-Scale Cancer Genomics Data,1 month 2 weeks,Expired,1,"Biological sciences, Computer science › Informatics, Computer science › Programming, Mathematics › Statistics, Medical sciences",Temporary,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,239773,16/08/2017,Postdoctoral Fellow: Algorithms for Long Read Transcript Quantification,1 month 2 weeks,Expired,1,"Biological sciences › Other, Computer science › Programming, Mathematics › Statistics",Temporary,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,218084,17/05/2017,Postdoctoral Fellow: Computational/Statistical Genomics,1 month 1 day,Expired,1,"Biological sciences › Other, Computer science › Other, Mathematics › Statistics",Temporary,EX-G171705,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,169673,6/1/2017,Postdoc: Machine Learning for Large-Scale Genomics Data,1 month 1 week,Expired,1,"Biological sciences, Computer science, Mathematics › Statistics",Temporary,,Not funded by an EU programme
