Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,565942,8/10/2020,"Postdoctoral research associate – in the Central Laboratories, a research department of the Centre for Functional and Surface Functionalized Glass, in the field of the:  Study and research in the area of chemical durability and corrosion resistance of i",1 month 1 week,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535673,24/06/2020,2 work position - Postdoctoral research associate at the Functional Materials department of the Centre for Functional and Surface Functionalized Glasses,1 month 1 week,Expired,2,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535670,24/06/2020,Postdoctoral research associate at the Department of Coating Processes at the Centre for functional and surface functionalized glasses – for the following research topic: Sol-gel derived coatings for biomedical applications,1 month 1 week,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535669,24/06/2020,Postdoctoral research associate at the Department of Coating Processes at the Centre for functional and surface functionalized glasses – for the following research topic: High temperature coatings,1 month 1 week,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535639,24/06/2020,"Two postdoctoral research associate positions – in the Department of Coating Processes of the Centre for Functional and Surface Functionalized Glass, in the field of the: Deposition of smart coatings by PECVD/PVD methods",1 month 1 week,Expired,2,Chemistry › Inorganic chemistry,Temporary,,Not funded by an EU programme
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535636,24/06/2020,Postdoctoral research associate at the Centre for functional and surface functionalized glasses,6 days 11 hours,Expired,1,Chemistry › Inorganic chemistry,Temporary,,Not funded by an EU programme
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535234,23/06/2020,Postdoctoral research associate at the Department of Glass Processing of the Centre for functional and surface functionalized glasses,1 month 1 week,Expired,1,Chemistry › Inorganic chemistry,Temporary,,Not funded by an EU programme
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,535231,23/06/2020,Postdoctoral research associate at the Department of Biomaterials of the Centre for functional and surface functionalized glasses,1 month 1 week,Expired,1,Chemistry › Inorganic chemistry,Temporary,,Not funded by an EU programme
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496032,21/02/2020,Head of the Department of Functional Glasses of the Centre for functional and surface functionalized glasses (FunGlass),3 weeks 2 days,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496024,21/02/2020,Head of Department of Central Laboratories of the Centre for Functional and Surface Functionalized Glass,3 weeks 2 days,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496023,21/02/2020,Postdoctoral research associate at the Biomaterials department of the Centre for Functional and Surface Functionalized Glasses,3 weeks 2 days,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496021,21/02/2020,3 work positions - Postdoctoral research associate at the Glass processing department of the Centre for Functional and Surface Functionalized Glasses,3 weeks 2 days,Expired,3,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496016,21/02/2020,Postdoctoral research associate –in the Joint Glass Centre in the field of the: “Development of methods of tempering and strengthening of glass and determination of their mechanical properties”,3 weeks 2 days,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496009,21/02/2020,Postdoctoral research associate at Department of Coating Processes of the Centre for functional and surface functionalized glasses – for the following research topic: “Corrosion protection coatings for metals”,3 weeks 2 days,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,496003,21/02/2020,Postdoctoral research associate at Department of Coating Processes of the Centre for functional and surface functionalized glasses – for the following research topic: “High temperature coatings”,3 weeks 2 days,Expired,1,Chemistry › Inorganic chemistry,Temporary,,H2020
Centre for Functional and Surface Functionalized Glass,,,Public Research Institution,491706,11/2/2020,"PhD positions in study program ""Inorganic Technology and Non-metallic Materials""",1 month 1 week,Expired,25,Chemistry,Temporary,,Not funded by an EU programme
